experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,take_profit_mode,take_profit,lot1_take_profit,lot2_take_profit,lot3_take_profit
10:3010:32_L1SL15_L2SL15_L3SL15_RangeBoundary,10:30-10:32,15,15,15,-390.0,2334.0,5.984615384615385,range_boundary,,,,
10:3010:32_L1SL15_L2SL15_L3SL15_TP55,10:30-10:32,15,15,15,-645.0,1989.0,3.083720930232558,,55.0,,,
10:3010:32_L1SL15TP30_L2SL15TP30_L3SL15TP30,10:30-10:32,15,15,15,-360.0,2655.0,7.375,,,30.0,30.0,30.0
10:3010:32_L1SL15TP30_L2SL15TP30_L3SL15TP40,10:30-10:32,15,15,15,-430.0,2595.0,6.034883720930233,,,30.0,30.0,40.0
10:3010:32_L1SL15TP30_L2SL15TP30_L3SL15TP50,10:30-10:32,15,15,15,-410.0,2450.0,5.975609756097561,,,30.0,30.0,50.0
10:3010:32_L1SL15TP30_L2SL15TP30_L3SL15TP60,10:30-10:32,15,15,15,-405.0,2531.0,6.249382716049383,,,30.0,30.0,60.0
10:3010:32_L1SL15TP30_L2SL15TP40_L3SL15TP30,10:30-10:32,15,15,15,-430.0,2595.0,6.034883720930233,,,30.0,40.0,30.0
10:3010:32_L1SL15TP30_L2SL15TP40_L3SL15TP40,10:30-10:32,15,15,15,-545.0,2535.0,4.651376146788991,,,30.0,40.0,40.0
10:3010:32_L1SL15TP30_L2SL15TP40_L3SL15TP50,10:30-10:32,15,15,15,-525.0,2390.0,4.552380952380952,,,30.0,40.0,50.0
10:3010:32_L1SL15TP30_L2SL15TP40_L3SL15TP60,10:30-10:32,15,15,15,-505.0,2471.0,4.893069306930693,,,30.0,40.0,60.0
10:3010:32_L1SL15TP30_L2SL15TP50_L3SL15TP30,10:30-10:32,15,15,15,-410.0,2450.0,5.975609756097561,,,30.0,50.0,30.0
10:3010:32_L1SL15TP30_L2SL15TP50_L3SL15TP40,10:30-10:32,15,15,15,-525.0,2390.0,4.552380952380952,,,30.0,50.0,40.0
10:3010:32_L1SL15TP30_L2SL15TP50_L3SL15TP50,10:30-10:32,15,15,15,-505.0,2245.0,4.445544554455446,,,30.0,50.0,50.0
10:3010:32_L1SL15TP30_L2SL15TP50_L3SL15TP60,10:30-10:32,15,15,15,-485.0,2326.0,4.795876288659794,,,30.0,50.0,60.0
