experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,long_pnl,short_pnl,risk_adjusted_return,take_profit_mode,take_profit,lot1_take_profit,lot2_take_profit,lot3_take_profit
10:0010:02_L1SL15_L2SL20_L3SL20_RangeBoundary,10:00-10:02,15,20,20,-664.0,2499.0,0.0,0.0,3.76355421686747,range_boundary,,,,
10:0010:02_L1SL15_L2SL20_L3SL20_TP55,10:00-10:02,15,20,20,-715.0,1535.0,0.0,0.0,2.1468531468531467,,55.0,,,
10:0010:02_L1SL15TP30_L2SL20TP30_L3SL20TP30,10:00-10:02,15,20,20,-440.0,2705.0,0.0,0.0,6.1477272727272725,,,30.0,30.0,30.0
12:0012:02_L1SL15_L2SL20_L3SL20_RangeBoundary,12:00-12:02,15,20,20,-298.0,2524.0,0.0,0.0,8.46979865771812,range_boundary,,,,
12:0012:02_L1SL15_L2SL20_L3SL20_TP55,12:00-12:02,15,20,20,-1212.0,936.0,0.0,0.0,0.7722772277227723,,55.0,,,
12:0012:02_L1SL15TP30_L2SL20TP30_L3SL20TP30,12:00-12:02,15,20,20,-385.0,2514.0,0.0,0.0,6.52987012987013,,,30.0,30.0,30.0
