experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,take_profit
12:3012:31_L1SL16_L2SL22_L3SL30_TP55,12:30-12:31,16,22,30,-478.0,1727.0,3.6129707112970713,55
11:3011:32_L1SL18_L2SL26_L3SL28_TP50,11:30-11:32,18,26,28,-651.0,1455.0,2.2350230414746544,50
10:3010:31_L1SL14_L2SL28_L3SL29_TP55,10:30-10:31,14,28,29,-543.0,2134.0,3.9300184162062615,55
12:3012:31_L1SL16_L2SL28_L3SL30_TP70,12:30-12:31,16,28,30,-546.0,1749.0,3.2032967032967035,70
11:3011:32_L1SL14_L2SL24_L3SL30_TP60,11:30-11:32,14,24,30,-540.0,1592.0,2.948148148148148,60
11:3011:31_L1SL15_L2SL24_L3SL29_TP70,11:30-11:31,15,24,29,-552.0,1074.0,1.9456521739130435,70
11:3011:31_L1SL14_L2SL25_L3SL30_TP60,11:30-11:31,14,25,30,-566.0,1003.0,1.7720848056537102,60
11:3011:32_L1SL15_L2SL25_L3SL29_TP65,11:30-11:32,15,25,29,-568.0,1586.0,2.7922535211267605,65
11:3011:32_L1SL18_L2SL25_L3SL30_TP50,11:30-11:32,18,25,30,-630.0,1416.0,2.2476190476190476,50
11:3011:31_L1SL15_L2SL26_L3SL28_TP55,11:30-11:31,15,26,28,-621.0,1103.0,1.7761674718196456,55
11:3011:32_L1SL15_L2SL26_L3SL28_TP65,11:30-11:32,15,26,28,-617.0,1632.0,2.6450567260940034,65
11:3011:31_L1SL16_L2SL24_L3SL30_TP65,11:30-11:31,16,24,30,-552.0,986.0,1.786231884057971,65
10:3010:31_L1SL18_L2SL28_L3SL29_TP60,10:30-10:31,18,28,29,-569.0,2265.0,3.9806678383128293,60
10:3010:31_L1SL14_L2SL28_L3SL31_TP70,10:30-10:31,14,28,31,-561.0,2203.0,3.926916221033868,70
11:3011:32_L1SL12_L2SL24_L3SL31_TP55,11:30-11:32,12,24,31,-555.0,1481.0,2.6684684684684683,55
10:3010:31_L1SL15_L2SL22_L3SL31_TP55,10:30-10:31,15,22,31,-572.0,2215.0,3.8723776223776225,55
10:3010:31_L1SL14_L2SL26_L3SL29_TP50,10:30-10:31,14,26,29,-525.0,2157.0,4.1085714285714285,50
11:3011:32_L1SL14_L2SL28_L3SL29_TP65,11:30-11:32,14,28,29,-570.0,1687.0,2.9596491228070176,65
11:3011:32_L1SL16_L2SL26_L3SL31_TP65,11:30-11:32,16,26,31,-656.0,1650.0,2.5152439024390243,65
11:3011:31_L1SL15_L2SL24_L3SL31_TP60,11:30-11:31,15,24,31,-588.0,1260.0,2.142857142857143,60
12:3012:31_L1SL18_L2SL28_L3SL32_TP50,12:30-12:31,18,28,32,-482.0,1936.0,4.016597510373444,50
11:3011:32_L1SL12_L2SL26_L3SL28_TP50,11:30-11:32,12,26,28,-586.0,1449.0,2.4726962457337884,50
12:3012:31_L1SL15_L2SL25_L3SL30_TP60,12:30-12:31,15,25,30,-516.0,1637.0,3.1724806201550386,60
11:3011:32_L1SL16_L2SL22_L3SL28_TP60,11:30-11:32,16,22,28,-577.0,1388.0,2.4055459272097055,60
11:3011:32_L1SL12_L2SL24_L3SL31_TP70,11:30-11:32,12,24,31,-555.0,1571.0,2.8306306306306306,70
12:3012:31_L1SL12_L2SL22_L3SL31_TP65,12:30-12:31,12,22,31,-393.0,1832.0,4.661577608142494,65
10:3010:31_L1SL15_L2SL25_L3SL28_TP70,10:30-10:31,15,25,28,-518.0,2260.0,4.362934362934363,70
11:3011:32_L1SL16_L2SL28_L3SL29_TP50,11:30-11:32,16,28,29,-630.0,1515.0,2.4047619047619047,50
12:3012:31_L1SL16_L2SL24_L3SL29_TP55,12:30-12:31,16,24,29,-551.0,1802.0,3.2704174228675136,55
11:3011:32_L1SL15_L2SL22_L3SL32_TP70,11:30-11:32,15,22,32,-584.0,1487.0,2.546232876712329,70
10:3010:31_L1SL12_L2SL26_L3SL28_TP65,10:30-10:31,12,26,28,-502.0,2336.0,4.653386454183267,65
11:3011:31_L1SL14_L2SL28_L3SL28_TP70,11:30-11:31,14,28,28,-599.0,1192.0,1.989983305509182,70
11:3011:32_L1SL15_L2SL25_L3SL30_TP65,11:30-11:32,15,25,30,-588.0,1593.0,2.7091836734693877,65
11:3011:31_L1SL14_L2SL22_L3SL29_TP55,11:30-11:31,14,22,29,-488.0,1131.0,2.317622950819672,55
