experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,long_pnl,short_pnl,risk_adjusted_return,take_profit_mode,take_profit,lot1_take_profit,lot2_take_profit,lot3_take_profit
10:3010:32_L1SL15_L2SL20_L3SL30_RangeBoundary,10:30-10:32,15,20,30,-659.0,2645.0,0.0,0.0,4.013657056145675,range_boundary,,,,
10:3010:32_L1SL15_L2SL20_L3SL30_TP50,10:30-10:32,15,20,30,-738.0,1999.0,0.0,0.0,2.7086720867208673,,50.0,,,
10:3010:32_L1SL15TP40_L2SL20TP40_L3SL30TP40,10:30-10:32,15,20,30,-713.0,2567.0,0.0,0.0,3.6002805049088358,,,40.0,40.0,40.0
10:3010:32_L1SL15TP40_L2SL20TP40_L3SL30TP50,10:30-10:32,15,20,30,-728.0,2285.0,0.0,0.0,3.1387362637362637,,,40.0,40.0,50.0
10:3010:32_L1SL15TP40_L2SL20TP40_L3SL30TP60,10:30-10:32,15,20,30,-688.0,2386.0,0.0,0.0,3.4680232558139537,,,40.0,40.0,60.0
10:3010:32_L1SL15TP40_L2SL20TP50_L3SL30TP40,10:30-10:32,15,20,30,-728.0,2426.0,0.0,0.0,3.3324175824175826,,,40.0,50.0,40.0
10:3010:32_L1SL15TP40_L2SL20TP50_L3SL30TP50,10:30-10:32,15,20,30,-758.0,2144.0,0.0,0.0,2.8284960422163588,,,40.0,50.0,50.0
10:3010:32_L1SL15TP40_L2SL20TP50_L3SL30TP60,10:30-10:32,15,20,30,-718.0,2245.0,0.0,0.0,3.1267409470752088,,,40.0,50.0,60.0
10:3010:32_L1SL15TP40_L2SL20TP60_L3SL30TP40,10:30-10:32,15,20,30,-698.0,2497.0,0.0,0.0,3.5773638968481376,,,40.0,60.0,40.0
10:3010:32_L1SL15TP40_L2SL20TP60_L3SL30TP50,10:30-10:32,15,20,30,-728.0,2215.0,0.0,0.0,3.0425824175824174,,,40.0,60.0,50.0
10:3010:32_L1SL15TP40_L2SL20TP60_L3SL30TP60,10:30-10:32,15,20,30,-688.0,2316.0,0.0,0.0,3.366279069767442,,,40.0,60.0,60.0
10:3010:32_L1SL15TP50_L2SL20TP40_L3SL30TP40,10:30-10:32,15,20,30,-693.0,2422.0,0.0,0.0,3.494949494949495,,,50.0,40.0,40.0
10:3010:32_L1SL15TP50_L2SL20TP40_L3SL30TP50,10:30-10:32,15,20,30,-708.0,2140.0,0.0,0.0,3.022598870056497,,,50.0,40.0,50.0
10:3010:32_L1SL15TP50_L2SL20TP40_L3SL30TP60,10:30-10:32,15,20,30,-668.0,2241.0,0.0,0.0,3.354790419161677,,,50.0,40.0,60.0
10:3010:32_L1SL15TP50_L2SL20TP50_L3SL30TP40,10:30-10:32,15,20,30,-708.0,2281.0,0.0,0.0,3.2217514124293785,,,50.0,50.0,40.0
10:3010:32_L1SL15TP50_L2SL20TP50_L3SL30TP50,10:30-10:32,15,20,30,-738.0,1999.0,0.0,0.0,2.7086720867208673,,,50.0,50.0,50.0
10:3010:32_L1SL15TP50_L2SL20TP50_L3SL30TP60,10:30-10:32,15,20,30,-698.0,2100.0,0.0,0.0,3.008595988538682,,,50.0,50.0,60.0
10:3010:32_L1SL15TP50_L2SL20TP60_L3SL30TP40,10:30-10:32,15,20,30,-678.0,2352.0,0.0,0.0,3.4690265486725664,,,50.0,60.0,40.0
10:3010:32_L1SL15TP50_L2SL20TP60_L3SL30TP50,10:30-10:32,15,20,30,-708.0,2070.0,0.0,0.0,2.9237288135593222,,,50.0,60.0,50.0
10:3010:32_L1SL15TP50_L2SL20TP60_L3SL30TP60,10:30-10:32,15,20,30,-668.0,2171.0,0.0,0.0,3.25,,,50.0,60.0,60.0
10:3010:32_L1SL15TP60_L2SL20TP40_L3SL30TP40,10:30-10:32,15,20,30,-673.0,2503.0,0.0,0.0,3.7191679049034176,,,60.0,40.0,40.0
10:3010:32_L1SL15TP60_L2SL20TP40_L3SL30TP50,10:30-10:32,15,20,30,-688.0,2221.0,0.0,0.0,3.2281976744186047,,,60.0,40.0,50.0
10:3010:32_L1SL15TP60_L2SL20TP40_L3SL30TP60,10:30-10:32,15,20,30,-648.0,2322.0,0.0,0.0,3.5833333333333335,,,60.0,40.0,60.0
10:3010:32_L1SL15TP60_L2SL20TP50_L3SL30TP40,10:30-10:32,15,20,30,-688.0,2362.0,0.0,0.0,3.433139534883721,,,60.0,50.0,40.0
10:3010:32_L1SL15TP60_L2SL20TP50_L3SL30TP50,10:30-10:32,15,20,30,-718.0,2080.0,0.0,0.0,2.896935933147632,,,60.0,50.0,50.0
10:3010:32_L1SL15TP60_L2SL20TP50_L3SL30TP60,10:30-10:32,15,20,30,-678.0,2181.0,0.0,0.0,3.2168141592920354,,,60.0,50.0,60.0
10:3010:32_L1SL15TP60_L2SL20TP60_L3SL30TP40,10:30-10:32,15,20,30,-658.0,2433.0,0.0,0.0,3.697568389057751,,,60.0,60.0,40.0
10:3010:32_L1SL15TP60_L2SL20TP60_L3SL30TP50,10:30-10:32,15,20,30,-688.0,2151.0,0.0,0.0,3.126453488372093,,,60.0,60.0,50.0
10:3010:32_L1SL15TP60_L2SL20TP60_L3SL30TP60,10:30-10:32,15,20,30,-648.0,2252.0,0.0,0.0,3.4753086419753085,,,60.0,60.0,60.0
10:3010:32_L1SL15_L2SL20_L3SL40_RangeBoundary,10:30-10:32,15,20,40,-729.0,2566.0,0.0,0.0,3.5198902606310014,range_boundary,,,,
10:3010:32_L1SL15_L2SL20_L3SL40_TP50,10:30-10:32,15,20,40,-747.0,2090.0,0.0,0.0,2.7978580990629185,,50.0,,,
