experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,take_profit_mode,take_profit,lot1_take_profit,lot2_take_profit,lot3_take_profit
10:3010:32_L1SL15_L2SL15_L3SL15_RangeBoundary,10:30-10:32,15,15,15,-390.0,2334.0,5.984615384615385,range_boundary,,,,
10:3010:32_L1SL15_L2SL15_L3SL15_TP55,10:30-10:32,15,15,15,-645.0,1989.0,3.083720930232558,,55.0,,,
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL15TP15,10:30-10:32,15,15,15,-315.0,1800.0,5.714285714285714,,,15.0,15.0,15.0
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL15TP30,10:30-10:32,15,15,15,-315.0,2085.0,6.619047619047619,,,15.0,15.0,30.0
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL15TP50,10:30-10:32,15,15,15,-320.0,1880.0,5.875,,,15.0,15.0,50.0
10:3010:32_L1SL15TP15_L2SL15TP15_L3SL15TP70,10:30-10:32,15,15,15,-315.0,2021.0,6.415873015873016,,,15.0,15.0,70.0
10:3010:32_L1SL15TP15_L2SL15TP30_L3SL15TP15,10:30-10:32,15,15,15,-315.0,2085.0,6.619047619047619,,,15.0,30.0,15.0
10:3010:32_L1SL15TP15_L2SL15TP30_L3SL15TP30,10:30-10:32,15,15,15,-315.0,2370.0,7.523809523809524,,,15.0,30.0,30.0
10:3010:32_L1SL15TP15_L2SL15TP30_L3SL15TP50,10:30-10:32,15,15,15,-365.0,2165.0,5.931506849315069,,,15.0,30.0,50.0
10:3010:32_L1SL15TP15_L2SL15TP30_L3SL15TP70,10:30-10:32,15,15,15,-360.0,2306.0,6.405555555555556,,,15.0,30.0,70.0
10:3010:32_L1SL15TP15_L2SL15TP50_L3SL15TP15,10:30-10:32,15,15,15,-320.0,1880.0,5.875,,,15.0,50.0,15.0
10:3010:32_L1SL15TP15_L2SL15TP50_L3SL15TP30,10:30-10:32,15,15,15,-365.0,2165.0,5.931506849315069,,,15.0,50.0,30.0
10:3010:32_L1SL15TP15_L2SL15TP50_L3SL15TP50,10:30-10:32,15,15,15,-460.0,1960.0,4.260869565217392,,,15.0,50.0,50.0
10:3010:32_L1SL15TP15_L2SL15TP50_L3SL15TP70,10:30-10:32,15,15,15,-420.0,2101.0,5.002380952380952,,,15.0,50.0,70.0
