total_pnl,max_drawdown,peak_pnl,total_trades,winning_trades,win_rate,lot1_pnl,lot2_pnl,lot3_pnl,scenario_used,trade_details,experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,take_profit
-2160.0,-2160.0,0.0,15,0,0.0,-360.0,-900.0,-900.0,worst_case,"[{'trade_id': 1, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -120.0, 'peak_pnl': 0, 'current_drawdown': 120.0}, {'trade_id': 2, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -240.0, 'peak_pnl': 0, 'current_drawdown': 240.0}, {'trade_id': 3, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -360.0, 'peak_pnl': 0, 'current_drawdown': 360.0}, {'trade_id': 4, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -480.0, 'peak_pnl': 0, 'current_drawdown': 480.0}, {'trade_id': 5, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -600.0, 'peak_pnl': 0, 'current_drawdown': 600.0}, {'trade_id': 6, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -720.0, 'peak_pnl': 0, 'current_drawdown': 720.0}, {'trade_id': 7, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -840.0, 'peak_pnl': 0, 'current_drawdown': 840.0}, {'trade_id': 8, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -960.0, 'peak_pnl': 0, 'current_drawdown': 960.0}, {'trade_id': 9, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -1080.0, 'peak_pnl': 0, 'current_drawdown': 1080.0}, {'trade_id': 10, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -1200.0, 'peak_pnl': 0, 'current_drawdown': 1200.0}, {'trade_id': 11, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -1320.0, 'peak_pnl': 0, 'current_drawdown': 1320.0}, {'trade_id': 12, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -1440.0, 'peak_pnl': 0, 'current_drawdown': 1440.0}, {'trade_id': 13, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -1560.0, 'peak_pnl': 0, 'current_drawdown': 1560.0}, {'trade_id': 14, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -1680.0, 'peak_pnl': 0, 'current_drawdown': 1680.0}, {'trade_id': 15, 'lot1_pnl': -20.0, 'lot2_pnl': -50.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -120.0, 'cumulative_pnl': -1800.0, 'peak_pnl': 0, 'current_drawdown': 1800.0}]",10:3010:31_L1SL20_L2SL50_L3SL50_TP30,10:30-10:31,20,50,50,30
1584.0,-360.0,1320.0,18,6,33.33333333333333,864.0,504.0,216.0,consecutive_losses,"[{'trade_id': 1, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': -100.0, 'peak_pnl': 0, 'current_drawdown': 100.0}, {'trade_id': 2, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': -200.0, 'peak_pnl': 0, 'current_drawdown': 200.0}, {'trade_id': 3, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': -300.0, 'peak_pnl': 0, 'current_drawdown': 300.0}, {'trade_id': 4, 'lot1_pnl': 140.0, 'lot2_pnl': 140.0, 'lot3_pnl': 140.0, 'trade_total_pnl': 420.0, 'cumulative_pnl': 120.0, 'peak_pnl': 120.0, 'current_drawdown': 0.0}, {'trade_id': 5, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': 20.0, 'peak_pnl': 120.0, 'current_drawdown': 100.0}, {'trade_id': 6, 'lot1_pnl': 140.0, 'lot2_pnl': 140.0, 'lot3_pnl': 140.0, 'trade_total_pnl': 420.0, 'cumulative_pnl': 440.0, 'peak_pnl': 440.0, 'current_drawdown': 0.0}, {'trade_id': 7, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': 340.0, 'peak_pnl': 440.0, 'current_drawdown': 100.0}, {'trade_id': 8, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': 240.0, 'peak_pnl': 440.0, 'current_drawdown': 200.0}, {'trade_id': 9, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': 140.0, 'peak_pnl': 440.0, 'current_drawdown': 300.0}, {'trade_id': 10, 'lot1_pnl': 140.0, 'lot2_pnl': 140.0, 'lot3_pnl': 140.0, 'trade_total_pnl': 420.0, 'cumulative_pnl': 560.0, 'peak_pnl': 560.0, 'current_drawdown': 0.0}, {'trade_id': 11, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': 460.0, 'peak_pnl': 560.0, 'current_drawdown': 100.0}, {'trade_id': 12, 'lot1_pnl': 140.0, 'lot2_pnl': 140.0, 'lot3_pnl': 140.0, 'trade_total_pnl': 420.0, 'cumulative_pnl': 880.0, 'peak_pnl': 880.0, 'current_drawdown': 0.0}, {'trade_id': 13, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': 780.0, 'peak_pnl': 880.0, 'current_drawdown': 100.0}, {'trade_id': 14, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': 680.0, 'peak_pnl': 880.0, 'current_drawdown': 200.0}, {'trade_id': 15, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': 580.0, 'peak_pnl': 880.0, 'current_drawdown': 300.0}, {'trade_id': 16, 'lot1_pnl': 140.0, 'lot2_pnl': 140.0, 'lot3_pnl': 140.0, 'trade_total_pnl': 420.0, 'cumulative_pnl': 1000.0, 'peak_pnl': 1000.0, 'current_drawdown': 0.0}, {'trade_id': 17, 'lot1_pnl': -10.0, 'lot2_pnl': -35.0, 'lot3_pnl': -55.0, 'trade_total_pnl': -100.0, 'cumulative_pnl': 900.0, 'peak_pnl': 1000.0, 'current_drawdown': 100.0}, {'trade_id': 18, 'lot1_pnl': 140.0, 'lot2_pnl': 140.0, 'lot3_pnl': 140.0, 'trade_total_pnl': 420.0, 'cumulative_pnl': 1320.0, 'peak_pnl': 1320.0, 'current_drawdown': 0.0}]",10:3010:31_L1SL10_L2SL35_L3SL55_TP70,10:30-10:31,10,35,55,70
1404.0,-297.0,1560.0,18,6,33.33333333333333,648.0,432.0,324.0,consecutive_losses,"[{'trade_id': 1, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': -110.0, 'peak_pnl': 0, 'current_drawdown': 110.0}, {'trade_id': 2, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': -220.0, 'peak_pnl': 0, 'current_drawdown': 220.0}, {'trade_id': 3, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': -330.0, 'peak_pnl': 0, 'current_drawdown': 330.0}, {'trade_id': 4, 'lot1_pnl': 160.0, 'lot2_pnl': 160.0, 'lot3_pnl': 160.0, 'trade_total_pnl': 480.0, 'cumulative_pnl': 150.0, 'peak_pnl': 150.0, 'current_drawdown': 0.0}, {'trade_id': 5, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': 40.0, 'peak_pnl': 150.0, 'current_drawdown': 110.0}, {'trade_id': 6, 'lot1_pnl': 160.0, 'lot2_pnl': 160.0, 'lot3_pnl': 160.0, 'trade_total_pnl': 480.0, 'cumulative_pnl': 520.0, 'peak_pnl': 520.0, 'current_drawdown': 0.0}, {'trade_id': 7, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': 410.0, 'peak_pnl': 520.0, 'current_drawdown': 110.0}, {'trade_id': 8, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': 300.0, 'peak_pnl': 520.0, 'current_drawdown': 220.0}, {'trade_id': 9, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': 190.0, 'peak_pnl': 520.0, 'current_drawdown': 330.0}, {'trade_id': 10, 'lot1_pnl': 160.0, 'lot2_pnl': 160.0, 'lot3_pnl': 160.0, 'trade_total_pnl': 480.0, 'cumulative_pnl': 670.0, 'peak_pnl': 670.0, 'current_drawdown': 0.0}, {'trade_id': 11, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': 560.0, 'peak_pnl': 670.0, 'current_drawdown': 110.0}, {'trade_id': 12, 'lot1_pnl': 160.0, 'lot2_pnl': 160.0, 'lot3_pnl': 160.0, 'trade_total_pnl': 480.0, 'cumulative_pnl': 1040.0, 'peak_pnl': 1040.0, 'current_drawdown': 0.0}, {'trade_id': 13, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': 930.0, 'peak_pnl': 1040.0, 'current_drawdown': 110.0}, {'trade_id': 14, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': 820.0, 'peak_pnl': 1040.0, 'current_drawdown': 220.0}, {'trade_id': 15, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': 710.0, 'peak_pnl': 1040.0, 'current_drawdown': 330.0}, {'trade_id': 16, 'lot1_pnl': 160.0, 'lot2_pnl': 160.0, 'lot3_pnl': 160.0, 'trade_total_pnl': 480.0, 'cumulative_pnl': 1190.0, 'peak_pnl': 1190.0, 'current_drawdown': 0.0}, {'trade_id': 17, 'lot1_pnl': -20.0, 'lot2_pnl': -40.0, 'lot3_pnl': -50.0, 'trade_total_pnl': -110.0, 'cumulative_pnl': 1080.0, 'peak_pnl': 1190.0, 'current_drawdown': 110.0}, {'trade_id': 18, 'lot1_pnl': 160.0, 'lot2_pnl': 160.0, 'lot3_pnl': 160.0, 'trade_total_pnl': 480.0, 'cumulative_pnl': 1560.0, 'peak_pnl': 1560.0, 'current_drawdown': 0.0}]",11:3011:31_L1SL20_L2SL40_L3SL50_TP80,11:30-11:31,20,40,50,80
2729.7000000000003,-118.8,3033.0,21,12,57.14285714285714,1085.4,839.7,804.6,volatile_market,"[{'trade_id': 1, 'lot1_pnl': 90.0, 'lot2_pnl': 90.0, 'lot3_pnl': 90.0, 'trade_total_pnl': 270.0, 'cumulative_pnl': 270.0, 'peak_pnl': 270.0, 'current_drawdown': 0.0}, {'trade_id': 2, 'lot1_pnl': -12.0, 'lot2_pnl': -40.0, 'lot3_pnl': -44.0, 'trade_total_pnl': -96.0, 'cumulative_pnl': 174.0, 'peak_pnl': 270.0, 'current_drawdown': 96.0}, {'trade_id': 3, 'lot1_pnl': 108.0, 'lot2_pnl': 108.0, 'lot3_pnl': 108.0, 'trade_total_pnl': 324.0, 'cumulative_pnl': 498.0, 'peak_pnl': 498.0, 'current_drawdown': 0.0}, {'trade_id': 4, 'lot1_pnl': -16.5, 'lot2_pnl': -55.00000000000001, 'lot3_pnl': -60.50000000000001, 'trade_total_pnl': -132.0, 'cumulative_pnl': 366.0, 'peak_pnl': 498.0, 'current_drawdown': 132.0}, {'trade_id': 5, 'lot1_pnl': 81.0, 'lot2_pnl': 81.0, 'lot3_pnl': 81.0, 'trade_total_pnl': 243.0, 'cumulative_pnl': 609.0, 'peak_pnl': 609.0, 'current_drawdown': 0.0}, {'trade_id': 6, 'lot1_pnl': -10.5, 'lot2_pnl': -35.0, 'lot3_pnl': -38.5, 'trade_total_pnl': -84.0, 'cumulative_pnl': 525.0, 'peak_pnl': 609.0, 'current_drawdown': 84.0}, {'trade_id': 7, 'lot1_pnl': 162.0, 'lot2_pnl': 162.0, 'lot3_pnl': 162.0, 'trade_total_pnl': 486.0, 'cumulative_pnl': 1011.0, 'peak_pnl': 1011.0, 'current_drawdown': 0.0}, {'trade_id': 8, 'lot1_pnl': 90.0, 'lot2_pnl': 90.0, 'lot3_pnl': 90.0, 'trade_total_pnl': 270.0, 'cumulative_pnl': 1281.0, 'peak_pnl': 1281.0, 'current_drawdown': 0.0}, {'trade_id': 9, 'lot1_pnl': -12.0, 'lot2_pnl': -40.0, 'lot3_pnl': -44.0, 'trade_total_pnl': -96.0, 'cumulative_pnl': 1185.0, 'peak_pnl': 1281.0, 'current_drawdown': 96.0}, {'trade_id': 10, 'lot1_pnl': 108.0, 'lot2_pnl': 108.0, 'lot3_pnl': 108.0, 'trade_total_pnl': 324.0, 'cumulative_pnl': 1509.0, 'peak_pnl': 1509.0, 'current_drawdown': 0.0}, {'trade_id': 11, 'lot1_pnl': -16.5, 'lot2_pnl': -55.00000000000001, 'lot3_pnl': -60.50000000000001, 'trade_total_pnl': -132.0, 'cumulative_pnl': 1377.0, 'peak_pnl': 1509.0, 'current_drawdown': 132.0}, {'trade_id': 12, 'lot1_pnl': 81.0, 'lot2_pnl': 81.0, 'lot3_pnl': 81.0, 'trade_total_pnl': 243.0, 'cumulative_pnl': 1620.0, 'peak_pnl': 1620.0, 'current_drawdown': 0.0}, {'trade_id': 13, 'lot1_pnl': -10.5, 'lot2_pnl': -35.0, 'lot3_pnl': -38.5, 'trade_total_pnl': -84.0, 'cumulative_pnl': 1536.0, 'peak_pnl': 1620.0, 'current_drawdown': 84.0}, {'trade_id': 14, 'lot1_pnl': 162.0, 'lot2_pnl': 162.0, 'lot3_pnl': 162.0, 'trade_total_pnl': 486.0, 'cumulative_pnl': 2022.0, 'peak_pnl': 2022.0, 'current_drawdown': 0.0}, {'trade_id': 15, 'lot1_pnl': 90.0, 'lot2_pnl': 90.0, 'lot3_pnl': 90.0, 'trade_total_pnl': 270.0, 'cumulative_pnl': 2292.0, 'peak_pnl': 2292.0, 'current_drawdown': 0.0}, {'trade_id': 16, 'lot1_pnl': -12.0, 'lot2_pnl': -40.0, 'lot3_pnl': -44.0, 'trade_total_pnl': -96.0, 'cumulative_pnl': 2196.0, 'peak_pnl': 2292.0, 'current_drawdown': 96.0}, {'trade_id': 17, 'lot1_pnl': 108.0, 'lot2_pnl': 108.0, 'lot3_pnl': 108.0, 'trade_total_pnl': 324.0, 'cumulative_pnl': 2520.0, 'peak_pnl': 2520.0, 'current_drawdown': 0.0}, {'trade_id': 18, 'lot1_pnl': -16.5, 'lot2_pnl': -55.00000000000001, 'lot3_pnl': -60.50000000000001, 'trade_total_pnl': -132.0, 'cumulative_pnl': 2388.0, 'peak_pnl': 2520.0, 'current_drawdown': 132.0}, {'trade_id': 19, 'lot1_pnl': 81.0, 'lot2_pnl': 81.0, 'lot3_pnl': 81.0, 'trade_total_pnl': 243.0, 'cumulative_pnl': 2631.0, 'peak_pnl': 2631.0, 'current_drawdown': 0.0}, {'trade_id': 20, 'lot1_pnl': -10.5, 'lot2_pnl': -35.0, 'lot3_pnl': -38.5, 'trade_total_pnl': -84.0, 'cumulative_pnl': 2547.0, 'peak_pnl': 2631.0, 'current_drawdown': 84.0}, {'trade_id': 21, 'lot1_pnl': 162.0, 'lot2_pnl': 162.0, 'lot3_pnl': 162.0, 'trade_total_pnl': 486.0, 'cumulative_pnl': 3033.0, 'peak_pnl': 3033.0, 'current_drawdown': 0.0}]",11:3011:31_L1SL15_L2SL50_L3SL55_TP90,11:30-11:31,15,50,55,90
4314.6,-36.0,4794.0,15,12,80.0,1453.95,1433.7,1426.95,trending_market,"[{'trade_id': 1, 'lot1_pnl': 140.0, 'lot2_pnl': 140.0, 'lot3_pnl': 140.0, 'trade_total_pnl': 420.0, 'cumulative_pnl': 420.0, 'peak_pnl': 420.0, 'current_drawdown': 0.0}, {'trade_id': 2, 'lot1_pnl': 105.0, 'lot2_pnl': 105.0, 'lot3_pnl': 105.0, 'trade_total_pnl': 315.0, 'cumulative_pnl': 735.0, 'peak_pnl': 735.0, 'current_drawdown': 0.0}, {'trade_id': 3, 'lot1_pnl': -7.5, 'lot2_pnl': -15.0, 'lot3_pnl': -17.5, 'trade_total_pnl': -40.0, 'cumulative_pnl': 695.0, 'peak_pnl': 735.0, 'current_drawdown': 40.0}, {'trade_id': 4, 'lot1_pnl': 175.0, 'lot2_pnl': 175.0, 'lot3_pnl': 175.0, 'trade_total_pnl': 525.0, 'cumulative_pnl': 1220.0, 'peak_pnl': 1220.0, 'current_drawdown': 0.0}, {'trade_id': 5, 'lot1_pnl': 126.0, 'lot2_pnl': 126.0, 'lot3_pnl': 126.0, 'trade_total_pnl': 378.0, 'cumulative_pnl': 1598.0, 'peak_pnl': 1598.0, 'current_drawdown': 0.0}, {'trade_id': 6, 'lot1_pnl': 140.0, 'lot2_pnl': 140.0, 'lot3_pnl': 140.0, 'trade_total_pnl': 420.0, 'cumulative_pnl': 2018.0, 'peak_pnl': 2018.0, 'current_drawdown': 0.0}, {'trade_id': 7, 'lot1_pnl': 105.0, 'lot2_pnl': 105.0, 'lot3_pnl': 105.0, 'trade_total_pnl': 315.0, 'cumulative_pnl': 2333.0, 'peak_pnl': 2333.0, 'current_drawdown': 0.0}, {'trade_id': 8, 'lot1_pnl': -7.5, 'lot2_pnl': -15.0, 'lot3_pnl': -17.5, 'trade_total_pnl': -40.0, 'cumulative_pnl': 2293.0, 'peak_pnl': 2333.0, 'current_drawdown': 40.0}, {'trade_id': 9, 'lot1_pnl': 175.0, 'lot2_pnl': 175.0, 'lot3_pnl': 175.0, 'trade_total_pnl': 525.0, 'cumulative_pnl': 2818.0, 'peak_pnl': 2818.0, 'current_drawdown': 0.0}, {'trade_id': 10, 'lot1_pnl': 126.0, 'lot2_pnl': 126.0, 'lot3_pnl': 126.0, 'trade_total_pnl': 378.0, 'cumulative_pnl': 3196.0, 'peak_pnl': 3196.0, 'current_drawdown': 0.0}, {'trade_id': 11, 'lot1_pnl': 140.0, 'lot2_pnl': 140.0, 'lot3_pnl': 140.0, 'trade_total_pnl': 420.0, 'cumulative_pnl': 3616.0, 'peak_pnl': 3616.0, 'current_drawdown': 0.0}, {'trade_id': 12, 'lot1_pnl': 105.0, 'lot2_pnl': 105.0, 'lot3_pnl': 105.0, 'trade_total_pnl': 315.0, 'cumulative_pnl': 3931.0, 'peak_pnl': 3931.0, 'current_drawdown': 0.0}, {'trade_id': 13, 'lot1_pnl': -7.5, 'lot2_pnl': -15.0, 'lot3_pnl': -17.5, 'trade_total_pnl': -40.0, 'cumulative_pnl': 3891.0, 'peak_pnl': 3931.0, 'current_drawdown': 40.0}, {'trade_id': 14, 'lot1_pnl': 175.0, 'lot2_pnl': 175.0, 'lot3_pnl': 175.0, 'trade_total_pnl': 525.0, 'cumulative_pnl': 4416.0, 'peak_pnl': 4416.0, 'current_drawdown': 0.0}, {'trade_id': 15, 'lot1_pnl': 126.0, 'lot2_pnl': 126.0, 'lot3_pnl': 126.0, 'trade_total_pnl': 378.0, 'cumulative_pnl': 4794.0, 'peak_pnl': 4794.0, 'current_drawdown': 0.0}]",11:3011:31_L1SL15_L2SL30_L3SL35_TP70,11:30-11:31,15,30,35,70
