實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
3164,SHORT_ONLY,13:00-13:10,0.0,-63.1,-63.1,1266.0,37.8%,25(15%)/50(15%)/55(20%)
3165,BOTH,13:00-13:10,-825.6,87.7,-738.0,2355.9,39.0%,25(15%)/50(15%)/55(20%)
3166,LONG_ONLY,13:00-13:10,-413.4,0.0,-413.4,1744.0,45.8%,25(15%)/50(15%)/60(20%)
3167,SHORT_ONLY,13:00-13:10,0.0,-35.5,-35.5,1247.0,37.8%,25(15%)/50(15%)/60(20%)
3168,BOTH,13:00-13:10,-792.0,96.3,-695.8,2301.8,39.0%,25(15%)/50(15%)/60(20%)
3163,LONG_ONLY,13:00-13:10,-447.0,0.0,-447.0,1744.0,45.8%,25(15%)/50(15%)/55(20%)
3159,BOTH,13:00-13:10,-769.0,132.9,-636.0,2199.0,39.0%,25(15%)/50(10%)/60(20%)
3162,BOTH,13:00-13:10,-854.0,44.5,-809.5,2497.6,39.0%,25(15%)/50(15%)/50(20%)
3156,BOTH,13:00-13:10,-802.5,124.3,-678.2,2253.2,39.0%,25(15%)/50(10%)/55(20%)
3160,LONG_ONLY,13:00-13:10,-469.4,0.0,-469.4,1738.0,45.8%,25(15%)/50(15%)/50(20%)
3161,SHORT_ONLY,13:00-13:10,0.0,-114.3,-114.3,1297.0,37.8%,25(15%)/50(15%)/50(20%)
3157,LONG_ONLY,13:00-13:10,-387.8,0.0,-387.8,1735.0,45.8%,25(15%)/50(10%)/60(20%)
3158,SHORT_ONLY,13:00-13:10,0.0,6.4,6.4,1226.0,37.8%,25(15%)/50(10%)/60(20%)
3154,LONG_ONLY,13:00-13:10,-421.4,0.0,-421.4,1735.0,45.8%,25(15%)/50(10%)/55(20%)
3155,SHORT_ONLY,13:00-13:10,0.0,-21.2,-21.2,1245.0,37.8%,25(15%)/50(10%)/55(20%)
3147,BOTH,13:00-13:10,-809.6,73.2,-736.4,2294.4,39.0%,25(15%)/45(15%)/55(20%)
3151,LONG_ONLY,13:00-13:10,-443.8,0.0,-443.8,1729.0,45.8%,25(15%)/50(10%)/50(20%)
3153,BOTH,13:00-13:10,-831.0,81.2,-749.8,2394.8,39.0%,25(15%)/50(10%)/50(20%)
3149,SHORT_ONLY,13:00-13:10,0.0,-57.6,-57.6,1255.0,37.8%,25(15%)/45(15%)/60(20%)
3150,BOTH,13:00-13:10,-776.0,81.8,-694.2,2240.2,39.0%,25(15%)/45(15%)/60(20%)
3152,SHORT_ONLY,13:00-13:10,0.0,-72.4,-72.4,1276.0,37.8%,25(15%)/50(10%)/50(20%)
3148,LONG_ONLY,13:00-13:10,-397.4,0.0,-397.4,1746.0,45.8%,25(15%)/45(15%)/60(20%)
3141,BOTH,13:00-13:10,-836.5,14.4,-822.0,2458.0,39.0%,25(15%)/45(15%)/45(20%)
3145,LONG_ONLY,13:00-13:10,-431.0,0.0,-431.0,1746.0,45.8%,25(15%)/45(15%)/55(20%)
3146,SHORT_ONLY,13:00-13:10,0.0,-85.2,-85.2,1274.0,37.8%,25(15%)/45(15%)/55(20%)
3143,SHORT_ONLY,13:00-13:10,0.0,-136.4,-136.4,1305.0,37.8%,25(15%)/45(15%)/50(20%)
3144,BOTH,13:00-13:10,-838.0,30.1,-808.0,2436.0,39.0%,25(15%)/45(15%)/50(20%)
3142,LONG_ONLY,13:00-13:10,-453.4,0.0,-453.4,1740.0,45.8%,25(15%)/45(15%)/50(20%)
3140,SHORT_ONLY,13:00-13:10,0.0,-159.2,-159.2,1313.0,37.8%,25(15%)/45(15%)/45(20%)
3137,SHORT_ONLY,13:00-13:10,0.0,-15.0,-15.0,1236.0,37.8%,25(15%)/45(10%)/60(20%)
3138,BOTH,13:00-13:10,-749.0,119.7,-629.3,2132.3,39.0%,25(15%)/45(10%)/60(20%)
3139,LONG_ONLY,13:00-13:10,-451.8,0.0,-451.8,1752.0,45.8%,25(15%)/45(15%)/45(20%)
3136,LONG_ONLY,13:00-13:10,-367.8,0.0,-367.8,1738.0,45.8%,25(15%)/45(10%)/60(20%)
3132,BOTH,13:00-13:10,-811.0,67.8,-743.1,2328.1,39.0%,25(15%)/45(10%)/50(20%)
3133,LONG_ONLY,13:00-13:10,-401.4,0.0,-401.4,1738.0,45.8%,25(15%)/45(10%)/55(20%)
3134,SHORT_ONLY,13:00-13:10,0.0,-42.6,-42.6,1255.0,37.8%,25(15%)/45(10%)/55(20%)
3135,BOTH,13:00-13:10,-782.5,111.0,-671.5,2186.5,39.0%,25(15%)/45(10%)/55(20%)
3128,SHORT_ONLY,13:00-13:10,0.0,-116.6,-116.6,1294.0,37.8%,25(15%)/45(10%)/45(20%)
3124,LONG_ONLY,13:00-13:10,-360.1,0.0,-360.1,1665.0,47.0%,25(15%)/40(15%)/60(20%)
3131,SHORT_ONLY,13:00-13:10,0.0,-93.8,-93.8,1286.0,37.8%,25(15%)/45(10%)/50(20%)
3125,SHORT_ONLY,13:00-13:10,0.0,-112.9,-112.9,1263.0,37.8%,25(15%)/40(15%)/60(20%)
3129,BOTH,13:00-13:10,-809.4,52.2,-757.1,2350.1,39.0%,25(15%)/45(10%)/45(20%)
3130,LONG_ONLY,13:00-13:10,-423.8,0.0,-423.8,1732.0,45.8%,25(15%)/45(10%)/50(20%)
3119,SHORT_ONLY,13:00-13:10,0.0,-191.7,-191.7,1313.0,37.8%,25(15%)/40(15%)/50(20%)
3126,BOTH,13:00-13:10,-735.0,31.6,-703.4,2168.3,39.8%,25(15%)/40(15%)/60(20%)
3127,LONG_ONLY,13:00-13:10,-422.2,0.0,-422.2,1744.0,45.8%,25(15%)/45(10%)/45(20%)
3122,SHORT_ONLY,13:00-13:10,0.0,-140.5,-140.5,1282.0,37.8%,25(15%)/40(15%)/55(20%)
3120,BOTH,13:00-13:10,-797.0,-20.1,-817.1,2364.2,39.8%,25(15%)/40(15%)/50(20%)
3121,LONG_ONLY,13:00-13:10,-393.8,0.0,-393.8,1665.0,47.0%,25(15%)/40(15%)/55(20%)
3123,BOTH,13:00-13:10,-768.6,23.1,-745.5,2222.6,39.8%,25(15%)/40(15%)/55(20%)
3118,LONG_ONLY,13:00-13:10,-416.1,0.0,-416.1,1659.0,47.0%,25(15%)/40(15%)/50(20%)
3115,LONG_ONLY,13:00-13:10,-414.6,0.0,-414.6,1671.0,47.0%,25(15%)/40(15%)/45(20%)
3117,BOTH,13:00-13:10,-795.4,-35.8,-831.1,2386.2,39.8%,25(15%)/40(15%)/45(20%)
