實驗ID,時間區間,多方損益,多方MDD估算,多方勝率估算,多方交易次數,參數,備註
97,12:00-12:15,-1118.2,1118.2,40.5%,95,15(10%)/40(15%)/50(20%),MDD/勝率為估算值
1279,12:15-12:30,-1118.2,1118.2,42.8%,95,15(20%)/40(15%)/40(20%),MDD/勝率為估算值
1621,12:15-12:30,-1118.4,1118.4,46.6%,92,25(10%)/25(10%)/40(20%),MDD/勝率為估算值
1618,12:15-12:30,-1118.8,1118.8,39.8%,94,20(20%)/40(20%)/50(20%),MDD/勝率為估算值
1518,12:15-12:30,-1118.9,1118.9,44.2%,54,20(20%)/25(10%)/45(20%),MDD/勝率為估算值
1591,12:15-12:30,-1122.2,1122.2,41.0%,94,20(20%)/35(20%)/50(20%),MDD/勝率為估算值
1101,12:15-12:30,-1123.0,1123.0,47.8%,54,15(15%)/25(20%)/40(20%),MDD/勝率為估算值
1419,12:15-12:30,-1124.0,1124.0,44.4%,54,20(15%)/25(15%)/45(20%),MDD/勝率為估算值
1524,12:15-12:30,-1124.1,1124.1,43.3%,54,20(20%)/25(15%)/40(20%),MDD/勝率為估算值
1714,12:15-12:30,-1124.2,1124.2,42.1%,94,25(10%)/40(15%)/45(20%),MDD/勝率為估算值
211,12:00-12:15,-1125.4,1125.4,39.4%,95,15(15%)/40(20%)/45(20%),MDD/勝率為估算值
1353,12:15-12:30,-1126.7,1126.7,40.6%,54,20(10%)/35(10%)/40(20%),MDD/勝率為估算值
1326,12:15-12:30,-1127.2,1127.2,42.4%,54,20(10%)/30(10%)/40(20%),MDD/勝率為估算值
996,12:15-12:30,-1128.9,1128.9,47.8%,54,15(10%)/25(20%)/45(20%),MDD/勝率為估算值
1291,12:15-12:30,-1129.4,1129.4,42.8%,95,15(20%)/40(20%)/45(20%),MDD/勝率為估算值
1320,12:15-12:30,-1130.0,1130.0,46.0%,54,20(10%)/25(20%)/45(20%),MDD/勝率為估算值
1425,12:15-12:30,-1130.1,1130.1,46.0%,54,20(15%)/25(20%)/40(20%),MDD/勝率為估算值
1191,12:15-12:30,-1130.2,1130.2,45.1%,54,15(20%)/25(10%)/40(20%),MDD/勝率為估算值
22,12:00-12:15,-1130.8,1130.8,44.0%,95,15(10%)/25(20%)/45(20%),MDD/勝率為估算值
1657,12:15-12:30,-1131.6,1131.6,45.6%,94,25(10%)/30(15%)/40(20%),MDD/勝率為估算值
945,12:00-12:15,-1132.2,1132.2,33.0%,50,25(20%)/35(20%)/50(20%),MDD/勝率為估算值
1264,12:15-12:30,-1134.4,1134.4,44.0%,95,15(20%)/35(20%)/45(20%),MDD/勝率為估算值
1786,12:15-12:30,-1137.2,1137.2,43.3%,94,25(15%)/35(10%)/45(20%),MDD/勝率為估算值
972,12:00-12:15,-1137.6,1137.6,32.8%,51,25(20%)/40(20%)/50(20%),MDD/勝率為估算值
981,12:15-12:30,-1137.8,1137.8,45.8%,54,15(10%)/25(10%)/50(20%),MDD/勝率為估算值
1186,12:15-12:30,-1137.8,1137.8,41.7%,95,15(15%)/40(20%)/50(20%),MDD/勝率為估算值
1732,12:15-12:30,-1138.6,1138.6,45.6%,94,25(15%)/25(10%)/45(20%),MDD/勝率為估算值
1681,12:15-12:30,-1139.0,1139.0,41.0%,94,25(10%)/35(10%)/50(20%),MDD/勝率為估算值
1864,12:15-12:30,-1141.0,1141.0,45.6%,94,25(20%)/30(10%)/40(20%),MDD/勝率為估算值
1305,12:15-12:30,-1141.9,1141.9,44.0%,54,20(10%)/25(10%)/50(20%),MDD/勝率為估算值
1159,12:15-12:30,-1142.8,1142.8,42.8%,95,15(15%)/35(20%)/50(20%),MDD/勝率為估算值
1461,12:15-12:30,-1142.9,1142.9,40.6%,54,20(15%)/35(10%)/40(20%),MDD/勝率為估算值
1029,12:15-12:30,-1144.4,1144.4,42.4%,54,15(10%)/35(10%)/40(20%),MDD/勝率為估算值
1104,12:15-12:30,-1145.5,1145.5,47.8%,54,15(15%)/25(20%)/45(20%),MDD/勝率為估算值
1434,12:15-12:30,-1145.7,1145.7,42.4%,54,20(15%)/30(10%)/40(20%),MDD/勝率為估算值
199,12:00-12:15,-1146.5,1146.5,39.4%,95,15(15%)/40(15%)/40(20%),MDD/勝率為估算值
1527,12:15-12:30,-1146.7,1146.7,43.3%,54,20(20%)/25(15%)/45(20%),MDD/勝率為估算值
1768,12:15-12:30,-1146.8,1146.8,44.9%,93,25(15%)/30(15%)/45(20%),MDD/勝率為估算值
310,12:00-12:15,-1147.3,1147.3,38.2%,95,15(20%)/40(15%)/45(20%),MDD/勝率為估算值
1813,12:15-12:30,-1147.4,1147.4,42.1%,94,25(15%)/40(10%)/45(20%),MDD/勝率為估算值
1708,12:15-12:30,-1149.2,1149.2,41.0%,94,25(10%)/40(10%)/50(20%),MDD/勝率為估算值
1356,12:15-12:30,-1149.3,1149.3,40.6%,54,20(10%)/35(10%)/45(20%),MDD/勝率為估算值
1329,12:15-12:30,-1149.8,1149.8,42.4%,54,20(10%)/30(10%)/45(20%),MDD/勝率為估算值
1684,12:15-12:30,-1149.8,1149.8,43.3%,94,25(10%)/35(15%)/40(20%),MDD/勝率為估算值
1762,12:15-12:30,-1150.8,1150.8,43.3%,94,25(15%)/30(10%)/50(20%),MDD/勝率為估算值
1002,12:15-12:30,-1151.2,1151.2,44.2%,54,15(10%)/30(10%)/40(20%),MDD/勝率為估算值
1380,12:15-12:30,-1152.1,1152.1,38.8%,54,20(10%)/40(10%)/40(20%),MDD/勝率為估算值
1089,12:15-12:30,-1152.3,1152.3,45.1%,54,15(15%)/25(10%)/50(20%),MDD/勝率為估算值
1428,12:15-12:30,-1152.7,1152.7,46.0%,54,20(15%)/25(20%)/45(20%),MDD/勝率為估算值
1194,12:15-12:30,-1152.8,1152.8,45.1%,54,15(20%)/25(10%)/45(20%),MDD/勝率為估算值
1533,12:15-12:30,-1152.8,1152.8,44.4%,54,20(20%)/25(20%)/40(20%),MDD/勝率為估算值
1137,12:15-12:30,-1153.5,1153.5,42.4%,54,15(15%)/35(10%)/40(20%),MDD/勝率為估算值
10,12:00-12:15,-1154.2,1154.2,44.0%,95,15(10%)/25(15%)/40(20%),MDD/勝率為估算值
1669,12:15-12:30,-1155.9,1155.9,45.6%,94,25(10%)/30(20%)/45(20%),MDD/勝率為估算值
1240,12:15-12:30,-1156.2,1156.2,44.0%,95,15(20%)/30(20%)/50(20%),MDD/勝率為估算值
46,12:00-12:15,-1156.8,1156.8,42.8%,95,15(10%)/30(20%)/40(20%),MDD/勝率為估算值
1711,12:15-12:30,-1157.5,1157.5,42.1%,94,25(10%)/40(15%)/40(20%),MDD/勝率為估算值
1335,12:15-12:30,-1157.7,1157.7,42.4%,54,20(10%)/30(15%)/40(20%),MDD/勝率為估算值
1362,12:15-12:30,-1157.8,1157.8,40.6%,54,20(10%)/35(15%)/40(20%),MDD/勝率為估算值
1200,12:15-12:30,-1158.0,1158.0,44.2%,54,15(20%)/25(15%)/40(20%),MDD/勝率為估算值
73,12:00-12:15,-1158.6,1158.6,41.7%,95,15(10%)/35(20%)/40(20%),MDD/勝率為估算值
1569,12:15-12:30,-1159.1,1159.1,40.6%,54,20(20%)/35(10%)/40(20%),MDD/勝率為估算值
298,12:00-12:15,-1160.9,1160.9,38.2%,95,15(20%)/40(10%)/40(20%),MDD/勝率為估算值
1633,12:15-12:30,-1161.6,1161.6,48.0%,94,25(10%)/25(15%)/45(20%),MDD/勝率為估算值
1110,12:15-12:30,-1162.2,1162.2,44.2%,54,15(15%)/30(10%)/40(20%),MDD/勝率為估算值
1413,12:15-12:30,-1162.5,1162.5,43.3%,54,20(15%)/25(10%)/50(20%),MDD/勝率為估算值
1288,12:15-12:30,-1162.8,1162.8,42.8%,95,15(20%)/40(20%)/40(20%),MDD/勝率為估算值
175,12:00-12:15,-1163.0,1163.0,39.4%,95,15(15%)/35(15%)/45(20%),MDD/勝率為估算值
34,12:00-12:15,-1164.2,1164.2,41.7%,95,15(10%)/30(10%)/50(20%),MDD/勝率為估算值
1542,12:15-12:30,-1164.2,1164.2,42.4%,54,20(20%)/30(10%)/40(20%),MDD/勝率為估算值
990,12:15-12:30,-1164.6,1164.6,46.9%,54,15(10%)/25(15%)/50(20%),MDD/勝率為估算值
148,12:00-12:15,-1164.9,1164.9,40.5%,95,15(15%)/30(15%)/45(20%),MDD/勝率為估算值
1464,12:15-12:30,-1165.5,1165.5,40.6%,54,20(15%)/35(10%)/45(20%),MDD/勝率為估算值
1735,12:15-12:30,-1166.6,1166.6,43.3%,94,25(15%)/25(10%)/50(20%),MDD/勝率為估算值
1032,12:15-12:30,-1167.0,1167.0,42.4%,54,15(10%)/35(10%)/45(20%),MDD/勝率為估算值
1314,12:15-12:30,-1167.2,1167.2,45.1%,54,20(10%)/25(15%)/50(20%),MDD/勝率為估算值
1261,12:15-12:30,-1167.8,1167.8,44.0%,95,15(20%)/35(20%)/40(20%),MDD/勝率為估算值
1056,12:15-12:30,-1168.0,1168.0,40.6%,54,15(10%)/40(10%)/40(20%),MDD/勝率為估算值
1437,12:15-12:30,-1168.3,1168.3,42.4%,54,20(15%)/30(10%)/45(20%),MDD/勝率為估算值
1488,12:15-12:30,-1168.3,1168.3,38.8%,54,20(15%)/40(10%)/40(20%),MDD/勝率為估算值
61,12:00-12:15,-1168.6,1168.6,40.5%,95,15(10%)/35(10%)/50(20%),MDD/勝率為估算值
1723,12:15-12:30,-1168.7,1168.7,42.1%,94,25(10%)/40(20%)/45(20%),MDD/勝率為估算值
106,12:00-12:15,-1169.8,1169.8,40.5%,95,15(10%)/40(20%)/50(20%),MDD/勝率為估算值
1783,12:15-12:30,-1170.6,1170.6,43.3%,94,25(15%)/35(10%)/40(20%),MDD/勝率為估算值
112,12:00-12:15,-1171.8,1171.8,40.5%,95,15(15%)/25(10%)/45(20%),MDD/勝率為估算值
1729,12:15-12:30,-1172.0,1172.0,45.6%,94,25(15%)/25(10%)/40(20%),MDD/勝率為估算值
1696,12:15-12:30,-1172.1,1172.1,43.3%,94,25(10%)/35(20%)/45(20%),MDD/勝率為估算值
1005,12:15-12:30,-1173.8,1173.8,44.2%,54,15(10%)/30(10%)/45(20%),MDD/勝率為估算值
1470,12:15-12:30,-1174.0,1174.0,40.0%,54,20(15%)/35(15%)/40(20%),MDD/勝率為估算值
1383,12:15-12:30,-1174.7,1174.7,38.8%,54,20(10%)/40(10%)/45(20%),MDD/勝率為估算值
1258,12:15-12:30,-1174.8,1174.8,41.7%,95,15(20%)/35(15%)/50(20%),MDD/勝率為估算值
1536,12:15-12:30,-1175.4,1175.4,44.4%,54,20(20%)/25(20%)/45(20%),MDD/勝率為估算值
1140,12:15-12:30,-1176.2,1176.2,42.4%,54,15(15%)/35(10%)/45(20%),MDD/勝率為估算值
1443,12:15-12:30,-1176.2,1176.2,41.8%,54,20(15%)/30(15%)/40(20%),MDD/勝率為估算值
1164,12:15-12:30,-1177.2,1177.2,40.6%,54,15(15%)/40(10%)/40(20%),MDD/勝率為估算值
1038,12:15-12:30,-1177.3,1177.3,42.4%,54,15(10%)/35(15%)/40(20%),MDD/勝率為估算值
7,12:00-12:15,-1177.5,1177.5,42.1%,94,15(10%)/25(10%)/50(20%),MDD/勝率為估算值
1098,12:15-12:30,-1179.2,1179.2,45.3%,54,15(15%)/25(15%)/50(20%),MDD/勝率為估算值
1765,12:15-12:30,-1180.2,1180.2,44.9%,93,25(15%)/30(15%)/40(20%),MDD/勝率為估算值
1338,12:15-12:30,-1180.3,1180.3,42.4%,54,20(10%)/30(15%)/45(20%),MDD/勝率為估算值
1365,12:15-12:30,-1180.3,1180.3,40.6%,54,20(10%)/35(15%)/45(20%),MDD/勝率為估算值
1203,12:15-12:30,-1180.7,1180.7,44.2%,54,15(20%)/25(15%)/45(20%),MDD/勝率為估算值
1285,12:15-12:30,-1180.8,1180.8,40.5%,95,15(20%)/40(15%)/50(20%),MDD/勝率為估算值
1389,12:15-12:30,-1180.8,1180.8,38.8%,54,20(10%)/40(15%)/40(20%),MDD/勝率為估算值
1810,12:15-12:30,-1180.8,1180.8,42.1%,94,25(15%)/40(10%)/40(20%),MDD/勝率為估算值
1572,12:15-12:30,-1181.7,1181.7,40.6%,54,20(20%)/35(10%)/45(20%),MDD/勝率為估算值
1521,12:15-12:30,-1183.1,1183.1,43.3%,54,20(20%)/25(10%)/50(20%),MDD/勝率為估算值
1894,12:15-12:30,-1183.7,1183.7,43.3%,94,25(20%)/35(10%)/45(20%),MDD/勝率為估算值
1011,12:15-12:30,-1183.8,1183.8,44.2%,54,15(10%)/30(15%)/40(20%),MDD/勝率為估算值
1636,12:15-12:30,-1184.4,1184.4,48.0%,94,25(10%)/25(15%)/50(20%),MDD/勝率為估算值
163,12:00-12:15,-1184.5,1184.5,39.4%,95,15(15%)/35(10%)/40(20%),MDD/勝率為估算值
1596,12:15-12:30,-1184.5,1184.5,38.8%,54,20(20%)/40(10%)/40(20%),MDD/勝率為估算值
1113,12:15-12:30,-1184.8,1184.8,44.2%,54,15(15%)/30(10%)/45(20%),MDD/勝率為估算值
247,12:00-12:15,-1185.4,1185.4,39.4%,95,15(20%)/30(10%)/45(20%),MDD/勝率為估算值
1146,12:15-12:30,-1186.5,1186.5,41.8%,54,15(15%)/35(15%)/40(20%),MDD/勝率為估算值
1209,12:15-12:30,-1186.8,1186.8,45.3%,54,15(20%)/25(20%)/40(20%),MDD/勝率為估算值
1545,12:15-12:30,-1186.8,1186.8,42.4%,54,20(20%)/30(10%)/45(20%),MDD/勝率為估算值
274,12:00-12:15,-1187.3,1187.3,38.2%,95,15(20%)/35(10%)/45(20%),MDD/勝率為估算值
1422,12:15-12:30,-1187.8,1187.8,43.4%,54,20(15%)/25(15%)/50(20%),MDD/勝率為估算值
136,12:00-12:15,-1188.0,1188.0,40.5%,95,15(15%)/30(10%)/40(20%),MDD/勝率為估算值
1344,12:15-12:30,-1188.2,1188.2,42.4%,54,20(10%)/30(20%)/40(20%),MDD/勝率為估算值
1371,12:15-12:30,-1188.8,1188.8,40.6%,54,20(10%)/35(20%)/40(20%),MDD/勝率為估算值
1666,12:15-12:30,-1189.3,1189.3,45.6%,94,25(10%)/30(20%)/40(20%),MDD/勝率為估算值
1578,12:15-12:30,-1190.2,1190.2,39.7%,54,20(20%)/35(15%)/40(20%),MDD/勝率為估算值
1663,12:15-12:30,-1190.3,1190.3,43.3%,94,25(10%)/30(15%)/50(20%),MDD/勝率為估算值
1059,12:15-12:30,-1190.6,1190.6,40.6%,54,15(10%)/40(10%)/45(20%),MDD/勝率為估算值
1491,12:15-12:30,-1190.9,1190.9,38.8%,54,20(15%)/40(10%)/45(20%),MDD/勝率為估算值
999,12:15-12:30,-1192.3,1192.3,46.9%,54,15(10%)/25(20%)/50(20%),MDD/勝率為估算值
1795,12:15-12:30,-1193.0,1193.0,43.3%,94,25(15%)/35(15%)/45(20%),MDD/勝率為估算值
1840,12:15-12:30,-1193.1,1193.1,45.6%,94,25(20%)/25(10%)/45(20%),MDD/勝率為估算值
1323,12:15-12:30,-1193.4,1193.4,45.1%,54,20(10%)/25(20%)/50(20%),MDD/勝率為估算值
1921,12:15-12:30,-1193.9,1193.9,42.1%,94,25(20%)/40(10%)/45(20%),MDD/勝率為估算值
1119,12:15-12:30,-1194.7,1194.7,43.6%,54,15(15%)/30(15%)/40(20%),MDD/勝率為估算值
1551,12:15-12:30,-1194.7,1194.7,41.5%,54,20(20%)/30(15%)/40(20%),MDD/勝率為估算值
1690,12:15-12:30,-1194.8,1194.8,41.0%,94,25(10%)/35(15%)/50(20%),MDD/勝率為估算值
1630,12:15-12:30,-1195.0,1195.0,48.0%,94,25(10%)/25(15%)/40(20%),MDD/勝率為估算值
1876,12:15-12:30,-1196.3,1196.3,44.5%,94,25(20%)/30(15%)/45(20%),MDD/勝率為估算值
1473,12:15-12:30,-1196.5,1196.5,40.0%,54,20(15%)/35(15%)/45(20%),MDD/勝率為估算值
1497,12:15-12:30,-1197.0,1197.0,38.8%,54,20(15%)/40(15%)/40(20%),MDD/勝率為估算值
319,12:00-12:15,-1197.6,1197.6,38.2%,95,15(20%)/40(20%)/45(20%),MDD/勝率為估算值
1870,12:15-12:30,-1197.8,1197.8,43.3%,94,25(20%)/30(10%)/50(20%),MDD/勝率為估算值
208,12:00-12:15,-1198.8,1198.8,39.4%,95,15(15%)/40(20%)/40(20%),MDD/勝率為估算值
1065,12:15-12:30,-1198.8,1198.8,40.6%,54,15(10%)/40(15%)/40(20%),MDD/勝率為估算值
1446,12:15-12:30,-1198.8,1198.8,41.8%,54,20(15%)/30(15%)/45(20%),MDD/勝率為估算值
1167,12:15-12:30,-1199.8,1199.8,40.6%,54,15(15%)/40(10%)/45(20%),MDD/勝率為估算值
1041,12:15-12:30,-1200.0,1200.0,42.4%,54,15(10%)/35(15%)/45(20%),MDD/勝率為估算值
1398,12:15-12:30,-1200.8,1200.8,38.8%,54,20(10%)/40(20%)/40(20%),MDD/勝率為估算值
1822,12:15-12:30,-1200.8,1200.8,42.1%,94,25(15%)/40(15%)/45(20%),MDD/勝率為估算值
1720,12:15-12:30,-1202.1,1202.1,42.1%,94,25(10%)/40(20%)/40(20%),MDD/勝率為估算值
1717,12:15-12:30,-1202.5,1202.5,41.0%,94,25(10%)/40(15%)/50(20%),MDD/勝率為估算值
1392,12:15-12:30,-1203.5,1203.5,38.8%,54,20(10%)/40(15%)/45(20%),MDD/勝率為估算值
19,12:00-12:15,-1204.2,1204.2,44.0%,95,15(10%)/25(20%)/40(20%),MDD/勝率為估算值
1777,12:15-12:30,-1204.5,1204.5,45.6%,94,25(15%)/30(20%)/45(20%),MDD/勝率為估算值
1479,12:15-12:30,-1205.0,1205.0,40.6%,54,20(15%)/35(20%)/40(20%),MDD/勝率為估算值
1693,12:15-12:30,-1205.5,1205.5,43.3%,94,25(10%)/35(20%)/40(20%),MDD/勝率為估算值
1014,12:15-12:30,-1206.3,1206.3,44.2%,54,15(10%)/30(15%)/45(20%),MDD/勝率為估算值
1452,12:15-12:30,-1206.7,1206.7,42.4%,54,20(15%)/30(20%)/40(20%),MDD/勝率為估算值
196,12:00-12:15,-1206.8,1206.8,38.2%,95,15(15%)/40(10%)/50(20%),MDD/勝率為估算值
1107,12:15-12:30,-1206.8,1206.8,46.9%,54,15(15%)/25(20%)/50(20%),MDD/勝率為估算值
1599,12:15-12:30,-1207.1,1207.1,38.8%,54,20(20%)/40(10%)/45(20%),MDD/勝率為估算值
1173,12:15-12:30,-1207.9,1207.9,40.6%,54,15(15%)/40(15%)/40(20%),MDD/勝率為估算值
1530,12:15-12:30,-1208.4,1208.4,42.4%,54,20(20%)/25(15%)/50(20%),MDD/勝率為估算值
1149,12:15-12:30,-1209.1,1209.1,41.8%,54,15(15%)/35(15%)/45(20%),MDD/勝率為估算值
1212,12:15-12:30,-1209.4,1209.4,45.3%,54,15(20%)/25(20%)/45(20%),MDD/勝率為估算值
1047,12:15-12:30,-1210.3,1210.3,42.4%,54,15(10%)/35(20%)/40(20%),MDD/勝率為估算值
1347,12:15-12:30,-1210.8,1210.8,42.4%,54,20(10%)/30(20%)/45(20%),MDD/勝率為估算值
1374,12:15-12:30,-1211.4,1211.4,40.6%,54,20(10%)/35(20%)/45(20%),MDD/勝率為估算值
1581,12:15-12:30,-1212.8,1212.8,39.7%,54,20(20%)/35(15%)/45(20%),MDD/勝率為估算值
43,12:00-12:15,-1213.0,1213.0,41.7%,95,15(10%)/30(15%)/50(20%),MDD/勝率為估算值
1605,12:15-12:30,-1213.2,1213.2,38.8%,54,20(20%)/40(15%)/40(20%),MDD/勝率為估算值
1431,12:15-12:30,-1214.0,1214.0,45.1%,54,20(15%)/25(20%)/50(20%),MDD/勝率為估算值
157,12:00-12:15,-1215.2,1215.2,40.5%,95,15(15%)/30(20%)/45(20%),MDD/勝率為估算值
1741,12:15-12:30,-1215.2,1215.2,45.9%,91,25(15%)/25(15%)/45(20%),MDD/勝率為估算值
1789,12:15-12:30,-1215.6,1215.6,41.0%,94,25(15%)/35(10%)/50(20%),MDD/勝率為估算值
1020,12:15-12:30,-1216.3,1216.3,44.2%,54,15(10%)/30(20%)/40(20%),MDD/勝率為估算值
1197,12:15-12:30,-1217.0,1217.0,44.2%,54,15(20%)/25(10%)/50(20%),MDD/勝率為估算值
1506,12:15-12:30,-1217.0,1217.0,38.8%,54,20(15%)/40(20%)/40(20%),MDD/勝率為估算值
1891,12:15-12:30,-1217.1,1217.1,43.3%,94,25(20%)/35(10%)/40(20%),MDD/勝率為估算值
1122,12:15-12:30,-1217.3,1217.3,43.6%,54,15(15%)/30(15%)/45(20%),MDD/勝率為估算值
1554,12:15-12:30,-1217.3,1217.3,41.5%,54,20(20%)/30(15%)/45(20%),MDD/勝率為估算值
184,12:00-12:15,-1217.6,1217.6,39.4%,95,15(15%)/35(20%)/45(20%),MDD/勝率為估算值
121,12:00-12:15,-1218.5,1218.5,41.0%,94,15(15%)/25(15%)/45(20%),MDD/勝率為估算值
1359,12:15-12:30,-1218.9,1218.9,39.7%,54,20(10%)/35(10%)/50(20%),MDD/勝率為估算值
70,12:00-12:15,-1219.1,1219.1,40.5%,95,15(10%)/35(15%)/50(20%),MDD/勝率為估算值
