實驗ID,時間區間,空方損益,空方MDD估算,空方勝率估算,空方交易次數,參數,備註
3272,12:45-13:00,620.4,433.0,50.0%,77,20(10%)/30(10%)/45(20%),MDD/勝率為估算值
2948,12:45-13:00,607.5,440.0,50.0%,77,15(10%)/30(10%)/45(20%),MDD/勝率為估算值
3269,12:45-13:00,596.6,426.0,50.0%,77,20(10%)/30(10%)/40(20%),MDD/勝率為估算值
2945,12:45-13:00,583.7,433.0,50.0%,77,15(10%)/30(10%)/40(20%),MDD/勝率為估算值
3380,12:45-13:00,577.5,439.0,49.4%,78,20(15%)/30(10%)/45(20%),MDD/勝率為估算值
3281,12:45-13:00,571.9,438.0,50.8%,78,20(10%)/30(15%)/45(20%),MDD/勝率為估算值
2957,12:45-13:00,559.0,445.0,50.8%,78,15(10%)/30(15%)/45(20%),MDD/勝率為估算值
3377,12:45-13:00,553.8,432.0,49.4%,78,20(15%)/30(10%)/40(20%),MDD/勝率為估算值
3278,12:45-13:00,548.0,431.0,50.8%,78,20(10%)/30(15%)/40(20%),MDD/勝率為估算值
3275,12:45-13:00,540.4,479.0,50.0%,77,20(10%)/30(10%)/50(20%),MDD/勝率為估算值
3596,12:45-13:00,536.8,443.0,48.6%,77,25(10%)/30(10%)/45(20%),MDD/勝率為估算值
2954,12:45-13:00,535.1,438.0,50.8%,78,15(10%)/30(15%)/40(20%),MDD/勝率為估算值
3488,12:45-13:00,534.7,450.0,49.4%,78,20(20%)/30(10%)/45(20%),MDD/勝率為估算值
3245,12:45-13:00,533.0,388.0,51.4%,77,20(10%)/25(10%)/45(20%),MDD/勝率為估算值
3389,12:45-13:00,529.0,444.0,50.0%,77,20(15%)/30(15%)/45(20%),MDD/勝率為估算值
2951,12:45-13:00,527.5,486.0,50.0%,77,15(10%)/30(10%)/50(20%),MDD/勝率為估算值
3290,12:45-13:00,523.3,442.0,50.8%,78,20(10%)/30(20%)/45(20%),MDD/勝率為估算值
3056,12:45-13:00,517.3,444.0,49.4%,78,15(15%)/30(10%)/45(20%),MDD/勝率為估算值
3593,12:45-13:00,513.0,436.0,48.6%,77,25(10%)/30(10%)/40(20%),MDD/勝率為估算值
2921,12:45-13:00,512.9,399.0,50.0%,77,15(10%)/25(10%)/45(20%),MDD/勝率為估算值
3485,12:45-13:00,510.9,443.0,49.4%,78,20(20%)/30(10%)/40(20%),MDD/勝率為估算值
