實驗ID,時間區間,空方損益,空方MDD估算,空方勝率估算,空方交易次數,參數,備註
1601,11:15-11:30,-298.8,298.8,42.0%,89,20(20%)/40(10%)/50(20%),MDD/勝率為估算值
4652,10:45-11:00,-299.4,299.4,45.7%,101,25(15%)/25(10%)/50(20%),MDD/勝率為估算值
4349,10:45-11:00,-299.6,299.6,50.1%,101,20(15%)/30(10%)/40(20%),MDD/勝率為估算值
4628,10:45-11:00,-299.8,299.8,49.0%,101,25(10%)/40(15%)/40(20%),MDD/勝率為估算值
1461,11:15-11:30,-300.0,300.0,43.8%,53,20(15%)/35(10%)/40(20%),MDD/勝率為估算值
1821,11:15-11:30,-300.6,300.6,49.8%,53,25(15%)/40(15%)/40(20%),MDD/勝率為估算值
4737,10:45-11:00,-300.7,300.7,47.9%,70,25(15%)/40(15%)/40(20%),MDD/勝率為估算值
1502,11:15-11:30,-301.0,301.0,42.0%,89,20(15%)/40(15%)/50(20%),MDD/勝率為估算值
4734,10:45-11:00,-301.1,301.1,46.4%,70,25(15%)/40(10%)/50(20%),MDD/勝率為估算值
1800,11:15-11:30,-301.3,301.3,52.6%,53,25(15%)/35(15%)/50(20%),MDD/勝率為估算值
1041,11:15-11:30,-301.9,301.9,51.7%,53,15(10%)/35(15%)/45(20%),MDD/勝率為估算值
1185,11:15-11:30,-301.9,301.9,48.9%,53,15(15%)/40(20%)/45(20%),MDD/勝率為估算值
4055,10:45-11:00,-301.9,301.9,45.7%,101,15(15%)/35(10%)/45(20%),MDD/勝率為估算值
1172,11:15-11:30,-302.1,302.1,43.3%,89,15(15%)/40(15%)/40(20%),MDD/勝率為估算值
4733,10:45-11:00,-302.1,302.1,47.9%,101,25(15%)/40(10%)/50(20%),MDD/勝率為估算值
1175,11:15-11:30,-303.1,303.1,42.0%,89,15(15%)/40(15%)/45(20%),MDD/勝率為估算值
4581,10:45-11:00,-303.5,303.5,48.6%,70,25(10%)/30(15%)/50(20%),MDD/勝率為估算值
1349,11:15-11:30,-303.8,303.8,45.7%,89,20(10%)/30(20%)/50(20%),MDD/勝率為估算值
1556,11:15-11:30,-303.9,303.9,45.7%,89,20(20%)/30(15%)/50(20%),MDD/勝率為估算值
4058,10:45-11:00,-303.9,303.9,44.7%,101,15(15%)/35(10%)/50(20%),MDD/勝率為估算值
1398,11:15-11:30,-304.2,304.2,49.8%,53,20(10%)/40(20%)/40(20%),MDD/勝率為估算值
4137,10:45-11:00,-304.3,304.3,47.1%,70,15(20%)/30(10%)/45(20%),MDD/勝率為估算值
4215,10:45-11:00,-304.5,304.5,50.1%,68,20(10%)/25(10%)/40(20%),MDD/勝率為估算值
1392,11:15-11:30,-304.6,304.6,40.0%,53,20(10%)/40(15%)/45(20%),MDD/勝率為估算值
4578,10:45-11:00,-304.8,304.8,49.3%,70,25(10%)/30(15%)/45(20%),MDD/勝率為估算值
1575,11:15-11:30,-305.3,305.3,50.8%,53,20(20%)/35(10%)/50(20%),MDD/勝率為估算值
4655,10:45-11:00,-305.7,305.7,51.6%,96,25(15%)/25(15%)/40(20%),MDD/勝率為估算值
3107,11:45-12:00,-306.1,306.1,43.3%,99,15(15%)/40(10%)/40(20%),MDD/勝率為估算值
1131,11:15-11:30,-306.9,306.9,52.6%,53,15(15%)/30(20%)/45(20%),MDD/勝率為估算值
4679,10:45-11:00,-307.6,307.6,47.9%,101,25(15%)/30(10%)/50(20%),MDD/勝率為估算值
1475,11:15-11:30,-308.1,308.1,43.3%,89,20(15%)/35(15%)/50(20%),MDD/勝率為估算值
1047,11:15-11:30,-308.4,308.4,52.6%,53,15(10%)/35(20%)/40(20%),MDD/勝率為估算值
1344,11:15-11:30,-309.2,309.2,54.5%,53,20(10%)/30(20%)/40(20%),MDD/勝率為估算值
1338,11:15-11:30,-309.9,309.9,43.8%,53,20(10%)/30(15%)/45(20%),MDD/勝率為估算值
1551,11:15-11:30,-309.9,309.9,53.6%,53,20(20%)/30(15%)/40(20%),MDD/勝率為估算值
1944,11:15-11:30,-310.2,310.2,48.9%,53,25(20%)/40(20%)/50(20%),MDD/勝率為估算值
1545,11:15-11:30,-310.5,310.5,43.1%,53,20(20%)/30(10%)/45(20%),MDD/勝率為估算值
1722,11:15-11:30,-311.6,311.6,49.8%,53,25(10%)/40(20%)/40(20%),MDD/勝率為估算值
3986,10:45-11:00,-311.6,311.6,44.7%,101,15(10%)/40(15%)/50(20%),MDD/勝率為估算值
1377,11:15-11:30,-311.8,311.8,42.3%,53,20(10%)/35(20%)/50(20%),MDD/勝率為估算值
1136,11:15-11:30,-312.1,312.1,43.3%,89,15(15%)/35(10%)/40(20%),MDD/勝率為估算值
1716,11:15-11:30,-312.1,312.1,49.8%,53,25(10%)/40(15%)/45(20%),MDD/勝率為估算值
1574,11:15-11:30,-312.4,312.4,43.3%,89,20(20%)/35(10%)/50(20%),MDD/勝率為估算值
3941,10:45-11:00,-312.8,312.8,46.8%,101,15(10%)/30(20%)/50(20%),MDD/勝率為估算值
4638,10:45-11:00,-312.8,312.8,47.9%,70,25(10%)/40(20%)/40(20%),MDD/勝率為估算值
1139,11:15-11:30,-313.1,313.1,42.0%,89,15(15%)/35(10%)/45(20%),MDD/勝率為估算值
1785,11:15-11:30,-314.1,314.1,53.6%,53,25(15%)/35(10%)/40(20%),MDD/勝率為估算值
4602,10:45-11:00,-314.4,314.4,49.3%,70,25(10%)/35(15%)/40(20%),MDD/勝率為估算值
1923,11:15-11:30,-315.5,315.5,48.9%,53,25(20%)/40(10%)/45(20%),MDD/勝率為估算值
4242,10:45-11:00,-315.7,315.7,49.3%,70,20(10%)/30(10%)/40(20%),MDD/勝率為估算值
1217,11:15-11:30,-316.9,316.9,45.7%,89,15(20%)/30(10%)/40(20%),MDD/勝率為估算值
4580,10:45-11:00,-317.2,317.2,49.0%,101,25(10%)/30(15%)/50(20%),MDD/勝率為估算值
4622,10:45-11:00,-317.5,317.5,47.9%,101,25(10%)/40(10%)/45(20%),MDD/勝率為估算值
1149,11:15-11:30,-317.8,317.8,51.7%,53,15(15%)/35(15%)/45(20%),MDD/勝率為估算值
1220,11:15-11:30,-317.9,317.9,44.5%,89,15(20%)/30(10%)/45(20%),MDD/勝率為估算值
1356,11:15-11:30,-318.1,318.1,43.1%,53,20(10%)/35(10%)/45(20%),MDD/勝率為估算值
4754,10:45-11:00,-318.7,318.7,49.0%,101,25(20%)/25(10%)/40(20%),MDD/勝率為估算值
1701,11:15-11:30,-319.2,319.2,52.6%,53,25(10%)/35(20%)/50(20%),MDD/勝率為估算值
4770,10:45-11:00,-319.3,319.3,44.3%,70,25(20%)/25(15%)/50(20%),MDD/勝率為估算值
3938,10:45-11:00,-319.6,319.6,47.9%,101,15(10%)/30(20%)/45(20%),MDD/勝率為估算值
1290,11:15-11:30,-319.8,319.8,49.8%,53,15(20%)/40(20%)/40(20%),MDD/勝率為估算值
1362,11:15-11:30,-320.1,320.1,53.6%,53,20(10%)/35(15%)/40(20%),MDD/勝率為估算值
1284,11:15-11:30,-320.2,320.2,48.9%,53,15(20%)/40(15%)/45(20%),MDD/勝率為估算值
4550,10:45-11:00,-320.4,320.4,54.5%,101,25(10%)/25(15%)/45(20%),MDD/勝率為估算值
4767,10:45-11:00,-320.6,320.6,45.7%,70,25(20%)/25(15%)/45(20%),MDD/勝率為估算值
4169,10:45-11:00,-320.8,320.8,47.9%,101,15(20%)/35(15%)/40(20%),MDD/勝率為估算值
4692,10:45-11:00,-320.8,320.8,49.3%,70,25(15%)/30(20%)/40(20%),MDD/勝率為估算值
3323,11:45-12:00,-321.4,321.4,43.3%,99,20(10%)/40(10%)/40(20%),MDD/勝率為估算值
1506,11:15-11:30,-322.3,322.3,49.8%,53,20(15%)/40(20%)/40(20%),MDD/勝率為估算值
1239,11:15-11:30,-322.8,322.8,51.7%,53,15(20%)/30(20%)/45(20%),MDD/勝率為估算值
1500,11:15-11:30,-322.8,322.8,48.9%,53,20(15%)/40(15%)/45(20%),MDD/勝率為估算值
