實驗ID,時間區間,多方損益,多方MDD估算,多方勝率估算,多方交易次數,參數,備註
4564,10:45-11:00,2962.4,541.0,72.6%,97,25(10%)/30(10%)/40(20%),MDD/勝率為估算值
4567,10:45-11:00,2955.6,541.0,72.2%,96,25(10%)/30(10%)/45(20%),MDD/勝率為估算值
4594,10:45-11:00,2929.9,568.0,69.2%,97,25(10%)/35(10%)/45(20%),MDD/勝率為估算值
4591,10:45-11:00,2919.3,568.0,69.2%,97,25(10%)/35(10%)/40(20%),MDD/勝率為估算值
4672,10:45-11:00,2866.9,542.0,71.8%,98,25(15%)/30(10%)/40(20%),MDD/勝率為估算值
4675,10:45-11:00,2860.2,542.0,70.7%,98,25(15%)/30(10%)/45(20%),MDD/勝率為估算值
4573,10:45-11:00,2850.3,542.0,73.0%,98,25(10%)/30(15%)/40(20%),MDD/勝率為估算值
4576,10:45-11:00,2846.8,542.0,73.0%,98,25(10%)/30(15%)/45(20%),MDD/勝率為估算值
4702,10:45-11:00,2838.2,569.0,68.5%,98,25(15%)/35(10%)/45(20%),MDD/勝率為估算值
4570,10:45-11:00,2833.6,542.0,71.0%,96,25(10%)/30(10%)/50(20%),MDD/勝率為估算值
4699,10:45-11:00,2827.6,569.0,68.5%,98,25(15%)/35(10%)/40(20%),MDD/勝率為估算值
4603,10:45-11:00,2809.3,568.0,69.6%,98,25(10%)/35(15%)/45(20%),MDD/勝率為估算值
4597,10:45-11:00,2807.9,568.0,68.0%,97,25(10%)/35(10%)/50(20%),MDD/勝率為估算值
4600,10:45-11:00,2798.8,568.0,69.6%,98,25(10%)/35(15%)/40(20%),MDD/勝率為估算值
4243,10:45-11:00,2756.5,445.0,71.1%,99,20(10%)/30(10%)/45(20%),MDD/勝率為估算值
4681,10:45-11:00,2754.8,543.0,72.6%,97,25(15%)/30(15%)/40(20%),MDD/勝率為估算值
4684,10:45-11:00,2751.3,543.0,72.2%,96,25(15%)/30(15%)/45(20%),MDD/勝率為估算值
4582,10:45-11:00,2748.6,544.0,73.0%,98,25(10%)/30(20%)/40(20%),MDD/勝率為估算值
4240,10:45-11:00,2745.9,445.0,71.1%,99,20(10%)/30(10%)/40(20%),MDD/勝率為估算值
4678,10:45-11:00,2740.8,542.0,69.6%,98,25(15%)/30(10%)/50(20%),MDD/勝率為估算值
4621,10:45-11:00,2738.4,568.0,65.1%,98,25(10%)/40(10%)/45(20%),MDD/勝率為估算值
4270,10:45-11:00,2736.8,472.0,68.9%,99,20(10%)/35(10%)/45(20%),MDD/勝率為估算值
4585,10:45-11:00,2730.4,544.0,73.0%,98,25(10%)/30(20%)/45(20%),MDD/勝率為估算值
4579,10:45-11:00,2728.7,542.0,71.8%,98,25(10%)/30(15%)/50(20%),MDD/勝率為估算值
4618,10:45-11:00,2727.8,568.0,65.1%,98,25(10%)/40(10%)/40(20%),MDD/勝率為估算值
4267,10:45-11:00,2726.2,472.0,68.9%,99,20(10%)/35(10%)/40(20%),MDD/勝率為估算值
4705,10:45-11:00,2718.8,569.0,67.3%,98,25(15%)/35(10%)/50(20%),MDD/勝率為估算值
4537,10:45-11:00,2718.2,541.0,73.3%,90,25(10%)/25(10%)/40(20%),MDD/勝率為估算值
4711,10:45-11:00,2717.6,569.0,69.2%,97,25(15%)/35(15%)/45(20%),MDD/勝率為估算值
4708,10:45-11:00,2707.0,569.0,69.2%,97,25(15%)/35(15%)/40(20%),MDD/勝率為估算值
4780,10:45-11:00,2698.2,544.0,71.8%,98,25(20%)/30(10%)/40(20%),MDD/勝率為估算值
4783,10:45-11:00,2691.4,544.0,70.7%,98,25(20%)/30(10%)/45(20%),MDD/勝率為估算值
4606,10:45-11:00,2691.2,568.0,68.5%,98,25(10%)/35(15%)/50(20%),MDD/勝率為估算值
4612,10:45-11:00,2688.8,568.0,69.6%,98,25(10%)/35(20%)/45(20%),MDD/勝率為估算值
4609,10:45-11:00,2678.2,568.0,69.6%,98,25(10%)/35(20%)/40(20%),MDD/勝率為估算值
4810,10:45-11:00,2674.9,571.0,68.5%,98,25(20%)/35(10%)/45(20%),MDD/勝率為估算值
4807,10:45-11:00,2664.3,571.0,68.5%,98,25(20%)/35(10%)/40(20%),MDD/勝率為估算值
4729,10:45-11:00,2658.2,569.0,65.1%,98,25(15%)/40(10%)/45(20%),MDD/勝率為估算值
4351,10:45-11:00,2656.4,446.0,71.1%,99,20(15%)/30(10%)/45(20%),MDD/勝率為估算值
4690,10:45-11:00,2648.1,545.0,73.0%,98,25(15%)/30(20%)/40(20%),MDD/勝率為估算值
4726,10:45-11:00,2647.6,569.0,65.1%,98,25(15%)/40(10%)/40(20%),MDD/勝率為估算值
4348,10:45-11:00,2645.8,446.0,71.1%,99,20(15%)/30(10%)/40(20%),MDD/勝率為估算值
4252,10:45-11:00,2642.4,446.0,71.1%,99,20(10%)/30(15%)/45(20%),MDD/勝率為估算值
4378,10:45-11:00,2640.8,473.0,68.9%,99,20(15%)/35(10%)/45(20%),MDD/勝率為估算值
4546,10:45-11:00,2639.6,542.0,76.3%,98,25(10%)/25(15%)/40(20%),MDD/勝率為估算值
4216,10:45-11:00,2636.1,445.0,71.8%,98,20(10%)/25(10%)/45(20%),MDD/勝率為估算值
4687,10:45-11:00,2635.9,543.0,71.0%,96,25(15%)/30(15%)/50(20%),MDD/勝率為估算值
4246,10:45-11:00,2634.5,519.0,70.0%,99,20(10%)/30(10%)/50(20%),MDD/勝率為估算值
4249,10:45-11:00,2631.8,446.0,71.1%,99,20(10%)/30(15%)/40(20%),MDD/勝率為估算值
4375,10:45-11:00,2630.2,473.0,68.9%,99,20(15%)/35(10%)/40(20%),MDD/勝率為估算值
4693,10:45-11:00,2629.8,545.0,73.0%,98,25(15%)/30(20%)/45(20%),MDD/勝率為估算值
3919,10:45-11:00,2625.6,393.0,72.2%,99,15(10%)/30(10%)/45(20%),MDD/勝率為估算值
4213,10:45-11:00,2622.3,445.0,71.8%,98,20(10%)/25(10%)/40(20%),MDD/勝率為估算值
4540,10:45-11:00,2620.4,541.0,72.5%,88,25(10%)/25(10%)/45(20%),MDD/勝率為估算值
4645,10:45-11:00,2617.2,542.0,67.3%,98,25(15%)/25(10%)/40(20%),MDD/勝率為估算值
4588,10:45-11:00,2616.2,544.0,71.8%,98,25(10%)/30(20%)/50(20%),MDD/勝率為估算值
4630,10:45-11:00,2616.1,568.0,65.1%,98,25(10%)/40(15%)/45(20%),MDD/勝率為估算值
3916,10:45-11:00,2615.0,393.0,72.2%,99,15(10%)/30(10%)/40(20%),MDD/勝率為估算值
4273,10:45-11:00,2614.8,519.0,67.8%,99,20(10%)/35(10%)/50(20%),MDD/勝率為估算值
4279,10:45-11:00,2614.2,472.0,68.9%,99,20(10%)/35(15%)/45(20%),MDD/勝率為估算值
4624,10:45-11:00,2611.0,625.0,64.0%,98,25(10%)/40(10%)/50(20%),MDD/勝率為估算值
4627,10:45-11:00,2605.5,568.0,65.1%,98,25(10%)/40(15%)/40(20%),MDD/勝率為估算值
3946,10:45-11:00,2604.1,420.0,70.0%,99,15(10%)/35(10%)/45(20%),MDD/勝率為估算值
4276,10:45-11:00,2603.7,472.0,68.9%,99,20(10%)/35(15%)/40(20%),MDD/勝率為估算值
4714,10:45-11:00,2602.2,569.0,68.0%,97,25(15%)/35(15%)/50(20%),MDD/勝率為估算值
4219,10:45-11:00,2596.3,445.0,71.4%,97,20(10%)/25(10%)/50(20%),MDD/勝率為估算值
3943,10:45-11:00,2593.5,420.0,70.0%,99,15(10%)/35(10%)/40(20%),MDD/勝率為估算值
4720,10:45-11:00,2591.9,569.0,69.6%,98,25(15%)/35(20%)/45(20%),MDD/勝率為估算值
4789,10:45-11:00,2587.9,545.0,71.8%,98,25(20%)/30(15%)/40(20%),MDD/勝率為估算值
4792,10:45-11:00,2584.4,545.0,70.7%,98,25(20%)/30(15%)/45(20%),MDD/勝率為估算值
4297,10:45-11:00,2581.8,472.0,65.6%,99,20(10%)/40(10%)/45(20%),MDD/勝率為估算值
4717,10:45-11:00,2581.3,569.0,69.6%,98,25(15%)/35(20%)/40(20%),MDD/勝率為估算值
4543,10:45-11:00,2580.6,541.0,72.1%,87,25(10%)/25(10%)/50(20%),MDD/勝率為估算值
4786,10:45-11:00,2574.8,544.0,69.6%,98,25(20%)/30(10%)/50(20%),MDD/勝率為估算值
4615,10:45-11:00,2574.6,568.0,68.5%,98,25(10%)/35(20%)/50(20%),MDD/勝率為估算值
