實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
1944,BOTH,10:00-10:03,-208.8,536.2,327.4,1496.0,43.0%,25(20%)/40(20%)/50(20%)
1941,BOTH,10:00-10:03,-44.2,451.4,407.2,1350.0,43.8%,25(20%)/40(20%)/45(20%)
1938,BOTH,10:00-10:03,41.4,489.0,530.4,1247.0,45.3%,25(20%)/40(20%)/40(20%)
1935,BOTH,10:00-10:03,-170.7,616.0,445.4,1483.0,43.0%,25(20%)/40(15%)/50(20%)
1932,BOTH,10:00-10:03,-1.6,531.2,529.6,1333.0,43.8%,25(20%)/40(15%)/45(20%)
1929,BOTH,10:00-10:03,88.3,568.8,657.1,1225.0,45.3%,25(20%)/40(15%)/40(20%)
1926,BOTH,10:00-10:03,-123.7,697.0,573.3,1471.0,43.0%,25(20%)/40(10%)/50(20%)
1923,BOTH,10:00-10:03,49.9,612.2,662.1,1316.0,43.8%,25(20%)/40(10%)/45(20%)
1920,BOTH,10:00-10:03,144.1,649.8,793.9,1204.0,45.3%,25(20%)/40(10%)/40(20%)
1917,BOTH,10:00-10:03,-364.0,677.6,313.6,1374.0,43.9%,25(20%)/35(20%)/50(20%)
1914,BOTH,10:00-10:03,-210.6,592.8,382.2,1239.0,44.7%,25(20%)/35(20%)/45(20%)
1911,BOTH,10:00-10:03,-41.8,580.8,539.0,1148.0,46.4%,25(20%)/35(20%)/40(20%)
1908,BOTH,10:00-10:03,-323.7,745.5,421.8,1367.0,42.2%,25(20%)/35(15%)/50(20%)
1905,BOTH,10:00-10:03,-166.5,660.7,494.2,1229.0,43.0%,25(20%)/35(15%)/45(20%)
1902,BOTH,10:00-10:03,9.3,652.6,661.9,1135.0,45.3%,25(20%)/35(15%)/40(20%)
1899,BOTH,10:00-10:03,-283.4,815.0,531.6,1363.0,42.2%,25(20%)/35(10%)/50(20%)
1896,BOTH,10:00-10:03,-122.4,730.2,607.8,1221.0,43.0%,25(20%)/35(10%)/45(20%)
1893,BOTH,10:00-10:03,60.4,726.0,786.4,1123.0,45.3%,25(20%)/35(10%)/40(20%)
1890,BOTH,10:00-10:03,-203.0,672.8,469.8,1142.0,45.8%,25(20%)/30(20%)/50(20%)
1887,BOTH,10:00-10:03,-110.4,677.6,567.2,1167.0,46.7%,25(20%)/30(20%)/45(20%)
1884,BOTH,10:00-10:03,58.4,665.6,724.0,1171.0,48.4%,25(20%)/30(20%)/40(20%)
1881,BOTH,10:00-10:03,-165.6,728.8,563.2,1130.0,42.2%,25(20%)/30(15%)/50(20%)
1878,BOTH,10:00-10:03,-69.7,736.6,666.9,1155.0,43.8%,25(20%)/30(15%)/45(20%)
1875,BOTH,10:00-10:03,106.1,728.5,834.6,1159.0,46.1%,25(20%)/30(15%)/40(20%)
1872,BOTH,10:00-10:03,-128.2,784.8,656.6,1115.0,42.2%,25(20%)/30(10%)/50(20%)
1869,BOTH,10:00-10:03,-29.0,795.6,766.6,1140.0,43.8%,25(20%)/30(10%)/45(20%)
1863,BOTH,10:00-10:03,-125.2,589.4,464.2,1103.0,47.7%,25(20%)/25(20%)/50(20%)
1866,BOTH,10:00-10:03,153.8,791.4,945.2,1144.0,46.1%,25(20%)/30(10%)/40(20%)
1860,BOTH,10:00-10:03,-9.2,594.2,585.0,1128.0,49.1%,25(20%)/25(20%)/45(20%)
1857,BOTH,10:00-10:03,103.6,663.0,766.6,1132.0,50.9%,25(20%)/25(20%)/40(20%)
1854,BOTH,10:00-10:03,-105.5,626.5,521.0,1092.0,39.8%,25(20%)/25(15%)/50(20%)
1851,BOTH,10:00-10:03,16.8,634.2,651.0,1117.0,42.2%,25(20%)/25(15%)/45(20%)
1848,BOTH,10:00-10:03,135.7,709.5,845.1,1121.0,45.3%,25(20%)/25(15%)/40(20%)
1842,BOTH,10:00-10:03,42.7,674.3,717.0,1105.0,42.2%,25(20%)/25(10%)/45(20%)
1845,BOTH,10:00-10:03,-85.7,663.5,577.8,1080.0,39.8%,25(20%)/25(10%)/50(20%)
1839,BOTH,10:00-10:03,167.7,755.9,923.6,1109.0,45.3%,25(20%)/25(10%)/40(20%)
1836,BOTH,10:00-10:03,-182.7,582.6,400.0,1503.0,43.0%,25(15%)/40(20%)/50(20%)
1833,BOTH,10:00-10:03,-14.8,497.9,483.1,1354.0,43.8%,25(15%)/40(20%)/45(20%)
1830,BOTH,10:00-10:03,73.5,535.5,608.9,1248.0,45.3%,25(15%)/40(20%)/40(20%)
1827,BOTH,10:00-10:03,-144.5,662.5,518.0,1490.0,43.0%,25(15%)/40(15%)/50(20%)
1824,BOTH,10:00-10:03,27.9,577.6,605.5,1336.0,43.8%,25(15%)/40(15%)/45(20%)
1818,BOTH,10:00-10:03,-97.5,743.5,645.9,1478.0,43.0%,25(15%)/40(10%)/50(20%)
1821,BOTH,10:00-10:03,120.4,615.2,735.6,1226.0,45.3%,25(15%)/40(15%)/40(20%)
1815,BOTH,10:00-10:03,79.3,658.6,738.0,1320.0,43.8%,25(15%)/40(10%)/45(20%)
1812,BOTH,10:00-10:03,176.2,696.2,872.4,1205.0,45.3%,25(15%)/40(10%)/40(20%)
1809,BOTH,10:00-10:03,-337.9,734.8,396.9,1370.0,46.1%,25(15%)/35(20%)/50(20%)
1806,BOTH,10:00-10:03,-181.2,650.0,468.8,1232.0,46.9%,25(15%)/35(20%)/45(20%)
1803,BOTH,10:00-10:03,-9.8,638.0,628.2,1139.0,47.7%,25(15%)/35(20%)/40(20%)
1800,BOTH,10:00-10:03,-297.6,802.6,505.1,1365.0,43.9%,25(15%)/35(15%)/50(20%)
1797,BOTH,10:00-10:03,-137.1,717.9,580.8,1223.0,44.7%,25(15%)/35(15%)/45(20%)
1794,BOTH,10:00-10:03,41.4,709.8,751.1,1126.0,46.4%,25(15%)/35(15%)/40(20%)
1791,BOTH,10:00-10:03,-257.2,872.1,614.9,1359.0,42.2%,25(15%)/35(10%)/50(20%)
1788,BOTH,10:00-10:03,-93.0,787.4,694.4,1214.0,43.0%,25(15%)/35(10%)/45(20%)
1785,BOTH,10:00-10:03,92.5,783.1,875.6,1114.0,45.3%,25(15%)/35(10%)/40(20%)
1782,BOTH,10:00-10:03,-167.9,736.1,568.2,1131.0,50.0%,25(15%)/30(20%)/50(20%)
1776,BOTH,10:00-10:03,96.0,729.0,825.0,1160.0,50.8%,25(15%)/30(20%)/40(20%)
1779,BOTH,10:00-10:03,-75.3,741.0,665.6,1156.0,50.0%,25(15%)/30(20%)/45(20%)
1773,BOTH,10:00-10:03,-130.6,792.1,661.6,1119.0,45.8%,25(15%)/30(15%)/50(20%)
1770,BOTH,10:00-10:03,-34.6,800.0,765.3,1144.0,46.7%,25(15%)/30(15%)/45(20%)
1767,BOTH,10:00-10:03,143.8,791.9,935.6,1148.0,48.4%,25(15%)/30(15%)/40(20%)
1764,BOTH,10:00-10:03,-93.2,848.1,755.0,1104.0,42.2%,25(15%)/30(10%)/50(20%)
