實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
4535,SHORT_ONLY,10:30-10:32,0.0,744.6,744.6,740.0,38.1%,25(20%)/45(20%)/60(20%)
4529,SHORT_ONLY,10:30-10:32,0.0,751.4,751.4,745.0,38.9%,25(20%)/45(20%)/50(20%)
4532,SHORT_ONLY,10:30-10:32,0.0,755.2,755.2,745.0,38.1%,25(20%)/45(20%)/55(20%)
4523,SHORT_ONLY,10:30-10:32,0.0,832.5,832.5,737.0,38.1%,25(20%)/45(15%)/60(20%)
4526,SHORT_ONLY,10:30-10:32,0.0,736.6,736.6,745.0,39.8%,25(20%)/45(20%)/45(20%)
4517,SHORT_ONLY,10:30-10:32,0.0,839.2,839.2,742.0,38.9%,25(20%)/45(15%)/50(20%)
4520,SHORT_ONLY,10:30-10:32,0.0,843.0,843.0,742.0,38.1%,25(20%)/45(15%)/55(20%)
4511,SHORT_ONLY,10:30-10:32,0.0,931.2,931.2,734.0,38.1%,25(20%)/45(10%)/60(20%)
4514,SHORT_ONLY,10:30-10:32,0.0,824.5,824.5,742.0,39.8%,25(20%)/45(15%)/45(20%)
4505,SHORT_ONLY,10:30-10:32,0.0,938.0,938.0,739.0,38.9%,25(20%)/45(10%)/50(20%)
4508,SHORT_ONLY,10:30-10:32,0.0,941.8,941.8,739.0,38.1%,25(20%)/45(10%)/55(20%)
4499,SHORT_ONLY,10:30-10:32,0.0,697.0,697.0,751.0,39.8%,25(20%)/40(20%)/60(20%)
4502,SHORT_ONLY,10:30-10:32,0.0,923.2,923.2,739.0,39.8%,25(20%)/45(10%)/45(20%)
4493,SHORT_ONLY,10:30-10:32,0.0,703.8,703.8,756.0,40.7%,25(20%)/40(20%)/50(20%)
4496,SHORT_ONLY,10:30-10:32,0.0,707.6,707.6,756.0,39.8%,25(20%)/40(20%)/55(20%)
4487,SHORT_ONLY,10:30-10:32,0.0,673.6,673.6,767.0,41.6%,25(20%)/40(20%)/40(20%)
4490,SHORT_ONLY,10:30-10:32,0.0,689.0,689.0,756.0,41.6%,25(20%)/40(20%)/45(20%)
4481,SHORT_ONLY,10:30-10:32,0.0,810.9,810.9,754.0,39.8%,25(20%)/40(15%)/55(20%)
4484,SHORT_ONLY,10:30-10:32,0.0,800.2,800.2,749.0,39.8%,25(20%)/40(15%)/60(20%)
4475,SHORT_ONLY,10:30-10:32,0.0,792.2,792.2,754.0,41.6%,25(20%)/40(15%)/45(20%)
4478,SHORT_ONLY,10:30-10:32,0.0,807.0,807.0,754.0,40.7%,25(20%)/40(15%)/50(20%)
4469,SHORT_ONLY,10:30-10:32,0.0,893.6,893.6,746.0,39.8%,25(20%)/40(10%)/60(20%)
4472,SHORT_ONLY,10:30-10:32,0.0,776.9,776.9,765.0,41.6%,25(20%)/40(15%)/40(20%)
4463,SHORT_ONLY,10:30-10:32,0.0,900.4,900.4,751.0,40.7%,25(20%)/40(10%)/50(20%)
4466,SHORT_ONLY,10:30-10:32,0.0,904.2,904.2,751.0,39.8%,25(20%)/40(10%)/55(20%)
4457,SHORT_ONLY,10:30-10:32,0.0,870.2,870.2,762.0,41.6%,25(20%)/40(10%)/40(20%)
4460,SHORT_ONLY,10:30-10:32,0.0,885.6,885.6,751.0,41.6%,25(20%)/40(10%)/45(20%)
4451,SHORT_ONLY,10:30-10:32,0.0,500.2,500.2,768.0,38.7%,25(20%)/35(20%)/55(20%)
4454,SHORT_ONLY,10:30-10:32,0.0,489.6,489.6,763.0,38.7%,25(20%)/35(20%)/60(20%)
4445,SHORT_ONLY,10:30-10:32,0.0,447.4,447.4,768.0,40.7%,25(20%)/35(20%)/45(20%)
4448,SHORT_ONLY,10:30-10:32,0.0,453.0,453.0,768.0,39.3%,25(20%)/35(20%)/50(20%)
4439,SHORT_ONLY,10:30-10:32,0.0,636.7,636.7,764.0,39.8%,25(20%)/35(15%)/60(20%)
4442,SHORT_ONLY,10:30-10:32,0.0,480.6,480.6,779.0,41.6%,25(20%)/35(20%)/40(20%)
4433,SHORT_ONLY,10:30-10:32,0.0,603.7,603.7,769.0,40.7%,25(20%)/35(15%)/50(20%)
4436,SHORT_ONLY,10:30-10:32,0.0,647.3,647.3,769.0,39.8%,25(20%)/35(15%)/55(20%)
4427,SHORT_ONLY,10:30-10:32,0.0,566.3,566.3,780.0,41.6%,25(20%)/35(15%)/40(20%)
4430,SHORT_ONLY,10:30-10:32,0.0,588.9,588.9,769.0,41.6%,25(20%)/35(15%)/45(20%)
4421,SHORT_ONLY,10:30-10:32,0.0,767.0,767.0,729.0,39.8%,25(20%)/35(10%)/55(20%)
4424,SHORT_ONLY,10:30-10:32,0.0,756.4,756.4,724.0,39.8%,25(20%)/35(10%)/60(20%)
4415,SHORT_ONLY,10:30-10:32,0.0,712.2,712.2,729.0,41.6%,25(20%)/35(10%)/45(20%)
4418,SHORT_ONLY,10:30-10:32,0.0,727.0,727.0,729.0,40.7%,25(20%)/35(10%)/50(20%)
4409,SHORT_ONLY,10:30-10:32,0.0,808.8,808.8,742.0,38.1%,25(15%)/45(20%)/60(20%)
