實驗ID,時間區間,多方損益,多方MDD估算,多方勝率估算,多方交易次數,參數,備註
1891,09:30-09:32,2191.7,579.0,58.5%,111,25(10%)/35(10%)/40(20%),MDD/勝率為估算值
802,08:46-08:47,2157.6,703.0,68.5%,114,25(10%)/40(10%)/40(20%),MDD/勝率為估算值
46,08:46-08:47,2150.6,616.0,68.5%,114,15(10%)/40(10%)/40(20%),MDD/勝率為估算值
1936,09:30-09:32,2059.2,632.0,56.0%,114,25(10%)/40(10%)/40(20%),MDD/勝率為估算值
2017,09:30-09:32,2058.1,578.0,56.9%,114,25(15%)/35(10%)/40(20%),MDD/勝率為估算值
1906,09:30-09:32,2055.1,583.0,59.8%,114,25(10%)/35(15%)/40(20%),MDD/勝率為估算值
424,08:46-08:47,2054.8,755.0,68.5%,114,20(10%)/40(10%)/40(20%),MDD/勝率為估算值
928,08:46-08:47,2045.1,713.0,68.5%,114,25(15%)/40(10%)/40(20%),MDD/勝率為估算值
1,08:46-08:47,2029.9,603.0,69.5%,114,15(10%)/35(10%)/40(20%),MDD/勝率為估算值
757,08:46-08:47,2027.0,714.0,69.5%,114,25(10%)/35(10%)/40(20%),MDD/勝率為估算值
61,08:46-08:47,1985.1,624.0,68.5%,114,15(10%)/40(15%)/40(20%),MDD/勝率為估算值
817,08:46-08:47,1979.3,723.0,68.5%,114,25(10%)/40(15%)/40(20%),MDD/勝率為估算值
550,08:46-08:47,1975.8,761.0,68.5%,114,20(15%)/40(10%)/40(20%),MDD/勝率為估算值
2062,09:30-09:32,1968.3,632.0,56.0%,114,25(15%)/40(10%)/40(20%),MDD/勝率為估算值
2143,09:30-09:32,1953.2,579.0,56.9%,114,25(20%)/35(10%)/40(20%),MDD/勝率為估算值
172,08:46-08:47,1950.4,616.0,67.5%,114,15(15%)/40(10%)/40(20%),MDD/勝率為估算值
379,08:46-08:47,1934.1,756.0,69.5%,114,20(10%)/35(10%)/40(20%),MDD/勝率為估算值
1921,09:30-09:32,1924.1,587.0,59.8%,114,25(10%)/35(20%)/40(20%),MDD/勝率為估算值
2032,09:30-09:32,1919.5,582.0,58.5%,111,25(15%)/35(15%)/40(20%),MDD/勝率為估算值
1951,09:30-09:32,1909.3,645.0,56.0%,114,25(10%)/40(15%)/40(20%),MDD/勝率為估算值
676,08:46-08:47,1896.9,766.0,68.5%,114,20(20%)/40(10%)/40(20%),MDD/勝率為估算值
298,08:46-08:47,1889.7,615.0,67.5%,114,15(20%)/40(10%)/40(20%),MDD/勝率為估算值
439,08:46-08:47,1886.5,775.0,68.5%,114,20(10%)/40(15%)/40(20%),MDD/勝率為估算值
16,08:46-08:47,1881.7,609.0,69.5%,114,15(10%)/35(15%)/40(20%),MDD/勝率為估算值
2188,09:30-09:32,1877.5,636.0,56.0%,114,25(20%)/40(10%)/40(20%),MDD/勝率為估算值
1894,09:30-09:32,1871.9,703.0,56.0%,110,25(10%)/35(10%)/45(20%),MDD/勝率為估算值
943,08:46-08:47,1866.8,733.0,68.5%,114,25(15%)/40(15%)/40(20%),MDD/勝率為估算值
772,08:46-08:47,1866.5,731.0,69.5%,114,25(10%)/35(15%)/40(20%),MDD/勝率為估算值
1054,08:46-08:47,1854.1,721.0,68.5%,114,25(20%)/40(10%)/40(20%),MDD/勝率為估算值
1513,09:30-09:32,1834.5,547.0,57.9%,112,20(10%)/35(10%)/40(20%),MDD/勝率為估算值
76,08:46-08:47,1826.0,634.0,68.5%,114,15(10%)/40(20%)/40(20%),MDD/勝率為估算值
2077,09:30-09:32,1818.5,645.0,56.0%,114,25(15%)/40(15%)/40(20%),MDD/勝率為估算值
2158,09:30-09:32,1814.7,583.0,56.9%,114,25(20%)/35(15%)/40(20%),MDD/勝率為估算值
565,08:46-08:47,1807.6,781.0,68.5%,114,20(15%)/40(15%)/40(20%),MDD/勝率為估算值
