實驗ID,時間區間,空方損益,空方MDD估算,空方勝率估算,空方交易次數,參數,備註
476,08:46-08:47,2565.0,1103.0,60.5%,120,20(10%)/45(10%)/55(20%),MDD/勝率為估算值
98,08:46-08:47,2541.2,1099.0,60.5%,120,15(10%)/45(10%)/55(20%),MDD/勝率為估算值
473,08:46-08:47,2530.8,1107.0,61.4%,120,20(10%)/45(10%)/50(20%),MDD/勝率為估算值
479,08:46-08:47,2523.4,1081.0,59.6%,120,20(10%)/45(10%)/60(20%),MDD/勝率為估算值
101,08:46-08:47,2499.6,1077.0,59.6%,120,15(10%)/45(10%)/60(20%),MDD/勝率為估算值
95,08:46-08:47,2492.6,1103.0,61.4%,120,15(10%)/45(10%)/50(20%),MDD/勝率為估算值
602,08:46-08:47,2487.3,1113.0,60.5%,120,20(15%)/45(10%)/55(20%),MDD/勝率為估算值
224,08:46-08:47,2485.8,1102.0,60.5%,120,15(15%)/45(10%)/55(20%),MDD/勝率為估算值
470,08:46-08:47,2469.0,1127.0,62.3%,120,20(10%)/45(10%)/45(20%),MDD/勝率為估算值
599,08:46-08:47,2450.8,1117.0,61.4%,120,20(15%)/45(10%)/50(20%),MDD/勝率為估算值
605,08:46-08:47,2448.9,1091.0,59.6%,120,20(15%)/45(10%)/60(20%),MDD/勝率為估算值
227,08:46-08:47,2447.4,1080.0,59.6%,120,15(15%)/45(10%)/60(20%),MDD/勝率為估算值
221,08:46-08:47,2435.7,1106.0,61.4%,120,15(15%)/45(10%)/50(20%),MDD/勝率為估算值
350,08:46-08:47,2430.5,1106.0,60.5%,120,15(20%)/45(10%)/55(20%),MDD/勝率為估算值
728,08:46-08:47,2409.7,1121.0,60.5%,120,20(20%)/45(10%)/55(20%),MDD/勝率為估算值
386,08:46-08:47,2407.8,1009.0,63.4%,118,20(10%)/35(10%)/50(20%),MDD/勝率為估算值
92,08:46-08:47,2402.0,1123.0,62.3%,120,15(10%)/45(10%)/45(20%),MDD/勝率為估算值
