實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
2052,BOTH,10:00-10:30,547.6,2170.3,2717.9,443.0,57.9%,25(15%)/45(15%)/60(20%)
2049,BOTH,10:00-10:30,561.5,2339.7,2901.2,375.0,58.7%,25(15%)/45(15%)/55(20%)
2046,BOTH,10:00-10:30,480.9,2396.3,2877.2,375.0,60.3%,25(15%)/45(15%)/50(20%)
2043,BOTH,10:00-10:30,481.6,2353.2,2834.8,400.0,62.0%,25(15%)/45(15%)/45(20%)
2040,BOTH,10:00-10:30,620.1,2248.2,2868.3,443.0,57.9%,25(15%)/45(10%)/60(20%)
2037,BOTH,10:00-10:30,634.0,2417.6,3051.6,375.0,58.7%,25(15%)/45(10%)/55(20%)
2034,BOTH,10:00-10:30,553.4,2474.2,3027.6,375.0,60.3%,25(15%)/45(10%)/50(20%)
2028,BOTH,10:00-10:30,586.5,1945.9,2532.3,445.0,58.7%,25(15%)/40(15%)/60(20%)
2031,BOTH,10:00-10:30,558.6,2435.6,2994.2,383.0,62.0%,25(15%)/45(10%)/45(20%)
2022,BOTH,10:00-10:30,519.6,2171.9,2691.6,406.0,62.0%,25(15%)/40(15%)/50(20%)
2025,BOTH,10:00-10:30,600.2,2115.3,2715.6,375.0,60.3%,25(15%)/40(15%)/55(20%)
2019,BOTH,10:00-10:30,520.4,2128.8,2649.2,375.0,63.6%,25(15%)/40(15%)/45(20%)
2010,BOTH,10:00-10:30,671.6,2204.3,2875.9,375.0,60.3%,25(15%)/40(10%)/55(20%)
2016,BOTH,10:00-10:30,553.1,1876.8,2429.9,375.0,63.6%,25(15%)/40(15%)/40(20%)
2013,BOTH,10:00-10:30,657.9,2034.9,2692.8,443.0,58.7%,25(15%)/40(10%)/60(20%)
2004,BOTH,10:00-10:30,596.4,2222.3,2818.7,375.0,63.6%,25(15%)/40(10%)/45(20%)
2007,BOTH,10:00-10:30,591.0,2260.9,2851.9,395.0,62.0%,25(15%)/40(10%)/50(20%)
2001,BOTH,10:00-10:30,629.1,1970.3,2599.4,375.0,63.6%,25(15%)/40(10%)/40(20%)
1998,BOTH,10:00-10:30,412.1,1765.1,2177.2,484.0,58.8%,25(15%)/35(15%)/60(20%)
1992,BOTH,10:00-10:30,303.6,2012.1,2315.7,419.0,61.7%,25(15%)/35(15%)/50(20%)
1995,BOTH,10:00-10:30,380.1,1975.3,2355.4,375.0,60.5%,25(15%)/35(15%)/55(20%)
1989,BOTH,10:00-10:30,404.6,1953.7,2358.2,413.0,63.6%,25(15%)/35(15%)/45(20%)
1986,BOTH,10:00-10:30,437.4,1701.7,2139.1,403.0,63.6%,25(15%)/35(15%)/40(20%)
1983,BOTH,10:00-10:30,466.1,1881.9,2348.1,448.0,57.9%,25(15%)/35(10%)/60(20%)
1980,BOTH,10:00-10:30,434.1,2051.3,2485.4,375.0,59.5%,25(15%)/35(10%)/55(20%)
1977,BOTH,10:00-10:30,357.6,2091.7,2449.2,409.0,61.2%,25(15%)/35(10%)/50(20%)
1971,BOTH,10:00-10:30,499.4,1784.9,2284.3,390.0,63.6%,25(15%)/35(10%)/40(20%)
1974,BOTH,10:00-10:30,466.6,2036.9,2503.6,400.0,63.6%,25(15%)/35(10%)/45(20%)
1965,BOTH,10:00-10:30,459.9,2101.5,2561.4,375.0,61.2%,25(15%)/30(15%)/55(20%)
1968,BOTH,10:00-10:30,491.9,1855.4,2347.3,474.0,59.1%,25(15%)/30(15%)/60(20%)
1962,BOTH,10:00-10:30,368.9,2097.0,2465.9,387.0,61.9%,25(15%)/30(15%)/50(20%)
1959,BOTH,10:00-10:30,444.4,2038.6,2483.0,433.0,63.9%,25(15%)/30(15%)/45(20%)
1956,BOTH,10:00-10:30,469.2,1786.6,2255.8,423.0,64.7%,25(15%)/30(15%)/40(20%)
1950,BOTH,10:00-10:30,510.8,2164.1,2674.8,375.0,59.5%,25(15%)/30(10%)/55(20%)
1953,BOTH,10:00-10:30,542.8,1911.7,2454.4,477.0,57.0%,25(15%)/30(10%)/60(20%)
1947,BOTH,10:00-10:30,419.8,2166.3,2586.1,379.0,61.2%,25(15%)/30(10%)/50(20%)
1944,BOTH,10:00-10:30,501.9,2111.5,2613.3,420.0,63.6%,25(15%)/30(10%)/45(20%)
1938,BOTH,10:00-10:30,592.6,2233.6,2826.2,443.0,57.9%,25(10%)/45(15%)/60(20%)
1941,BOTH,10:00-10:30,526.6,1859.5,2386.2,410.0,63.6%,25(15%)/30(10%)/40(20%)
1935,BOTH,10:00-10:30,606.4,2403.0,3009.4,375.0,58.7%,25(10%)/45(15%)/55(20%)
1932,BOTH,10:00-10:30,525.8,2459.6,2985.4,375.0,60.3%,25(10%)/45(15%)/50(20%)
1926,BOTH,10:00-10:30,665.1,2311.5,2976.6,443.0,57.9%,25(10%)/45(10%)/60(20%)
1929,BOTH,10:00-10:30,529.2,2419.1,2948.3,392.0,62.0%,25(10%)/45(15%)/45(20%)
1923,BOTH,10:00-10:30,678.9,2480.9,3159.8,375.0,58.7%,25(10%)/45(10%)/55(20%)
1920,BOTH,10:00-10:30,598.3,2537.5,3135.8,375.0,60.3%,25(10%)/45(10%)/50(20%)
1917,BOTH,10:00-10:30,606.3,2501.5,3107.8,375.0,62.0%,25(10%)/45(10%)/45(20%)
1911,BOTH,10:00-10:30,647.7,2178.6,2826.3,375.0,60.3%,25(10%)/40(15%)/55(20%)
1914,BOTH,10:00-10:30,633.9,2009.2,2643.1,443.0,58.7%,25(10%)/40(15%)/60(20%)
1908,BOTH,10:00-10:30,567.1,2235.2,2802.3,400.0,62.0%,25(10%)/40(15%)/50(20%)
1905,BOTH,10:00-10:30,570.5,2194.7,2765.2,375.0,63.6%,25(10%)/40(15%)/45(20%)
1902,BOTH,10:00-10:30,603.3,1942.7,2546.0,375.0,63.6%,25(10%)/40(15%)/40(20%)
1899,BOTH,10:00-10:30,705.3,2098.2,2803.5,443.0,59.5%,25(10%)/40(10%)/60(20%)
1893,BOTH,10:00-10:30,638.5,2324.2,2962.7,388.0,62.0%,25(10%)/40(10%)/50(20%)
1896,BOTH,10:00-10:30,719.1,2267.6,2986.7,375.0,60.3%,25(10%)/40(10%)/55(20%)
1890,BOTH,10:00-10:30,646.5,2288.2,2934.7,375.0,63.6%,25(10%)/40(10%)/45(20%)
1887,BOTH,10:00-10:30,679.3,2036.2,2715.5,375.0,63.6%,25(10%)/40(10%)/40(20%)
1884,BOTH,10:00-10:30,459.6,1825.6,2285.2,487.0,59.5%,25(10%)/35(15%)/60(20%)
1881,BOTH,10:00-10:30,427.6,2038.6,2466.2,375.0,61.2%,25(10%)/35(15%)/55(20%)
1875,BOTH,10:00-10:30,454.7,2019.6,2474.3,405.0,63.6%,25(10%)/35(15%)/45(20%)
1878,BOTH,10:00-10:30,351.0,2075.4,2426.4,413.0,62.0%,25(10%)/35(15%)/50(20%)
1872,BOTH,10:00-10:30,487.5,1767.6,2255.1,395.0,63.6%,25(10%)/35(15%)/40(20%)
1869,BOTH,10:00-10:30,513.6,1945.2,2458.8,443.0,59.7%,25(10%)/35(10%)/60(20%)
1866,BOTH,10:00-10:30,481.6,2114.6,2596.2,375.0,60.5%,25(10%)/35(10%)/55(20%)
1863,BOTH,10:00-10:30,405.0,2155.0,2560.0,402.0,61.7%,25(10%)/35(10%)/50(20%)
1860,BOTH,10:00-10:30,516.8,2102.8,2619.6,392.0,63.6%,25(10%)/35(10%)/45(20%)
1854,BOTH,10:00-10:30,542.8,1918.9,2461.7,476.0,62.0%,25(10%)/30(15%)/60(20%)
1857,BOTH,10:00-10:30,549.6,1850.8,2400.4,382.0,63.6%,25(10%)/35(10%)/40(20%)
1845,BOTH,10:00-10:30,497.9,2107.5,2605.4,425.0,65.3%,25(10%)/30(15%)/45(20%)
1851,BOTH,10:00-10:30,510.8,2167.8,2678.6,375.0,63.6%,25(10%)/30(15%)/55(20%)
1848,BOTH,10:00-10:30,419.8,2163.3,2583.1,382.0,63.6%,25(10%)/30(15%)/50(20%)
1842,BOTH,10:00-10:30,522.8,1855.5,2378.2,415.0,65.3%,25(10%)/30(15%)/40(20%)
1839,BOTH,10:00-10:30,593.6,1975.2,2568.8,479.0,60.9%,25(10%)/30(10%)/60(20%)
1836,BOTH,10:00-10:30,561.6,2230.4,2792.0,375.0,62.1%,25(10%)/30(10%)/55(20%)
1833,BOTH,10:00-10:30,470.6,2232.6,2703.2,375.0,62.7%,25(10%)/30(10%)/50(20%)
1830,BOTH,10:00-10:30,555.4,2180.4,2735.8,412.0,64.7%,25(10%)/30(10%)/45(20%)
1824,BOTH,10:00-10:30,738.3,2002.2,2740.5,451.0,57.0%,20(15%)/45(15%)/60(20%)
1827,BOTH,10:00-10:30,580.2,1928.4,2508.6,402.0,64.7%,25(10%)/30(10%)/40(20%)
1818,BOTH,10:00-10:30,671.5,2228.2,2899.7,412.0,60.3%,20(15%)/45(15%)/50(20%)
1821,BOTH,10:00-10:30,752.1,2171.6,2923.7,375.0,58.7%,20(15%)/45(15%)/55(20%)
1812,BOTH,10:00-10:30,810.9,2077.6,2888.4,443.0,57.9%,20(15%)/45(10%)/60(20%)
1815,BOTH,10:00-10:30,672.2,2185.1,2857.3,440.0,62.0%,20(15%)/45(15%)/45(20%)
1806,BOTH,10:00-10:30,744.1,2303.6,3047.7,399.0,60.3%,20(15%)/45(10%)/50(20%)
1809,BOTH,10:00-10:30,824.7,2246.9,3071.7,375.0,58.7%,20(15%)/45(10%)/55(20%)
1803,BOTH,10:00-10:30,749.4,2264.9,3014.3,423.0,62.0%,20(15%)/45(10%)/45(20%)
1797,BOTH,10:00-10:30,785.0,1956.5,2741.5,405.0,60.3%,20(15%)/40(15%)/55(20%)
1800,BOTH,10:00-10:30,771.1,1787.2,2558.3,490.0,58.7%,20(15%)/40(15%)/60(20%)
1794,BOTH,10:00-10:30,704.4,2013.2,2717.5,451.0,62.0%,20(15%)/40(15%)/50(20%)
1791,BOTH,10:00-10:30,705.0,1970.0,2675.1,387.0,63.6%,20(15%)/40(15%)/45(20%)
1788,BOTH,10:00-10:30,737.9,1718.0,2455.9,392.0,63.6%,20(15%)/40(15%)/40(20%)
1785,BOTH,10:00-10:30,842.7,1874.2,2716.8,479.0,58.7%,20(15%)/40(10%)/60(20%)
1782,BOTH,10:00-10:30,856.5,2043.5,2900.1,394.0,60.3%,20(15%)/40(10%)/55(20%)
1776,BOTH,10:00-10:30,781.2,2061.6,2842.8,375.0,63.6%,20(15%)/40(10%)/45(20%)
1779,BOTH,10:00-10:30,775.9,2100.2,2876.1,440.0,62.0%,20(15%)/40(10%)/50(20%)
1773,BOTH,10:00-10:30,814.0,1809.5,2623.6,384.0,63.6%,20(15%)/40(10%)/40(20%)
1770,BOTH,10:00-10:30,590.0,1616.5,2206.6,503.0,58.8%,20(15%)/35(15%)/60(20%)
1767,BOTH,10:00-10:30,558.0,1816.5,2374.6,418.0,60.5%,20(15%)/35(15%)/55(20%)
1764,BOTH,10:00-10:30,481.4,1853.3,2334.8,464.0,61.7%,20(15%)/35(15%)/50(20%)
1758,BOTH,10:00-10:30,615.2,1543.0,2158.2,445.0,63.6%,20(15%)/35(15%)/40(20%)
1761,BOTH,10:00-10:30,582.5,1795.0,2377.4,453.0,63.6%,20(15%)/35(15%)/45(20%)
1755,BOTH,10:00-10:30,643.8,1687.0,2330.8,493.0,57.9%,20(15%)/35(10%)/60(20%)
1737,BOTH,10:00-10:30,619.9,1989.0,2608.8,409.0,61.5%,20(15%)/30(15%)/55(20%)
1752,BOTH,10:00-10:30,611.8,1890.5,2502.3,408.0,59.5%,20(15%)/35(10%)/55(20%)
1746,BOTH,10:00-10:30,644.3,1876.2,2520.4,440.0,63.6%,20(15%)/35(10%)/45(20%)
1749,BOTH,10:00-10:30,535.2,1931.0,2466.2,454.0,61.2%,20(15%)/35(10%)/50(20%)
1743,BOTH,10:00-10:30,677.1,1624.2,2301.2,432.0,63.6%,20(15%)/35(10%)/40(20%)
1740,BOTH,10:00-10:30,651.9,1753.0,2404.9,494.0,59.5%,20(15%)/30(15%)/60(20%)
1734,BOTH,10:00-10:30,528.9,1984.5,2513.3,426.0,62.2%,20(15%)/30(15%)/50(20%)
1731,BOTH,10:00-10:30,604.4,1926.0,2530.4,473.0,64.2%,20(15%)/30(15%)/45(20%)
1728,BOTH,10:00-10:30,629.2,1674.0,2303.2,465.0,65.0%,20(15%)/30(15%)/40(20%)
1719,BOTH,10:00-10:30,582.8,2052.2,2634.9,416.0,61.2%,20(15%)/30(10%)/50(20%)
1725,BOTH,10:00-10:30,705.8,1807.8,2513.6,484.0,57.0%,20(15%)/30(10%)/60(20%)
1722,BOTH,10:00-10:30,673.8,2049.9,2723.8,399.0,59.5%,20(15%)/30(10%)/55(20%)
1716,BOTH,10:00-10:30,664.9,1997.3,2662.2,460.0,63.6%,20(15%)/30(10%)/45(20%)
1713,BOTH,10:00-10:30,689.7,1745.3,2435.1,452.0,64.5%,20(15%)/30(10%)/40(20%)
1707,BOTH,10:00-10:30,786.4,2218.2,3004.6,375.0,58.7%,20(10%)/45(15%)/55(20%)
1710,BOTH,10:00-10:30,772.6,2048.8,2821.3,448.0,57.9%,20(10%)/45(15%)/60(20%)
1704,BOTH,10:00-10:30,705.8,2274.8,2980.6,409.0,60.3%,20(10%)/45(15%)/50(20%)
1698,BOTH,10:00-10:30,845.2,2124.1,2969.3,443.0,57.9%,20(10%)/45(10%)/60(20%)
1701,BOTH,10:00-10:30,709.2,2234.2,2943.4,431.0,62.0%,20(10%)/45(15%)/45(20%)
1695,BOTH,10:00-10:30,859.0,2293.5,3152.5,375.0,58.7%,20(10%)/45(10%)/55(20%)
1692,BOTH,10:00-10:30,778.4,2350.1,3128.5,395.0,60.3%,20(10%)/45(10%)/50(20%)
1683,BOTH,10:00-10:30,821.4,2003.1,2824.4,402.0,60.3%,20(10%)/40(15%)/55(20%)
1689,BOTH,10:00-10:30,786.4,2314.1,3100.5,414.0,62.0%,20(10%)/45(10%)/45(20%)
1686,BOTH,10:00-10:30,807.5,1833.7,2641.2,487.0,58.7%,20(10%)/40(15%)/60(20%)
1680,BOTH,10:00-10:30,740.8,2059.7,2800.4,448.0,62.0%,20(10%)/40(15%)/50(20%)
1674,BOTH,10:00-10:30,777.0,1767.2,2544.2,388.0,63.6%,20(10%)/40(15%)/40(20%)
