實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
2051,SHORT_ONLY,10:00-10:30,0.0,2447.7,2447.7,407.0,56.5%,25(15%)/45(15%)/60(20%)
2052,BOTH,10:00-10:30,547.6,2170.3,2717.9,443.0,57.9%,25(15%)/45(15%)/60(20%)
2042,SHORT_ONLY,10:00-10:30,0.0,2617.0,2617.0,423.0,60.9%,25(15%)/45(15%)/45(20%)
2050,LONG_ONLY,10:00-10:30,974.0,0.0,974.0,1046.0,57.1%,25(15%)/45(15%)/60(20%)
2044,LONG_ONLY,10:00-10:30,816.2,0.0,816.2,1036.0,57.1%,25(15%)/45(15%)/50(20%)
2048,SHORT_ONLY,10:00-10:30,0.0,2599.5,2599.5,415.0,57.6%,25(15%)/45(15%)/55(20%)
2049,BOTH,10:00-10:30,561.5,2339.7,2901.2,375.0,58.7%,25(15%)/45(15%)/55(20%)
2047,LONG_ONLY,10:00-10:30,961.4,0.0,961.4,1020.0,57.1%,25(15%)/45(15%)/55(20%)
2045,SHORT_ONLY,10:00-10:30,0.0,2619.3,2619.3,415.0,59.8%,25(15%)/45(15%)/50(20%)
2046,BOTH,10:00-10:30,480.9,2396.3,2877.2,375.0,60.3%,25(15%)/45(15%)/50(20%)
2041,LONG_ONLY,10:00-10:30,754.5,0.0,754.5,1061.0,58.3%,25(15%)/45(15%)/45(20%)
2043,BOTH,10:00-10:30,481.6,2353.2,2834.8,400.0,62.0%,25(15%)/45(15%)/45(20%)
2040,BOTH,10:00-10:30,620.1,2248.2,2868.3,443.0,57.9%,25(15%)/45(10%)/60(20%)
2037,BOTH,10:00-10:30,634.0,2417.6,3051.6,375.0,58.7%,25(15%)/45(10%)/55(20%)
2039,SHORT_ONLY,10:00-10:30,0.0,2552.9,2552.9,405.0,56.5%,25(15%)/45(10%)/60(20%)
2038,LONG_ONLY,10:00-10:30,1082.5,0.0,1082.5,1028.0,57.1%,25(15%)/45(10%)/60(20%)
2034,BOTH,10:00-10:30,553.4,2474.2,3027.6,375.0,60.3%,25(15%)/45(10%)/50(20%)
2035,LONG_ONLY,10:00-10:30,1069.9,0.0,1069.9,1002.0,57.1%,25(15%)/45(10%)/55(20%)
2036,SHORT_ONLY,10:00-10:30,0.0,2704.7,2704.7,413.0,57.6%,25(15%)/45(10%)/55(20%)
2030,SHORT_ONLY,10:00-10:30,0.0,2726.7,2726.7,421.0,60.9%,25(15%)/45(10%)/45(20%)
2032,LONG_ONLY,10:00-10:30,924.7,0.0,924.7,1018.0,57.1%,25(15%)/45(10%)/50(20%)
2033,SHORT_ONLY,10:00-10:30,0.0,2724.5,2724.5,413.0,59.8%,25(15%)/45(10%)/50(20%)
2028,BOTH,10:00-10:30,586.5,1945.9,2532.3,445.0,58.7%,25(15%)/40(15%)/60(20%)
2029,LONG_ONLY,10:00-10:30,867.6,0.0,867.6,1043.0,58.3%,25(15%)/45(10%)/45(20%)
2031,BOTH,10:00-10:30,558.6,2435.6,2994.2,383.0,62.0%,25(15%)/45(10%)/45(20%)
2026,LONG_ONLY,10:00-10:30,995.2,0.0,995.2,1023.0,58.3%,25(15%)/40(15%)/60(20%)
2022,BOTH,10:00-10:30,519.6,2171.9,2691.6,406.0,62.0%,25(15%)/40(15%)/50(20%)
2024,SHORT_ONLY,10:00-10:30,0.0,2460.2,2460.2,415.0,58.7%,25(15%)/40(15%)/55(20%)
2027,SHORT_ONLY,10:00-10:30,0.0,2308.4,2308.4,407.0,57.6%,25(15%)/40(15%)/60(20%)
2020,LONG_ONLY,10:00-10:30,837.5,0.0,837.5,1013.0,59.5%,25(15%)/40(15%)/50(20%)
2025,BOTH,10:00-10:30,600.2,2115.3,2715.6,375.0,60.3%,25(15%)/40(15%)/55(20%)
2021,SHORT_ONLY,10:00-10:30,0.0,2480.1,2480.1,417.0,60.9%,25(15%)/40(15%)/50(20%)
2023,LONG_ONLY,10:00-10:30,982.6,0.0,982.6,997.0,59.5%,25(15%)/40(15%)/55(20%)
2018,SHORT_ONLY,10:00-10:30,0.0,2477.8,2477.8,423.0,62.0%,25(15%)/40(15%)/45(20%)
2019,BOTH,10:00-10:30,520.4,2128.8,2649.2,375.0,63.6%,25(15%)/40(15%)/45(20%)
2014,LONG_ONLY,10:00-10:30,795.4,0.0,795.4,1024.0,60.7%,25(15%)/40(15%)/40(20%)
2015,SHORT_ONLY,10:00-10:30,0.0,2283.6,2283.6,423.0,62.0%,25(15%)/40(15%)/40(20%)
2017,LONG_ONLY,10:00-10:30,775.8,0.0,775.8,1038.0,60.7%,25(15%)/40(15%)/45(20%)
2010,BOTH,10:00-10:30,671.6,2204.3,2875.9,375.0,60.3%,25(15%)/40(10%)/55(20%)
2012,SHORT_ONLY,10:00-10:30,0.0,2425.8,2425.8,405.0,57.6%,25(15%)/40(10%)/60(20%)
2016,BOTH,10:00-10:30,553.1,1876.8,2429.9,375.0,63.6%,25(15%)/40(15%)/40(20%)
2013,BOTH,10:00-10:30,657.9,2034.9,2692.8,443.0,58.7%,25(15%)/40(10%)/60(20%)
2008,LONG_ONLY,10:00-10:30,1088.9,0.0,1088.9,975.0,59.5%,25(15%)/40(10%)/55(20%)
2009,SHORT_ONLY,10:00-10:30,0.0,2577.6,2577.6,413.0,58.7%,25(15%)/40(10%)/55(20%)
2011,LONG_ONLY,10:00-10:30,1101.5,0.0,1101.5,1001.0,58.3%,25(15%)/40(10%)/60(20%)
2006,SHORT_ONLY,10:00-10:30,0.0,2597.4,2597.4,413.0,60.9%,25(15%)/40(10%)/50(20%)
2004,BOTH,10:00-10:30,596.4,2222.3,2818.7,375.0,63.6%,25(15%)/40(10%)/45(20%)
2005,LONG_ONLY,10:00-10:30,943.7,0.0,943.7,991.0,59.5%,25(15%)/40(10%)/50(20%)
2007,BOTH,10:00-10:30,591.0,2260.9,2851.9,395.0,62.0%,25(15%)/40(10%)/50(20%)
2003,SHORT_ONLY,10:00-10:30,0.0,2599.6,2599.6,421.0,62.0%,25(15%)/40(10%)/45(20%)
