實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
2051,SHORT_ONLY,10:00-10:30,0.0,2447.7,2447.7,407.0,56.5%,25(15%)/45(15%)/60(20%)
2042,SHORT_ONLY,10:00-10:30,0.0,2617.0,2617.0,423.0,60.9%,25(15%)/45(15%)/45(20%)
2048,SHORT_ONLY,10:00-10:30,0.0,2599.5,2599.5,415.0,57.6%,25(15%)/45(15%)/55(20%)
2045,SHORT_ONLY,10:00-10:30,0.0,2619.3,2619.3,415.0,59.8%,25(15%)/45(15%)/50(20%)
2039,SHORT_ONLY,10:00-10:30,0.0,2552.9,2552.9,405.0,56.5%,25(15%)/45(10%)/60(20%)
2036,SHORT_ONLY,10:00-10:30,0.0,2704.7,2704.7,413.0,57.6%,25(15%)/45(10%)/55(20%)
2030,SHORT_ONLY,10:00-10:30,0.0,2726.7,2726.7,421.0,60.9%,25(15%)/45(10%)/45(20%)
2033,SHORT_ONLY,10:00-10:30,0.0,2724.5,2724.5,413.0,59.8%,25(15%)/45(10%)/50(20%)
2024,SHORT_ONLY,10:00-10:30,0.0,2460.2,2460.2,415.0,58.7%,25(15%)/40(15%)/55(20%)
2027,SHORT_ONLY,10:00-10:30,0.0,2308.4,2308.4,407.0,57.6%,25(15%)/40(15%)/60(20%)
2021,SHORT_ONLY,10:00-10:30,0.0,2480.1,2480.1,417.0,60.9%,25(15%)/40(15%)/50(20%)
2018,SHORT_ONLY,10:00-10:30,0.0,2477.8,2477.8,423.0,62.0%,25(15%)/40(15%)/45(20%)
2015,SHORT_ONLY,10:00-10:30,0.0,2283.6,2283.6,423.0,62.0%,25(15%)/40(15%)/40(20%)
2012,SHORT_ONLY,10:00-10:30,0.0,2425.8,2425.8,405.0,57.6%,25(15%)/40(10%)/60(20%)
2009,SHORT_ONLY,10:00-10:30,0.0,2577.6,2577.6,413.0,58.7%,25(15%)/40(10%)/55(20%)
2006,SHORT_ONLY,10:00-10:30,0.0,2597.4,2597.4,413.0,60.9%,25(15%)/40(10%)/50(20%)
2003,SHORT_ONLY,10:00-10:30,0.0,2599.6,2599.6,421.0,62.0%,25(15%)/40(10%)/45(20%)
2000,SHORT_ONLY,10:00-10:30,0.0,2405.4,2405.4,421.0,62.0%,25(15%)/40(10%)/40(20%)
1997,SHORT_ONLY,10:00-10:30,0.0,2162.2,2162.2,407.0,58.9%,25(15%)/35(15%)/60(20%)
1994,SHORT_ONLY,10:00-10:30,0.0,2354.8,2354.8,415.0,60.0%,25(15%)/35(15%)/55(20%)
1988,SHORT_ONLY,10:00-10:30,0.0,2337.2,2337.2,423.0,62.6%,25(15%)/35(15%)/45(20%)
1991,SHORT_ONLY,10:00-10:30,0.0,2354.8,2354.8,418.0,61.5%,25(15%)/35(15%)/50(20%)
1985,SHORT_ONLY,10:00-10:30,0.0,2143.1,2143.1,423.0,62.6%,25(15%)/35(15%)/40(20%)
1982,SHORT_ONLY,10:00-10:30,0.0,2304.7,2304.7,405.0,57.6%,25(15%)/35(10%)/60(20%)
1979,SHORT_ONLY,10:00-10:30,0.0,2456.5,2456.5,413.0,58.7%,25(15%)/35(10%)/55(20%)
1973,SHORT_ONLY,10:00-10:30,0.0,2446.1,2446.1,421.0,62.0%,25(15%)/35(10%)/45(20%)
1976,SHORT_ONLY,10:00-10:30,0.0,2460.1,2460.1,413.0,60.9%,25(15%)/35(10%)/50(20%)
1970,SHORT_ONLY,10:00-10:30,0.0,2251.9,2251.9,421.0,62.0%,25(15%)/35(10%)/40(20%)
1967,SHORT_ONLY,10:00-10:30,0.0,2213.8,2213.8,407.0,59.3%,25(15%)/30(15%)/60(20%)
1964,SHORT_ONLY,10:00-10:30,0.0,2442.3,2442.3,415.0,60.9%,25(15%)/30(15%)/55(20%)
1961,SHORT_ONLY,10:00-10:30,0.0,2401.1,2401.1,415.0,61.8%,25(15%)/30(15%)/50(20%)
1958,SHORT_ONLY,10:00-10:30,0.0,2383.4,2383.4,428.0,62.9%,25(15%)/30(15%)/45(20%)
1955,SHORT_ONLY,10:00-10:30,0.0,2253.7,2253.7,428.0,64.0%,25(15%)/30(15%)/40(20%)
1952,SHORT_ONLY,10:00-10:30,0.0,2356.3,2356.3,405.0,56.5%,25(15%)/30(10%)/60(20%)
1949,SHORT_ONLY,10:00-10:30,0.0,2591.1,2591.1,413.0,58.7%,25(15%)/30(10%)/55(20%)
1946,SHORT_ONLY,10:00-10:30,0.0,2556.5,2556.5,413.0,60.9%,25(15%)/30(10%)/50(20%)
1943,SHORT_ONLY,10:00-10:30,0.0,2542.5,2542.5,424.0,62.0%,25(15%)/30(10%)/45(20%)
1937,SHORT_ONLY,10:00-10:30,0.0,2525.7,2525.7,405.0,56.5%,25(10%)/45(15%)/60(20%)
1940,SHORT_ONLY,10:00-10:30,0.0,2348.3,2348.3,424.0,62.0%,25(15%)/30(10%)/40(20%)
1931,SHORT_ONLY,10:00-10:30,0.0,2697.3,2697.3,413.0,59.8%,25(10%)/45(15%)/50(20%)
1934,SHORT_ONLY,10:00-10:30,0.0,2677.5,2677.5,413.0,57.6%,25(10%)/45(15%)/55(20%)
1928,SHORT_ONLY,10:00-10:30,0.0,2697.6,2697.6,421.0,60.9%,25(10%)/45(15%)/45(20%)
1925,SHORT_ONLY,10:00-10:30,0.0,2630.9,2630.9,403.0,56.5%,25(10%)/45(10%)/60(20%)
1922,SHORT_ONLY,10:00-10:30,0.0,2782.7,2782.7,411.0,57.6%,25(10%)/45(10%)/55(20%)
1919,SHORT_ONLY,10:00-10:30,0.0,2802.5,2802.5,411.0,59.8%,25(10%)/45(10%)/50(20%)
1916,SHORT_ONLY,10:00-10:30,0.0,2807.3,2807.3,419.0,60.9%,25(10%)/45(10%)/45(20%)
1913,SHORT_ONLY,10:00-10:30,0.0,2389.3,2389.3,405.0,57.6%,25(10%)/40(15%)/60(20%)
1910,SHORT_ONLY,10:00-10:30,0.0,2541.2,2541.2,413.0,58.7%,25(10%)/40(15%)/55(20%)
1907,SHORT_ONLY,10:00-10:30,0.0,2560.9,2560.9,415.0,60.9%,25(10%)/40(15%)/50(20%)
1901,SHORT_ONLY,10:00-10:30,0.0,2367.1,2367.1,421.0,62.0%,25(10%)/40(15%)/40(20%)
1904,SHORT_ONLY,10:00-10:30,0.0,2561.2,2561.2,421.0,62.0%,25(10%)/40(15%)/45(20%)
1895,SHORT_ONLY,10:00-10:30,0.0,2658.5,2658.5,411.0,58.7%,25(10%)/40(10%)/55(20%)
1898,SHORT_ONLY,10:00-10:30,0.0,2506.7,2506.7,403.0,57.6%,25(10%)/40(10%)/60(20%)
1892,SHORT_ONLY,10:00-10:30,0.0,2678.3,2678.3,411.0,60.9%,25(10%)/40(10%)/50(20%)
1889,SHORT_ONLY,10:00-10:30,0.0,2683.1,2683.1,419.0,62.0%,25(10%)/40(10%)/45(20%)
1883,SHORT_ONLY,10:00-10:30,0.0,2243.8,2243.8,405.0,59.8%,25(10%)/35(15%)/60(20%)
1886,SHORT_ONLY,10:00-10:30,0.0,2488.9,2488.9,419.0,62.0%,25(10%)/40(10%)/40(20%)
1880,SHORT_ONLY,10:00-10:30,0.0,2439.2,2439.2,413.0,60.9%,25(10%)/35(15%)/55(20%)
1877,SHORT_ONLY,10:00-10:30,0.0,2439.2,2439.2,417.0,62.0%,25(10%)/35(15%)/50(20%)
1871,SHORT_ONLY,10:00-10:30,0.0,2230.1,2230.1,421.0,63.0%,25(10%)/35(15%)/40(20%)
1874,SHORT_ONLY,10:00-10:30,0.0,2424.2,2424.2,421.0,63.0%,25(10%)/35(15%)/45(20%)
1862,SHORT_ONLY,10:00-10:30,0.0,2544.5,2544.5,412.0,61.5%,25(10%)/35(10%)/50(20%)
1868,SHORT_ONLY,10:00-10:30,0.0,2389.1,2389.1,403.0,58.9%,25(10%)/35(10%)/60(20%)
1865,SHORT_ONLY,10:00-10:30,0.0,2540.9,2540.9,411.0,60.0%,25(10%)/35(10%)/55(20%)
1859,SHORT_ONLY,10:00-10:30,0.0,2533.1,2533.1,419.0,62.6%,25(10%)/35(10%)/45(20%)
1853,SHORT_ONLY,10:00-10:30,0.0,2365.8,2365.8,405.0,63.0%,25(10%)/30(15%)/60(20%)
1856,SHORT_ONLY,10:00-10:30,0.0,2338.9,2338.9,419.0,62.6%,25(10%)/35(10%)/40(20%)
1850,SHORT_ONLY,10:00-10:30,0.0,2597.2,2597.2,413.0,64.1%,25(10%)/30(15%)/55(20%)
1844,SHORT_ONLY,10:00-10:30,0.0,2540.8,2540.8,425.0,65.2%,25(10%)/30(15%)/45(20%)
1847,SHORT_ONLY,10:00-10:30,0.0,2555.8,2555.8,413.0,64.1%,25(10%)/30(15%)/50(20%)
1838,SHORT_ONLY,10:00-10:30,0.0,2443.9,2443.9,403.0,60.5%,25(10%)/30(10%)/60(20%)
1841,SHORT_ONLY,10:00-10:30,0.0,2346.7,2346.7,425.0,65.2%,25(10%)/30(15%)/40(20%)
1835,SHORT_ONLY,10:00-10:30,0.0,2681.5,2681.5,411.0,62.1%,25(10%)/30(10%)/55(20%)
1832,SHORT_ONLY,10:00-10:30,0.0,2646.9,2646.9,411.0,62.9%,25(10%)/30(10%)/50(20%)
1829,SHORT_ONLY,10:00-10:30,0.0,2635.5,2635.5,421.0,64.0%,25(10%)/30(10%)/45(20%)
1826,SHORT_ONLY,10:00-10:30,0.0,2441.3,2441.3,421.0,64.0%,25(10%)/30(10%)/40(20%)
1823,SHORT_ONLY,10:00-10:30,0.0,2344.5,2344.5,414.0,55.4%,20(15%)/45(15%)/60(20%)
1820,SHORT_ONLY,10:00-10:30,0.0,2496.3,2496.3,459.0,56.5%,20(15%)/45(15%)/55(20%)
1817,SHORT_ONLY,10:00-10:30,0.0,2516.1,2516.1,464.0,58.7%,20(15%)/45(15%)/50(20%)
1814,SHORT_ONLY,10:00-10:30,0.0,2513.8,2513.8,376.0,59.8%,20(15%)/45(15%)/45(20%)
1808,SHORT_ONLY,10:00-10:30,0.0,2598.9,2598.9,453.0,56.5%,20(15%)/45(10%)/55(20%)
1811,SHORT_ONLY,10:00-10:30,0.0,2447.2,2447.2,408.0,55.4%,20(15%)/45(10%)/60(20%)
1805,SHORT_ONLY,10:00-10:30,0.0,2618.8,2618.8,458.0,58.7%,20(15%)/45(10%)/50(20%)
1799,SHORT_ONLY,10:00-10:30,0.0,2136.6,2136.6,431.0,55.4%,20(15%)/40(15%)/60(20%)
1802,SHORT_ONLY,10:00-10:30,0.0,2620.9,2620.9,366.0,59.8%,20(15%)/45(10%)/45(20%)
1793,SHORT_ONLY,10:00-10:30,0.0,2308.2,2308.2,481.0,58.7%,20(15%)/40(15%)/50(20%)
1784,SHORT_ONLY,10:00-10:30,0.0,2314.7,2314.7,426.0,56.5%,20(15%)/40(10%)/60(20%)
1796,SHORT_ONLY,10:00-10:30,0.0,2288.4,2288.4,476.0,56.5%,20(15%)/40(15%)/55(20%)
1790,SHORT_ONLY,10:00-10:30,0.0,2305.9,2305.9,393.0,59.8%,20(15%)/40(15%)/45(20%)
1787,SHORT_ONLY,10:00-10:30,0.0,2174.4,2174.4,427.0,60.9%,20(15%)/40(15%)/40(20%)
1781,SHORT_ONLY,10:00-10:30,0.0,2466.4,2466.4,471.0,57.6%,20(15%)/40(10%)/55(20%)
1778,SHORT_ONLY,10:00-10:30,0.0,2486.2,2486.2,476.0,59.8%,20(15%)/40(10%)/50(20%)
1775,SHORT_ONLY,10:00-10:30,0.0,2488.4,2488.4,384.0,60.9%,20(15%)/40(10%)/45(20%)
1772,SHORT_ONLY,10:00-10:30,0.0,2294.2,2294.2,418.0,60.9%,20(15%)/40(10%)/40(20%)
1769,SHORT_ONLY,10:00-10:30,0.0,2010.8,2010.8,432.0,56.7%,20(15%)/35(15%)/60(20%)
1766,SHORT_ONLY,10:00-10:30,0.0,2193.2,2193.2,477.0,57.8%,20(15%)/35(15%)/55(20%)
1763,SHORT_ONLY,10:00-10:30,0.0,2193.2,2193.2,482.0,59.3%,20(15%)/35(15%)/50(20%)
1760,SHORT_ONLY,10:00-10:30,0.0,2175.6,2175.6,410.0,60.4%,20(15%)/35(15%)/45(20%)
