實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
1005,BOTH,11:45-11:47,225.6,497.4,722.9,533.0,35.7%,25(10%)/45(15%)/55(20%)
1008,BOTH,11:45-11:47,193.2,563.5,756.7,533.0,35.7%,25(10%)/45(15%)/60(20%)
1002,BOTH,11:45-11:47,217.9,617.0,835.0,533.0,36.5%,25(10%)/45(15%)/50(20%)
999,BOTH,11:45-11:47,210.2,752.5,962.6,513.0,36.5%,25(10%)/45(15%)/45(20%)
993,BOTH,11:45-11:47,0.0,0.0,0.0,0.0,0.0%,25(10%)/45(10%)/55(20%)
996,BOTH,11:45-11:47,0.0,0.0,0.0,0.0,0.0%,25(10%)/45(10%)/60(20%)
987,BOTH,11:45-11:47,244.1,816.7,1060.8,508.0,36.5%,25(10%)/45(10%)/45(20%)
990,BOTH,11:45-11:47,251.9,681.3,933.2,528.0,36.5%,25(10%)/45(10%)/50(20%)
981,BOTH,11:45-11:47,149.9,449.8,599.6,533.0,35.7%,25(10%)/40(15%)/55(20%)
984,BOTH,11:45-11:47,117.5,516.0,633.5,533.0,35.7%,25(10%)/40(15%)/60(20%)
975,BOTH,11:45-11:47,134.5,704.9,839.4,513.0,36.5%,25(10%)/40(15%)/45(20%)
978,BOTH,11:45-11:47,142.3,569.5,711.8,533.0,36.5%,25(10%)/40(15%)/50(20%)
969,BOTH,11:45-11:47,156.9,572.9,729.8,528.0,35.7%,25(10%)/40(10%)/60(20%)
972,BOTH,11:45-11:47,63.3,659.2,722.5,513.0,36.5%,25(10%)/40(15%)/40(20%)
963,BOTH,11:45-11:47,181.7,630.9,812.6,528.0,36.5%,25(10%)/40(10%)/50(20%)
966,BOTH,11:45-11:47,189.3,506.7,696.0,528.0,35.7%,25(10%)/40(10%)/55(20%)
957,BOTH,11:45-11:47,102.7,720.7,823.4,508.0,36.5%,25(10%)/40(10%)/40(20%)
960,BOTH,11:45-11:47,173.9,766.3,940.2,508.0,36.5%,25(10%)/40(10%)/45(20%)
951,BOTH,11:45-11:47,167.6,421.6,589.2,541.0,37.3%,25(10%)/35(15%)/55(20%)
954,BOTH,11:45-11:47,135.2,487.8,623.0,541.0,37.3%,25(10%)/35(15%)/60(20%)
948,BOTH,11:45-11:47,160.0,541.3,701.3,541.0,38.1%,25(10%)/35(15%)/50(20%)
945,BOTH,11:45-11:47,152.2,676.7,828.9,521.0,38.1%,25(10%)/35(15%)/45(20%)
942,BOTH,11:45-11:47,81.0,631.1,712.1,521.0,38.1%,25(10%)/35(15%)/40(20%)
939,BOTH,11:45-11:47,173.3,542.6,715.9,537.0,37.3%,25(10%)/35(10%)/60(20%)
933,BOTH,11:45-11:47,198.1,600.6,798.7,537.0,38.1%,25(10%)/35(10%)/50(20%)
936,BOTH,11:45-11:47,205.7,476.4,682.1,537.0,37.3%,25(10%)/35(10%)/55(20%)
927,BOTH,11:45-11:47,119.1,690.4,809.5,517.0,38.1%,25(10%)/35(10%)/40(20%)
930,BOTH,11:45-11:47,190.3,736.0,926.3,517.0,38.1%,25(10%)/35(10%)/45(20%)
924,BOTH,11:45-11:47,294.8,529.0,823.8,542.0,38.9%,20(10%)/45(15%)/60(20%)
921,BOTH,11:45-11:47,327.1,462.9,790.0,542.0,38.9%,20(10%)/45(15%)/55(20%)
918,BOTH,11:45-11:47,319.6,577.1,896.7,542.0,39.7%,20(10%)/45(15%)/50(20%)
915,BOTH,11:45-11:47,311.8,712.5,1024.3,522.0,39.7%,20(10%)/45(15%)/45(20%)
909,BOTH,11:45-11:47,361.1,524.3,885.4,537.0,38.9%,20(10%)/45(10%)/55(20%)
912,BOTH,11:45-11:47,328.7,590.5,919.2,537.0,38.9%,20(10%)/45(10%)/60(20%)
903,BOTH,11:45-11:47,345.7,778.5,1124.2,517.0,39.7%,20(10%)/45(10%)/45(20%)
906,BOTH,11:45-11:47,353.5,643.1,996.6,537.0,39.7%,20(10%)/45(10%)/50(20%)
897,BOTH,11:45-11:47,278.4,413.6,691.9,542.0,38.9%,20(10%)/40(15%)/55(20%)
900,BOTH,11:45-11:47,245.9,479.8,725.7,542.0,38.9%,20(10%)/40(15%)/60(20%)
891,BOTH,11:45-11:47,262.9,663.2,926.2,522.0,39.7%,20(10%)/40(15%)/45(20%)
894,BOTH,11:45-11:47,270.8,527.9,798.6,542.0,39.7%,20(10%)/40(15%)/50(20%)
885,BOTH,11:45-11:47,287.4,538.3,825.7,537.0,38.9%,20(10%)/40(10%)/60(20%)
888,BOTH,11:45-11:47,191.8,617.6,809.4,522.0,39.7%,20(10%)/40(15%)/40(20%)
879,BOTH,11:45-11:47,312.2,590.9,903.1,537.0,39.7%,20(10%)/40(10%)/50(20%)
882,BOTH,11:45-11:47,319.8,472.1,791.9,537.0,38.9%,20(10%)/40(10%)/55(20%)
873,BOTH,11:45-11:47,233.2,680.7,913.9,517.0,39.7%,20(10%)/40(10%)/40(20%)
876,BOTH,11:45-11:47,304.4,726.3,1030.7,517.0,39.7%,20(10%)/40(10%)/45(20%)
867,BOTH,11:45-11:47,296.1,365.1,661.1,550.0,40.5%,20(10%)/35(15%)/55(20%)
870,BOTH,11:45-11:47,263.6,431.2,694.9,550.0,40.5%,20(10%)/35(15%)/60(20%)
861,BOTH,11:45-11:47,280.6,614.8,895.4,530.0,41.3%,20(10%)/35(15%)/45(20%)
864,BOTH,11:45-11:47,288.4,479.4,767.8,550.0,41.3%,20(10%)/35(15%)/50(20%)
855,BOTH,11:45-11:47,303.8,487.3,791.1,546.0,40.5%,20(10%)/35(10%)/60(20%)
858,BOTH,11:45-11:47,209.4,569.1,778.6,530.0,41.3%,20(10%)/35(15%)/40(20%)
849,BOTH,11:45-11:47,328.6,539.9,868.5,546.0,41.3%,20(10%)/35(10%)/50(20%)
852,BOTH,11:45-11:47,336.2,421.1,757.3,546.0,40.5%,20(10%)/35(10%)/55(20%)
843,BOTH,11:45-11:47,249.6,629.7,879.3,526.0,41.3%,20(10%)/35(10%)/40(20%)
846,BOTH,11:45-11:47,320.8,675.3,996.1,526.0,41.3%,20(10%)/35(10%)/45(20%)
837,BOTH,11:45-11:47,312.9,306.6,619.5,525.0,38.1%,15(10%)/45(15%)/55(20%)
