實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
3887,SHORT_ONLY,09:45-10:00,0.0,139.0,139.0,1186.0,48.7%,25(20%)/40(20%)/50(20%)
3888,BOTH,09:45-10:00,449.0,148.2,597.2,1398.0,51.1%,25(20%)/40(20%)/50(20%)
3881,SHORT_ONLY,09:45-10:00,0.0,359.2,359.2,868.0,50.8%,25(20%)/40(20%)/40(20%)
3882,BOTH,09:45-10:00,575.4,354.2,929.6,1398.0,54.0%,25(20%)/40(20%)/40(20%)
3883,LONG_ONLY,09:45-10:00,724.8,0.0,724.8,802.0,54.5%,25(20%)/40(20%)/45(20%)
3884,SHORT_ONLY,09:45-10:00,0.0,11.0,11.0,1194.0,48.7%,25(20%)/40(20%)/45(20%)
3885,BOTH,09:45-10:00,421.8,49.8,471.6,1398.0,51.1%,25(20%)/40(20%)/45(20%)
3886,LONG_ONLY,09:45-10:00,624.8,0.0,624.8,888.0,54.0%,25(20%)/40(20%)/50(20%)
3875,SHORT_ONLY,09:45-10:00,0.0,133.2,133.2,1183.0,48.3%,25(20%)/40(15%)/45(20%)
3876,BOTH,09:45-10:00,477.2,142.8,620.1,1394.0,50.4%,25(20%)/40(15%)/45(20%)
3877,LONG_ONLY,09:45-10:00,730.5,0.0,730.5,866.0,52.9%,25(20%)/40(15%)/50(20%)
3878,SHORT_ONLY,09:45-10:00,0.0,261.1,261.1,1175.0,48.3%,25(20%)/40(15%)/50(20%)
3879,BOTH,09:45-10:00,504.4,241.2,745.7,1394.0,50.4%,25(20%)/40(15%)/50(20%)
3880,LONG_ONLY,09:45-10:00,777.2,0.0,777.2,874.0,55.9%,25(20%)/40(20%)/40(20%)
3869,SHORT_ONLY,09:45-10:00,0.0,384.5,384.5,1159.0,48.3%,25(20%)/40(10%)/50(20%)
3870,BOTH,09:45-10:00,559.9,335.5,895.4,1391.0,50.4%,25(20%)/40(10%)/50(20%)
3871,LONG_ONLY,09:45-10:00,895.6,0.0,895.6,847.0,55.9%,25(20%)/40(15%)/40(20%)
3872,SHORT_ONLY,09:45-10:00,0.0,494.4,494.4,845.0,50.8%,25(20%)/40(15%)/40(20%)
3873,BOTH,09:45-10:00,639.0,460.4,1099.3,1394.0,54.0%,25(20%)/40(15%)/40(20%)
3874,LONG_ONLY,09:45-10:00,835.1,0.0,835.1,775.0,53.9%,25(20%)/40(15%)/45(20%)
3867,BOTH,09:45-10:00,532.7,237.1,769.8,1391.0,50.4%,25(20%)/40(10%)/45(20%)
3868,LONG_ONLY,09:45-10:00,842.0,0.0,842.0,843.0,52.9%,25(20%)/40(10%)/50(20%)
3863,SHORT_ONLY,09:45-10:00,0.0,630.9,630.9,818.0,50.8%,25(20%)/40(10%)/40(20%)
3864,BOTH,09:45-10:00,702.5,567.7,1270.2,1391.0,54.0%,25(20%)/40(10%)/40(20%)
3865,LONG_ONLY,09:45-10:00,951.4,0.0,951.4,755.0,53.9%,25(20%)/40(10%)/45(20%)
3866,SHORT_ONLY,09:45-10:00,0.0,256.5,256.5,1167.0,48.3%,25(20%)/40(10%)/45(20%)
3857,SHORT_ONLY,09:45-10:00,0.0,194.8,194.8,981.0,50.9%,25(20%)/35(20%)/45(20%)
3858,BOTH,09:45-10:00,330.6,126.8,457.4,1398.0,52.6%,25(20%)/35(20%)/45(20%)
3859,LONG_ONLY,09:45-10:00,451.2,0.0,451.2,913.0,54.5%,25(20%)/35(20%)/50(20%)
3860,SHORT_ONLY,09:45-10:00,0.0,322.8,322.8,973.0,50.9%,25(20%)/35(20%)/50(20%)
3861,BOTH,09:45-10:00,357.8,225.2,583.0,1398.0,52.6%,25(20%)/35(20%)/50(20%)
3862,LONG_ONLY,09:45-10:00,1020.0,0.0,1020.0,819.0,55.9%,25(20%)/40(10%)/40(20%)
3851,SHORT_ONLY,09:45-10:00,0.0,435.6,435.6,961.0,49.2%,25(20%)/35(15%)/50(20%)
3852,BOTH,09:45-10:00,403.5,314.0,717.5,1394.0,51.1%,25(20%)/35(15%)/50(20%)
3853,LONG_ONLY,09:45-10:00,693.2,0.0,693.2,899.0,56.9%,25(20%)/35(20%)/40(20%)
3854,SHORT_ONLY,09:45-10:00,0.0,530.2,530.2,666.0,53.0%,25(20%)/35(20%)/40(20%)
3855,BOTH,09:45-10:00,573.8,418.4,992.2,1398.0,55.9%,25(20%)/35(20%)/40(20%)
3856,LONG_ONLY,09:45-10:00,551.2,0.0,551.2,827.0,55.0%,25(20%)/35(20%)/45(20%)
3845,SHORT_ONLY,09:45-10:00,0.0,655.4,655.4,642.0,51.7%,25(20%)/35(15%)/40(20%)
3846,BOTH,09:45-10:00,630.7,519.5,1150.2,1394.0,55.5%,25(20%)/35(15%)/40(20%)
3847,LONG_ONLY,09:45-10:00,653.5,0.0,653.5,801.0,53.9%,25(20%)/35(15%)/45(20%)
3848,SHORT_ONLY,09:45-10:00,0.0,307.6,307.6,969.0,49.2%,25(20%)/35(15%)/45(20%)
3849,BOTH,09:45-10:00,376.3,215.6,591.9,1394.0,51.1%,25(20%)/35(15%)/45(20%)
3850,LONG_ONLY,09:45-10:00,548.8,0.0,548.8,892.0,52.9%,25(20%)/35(15%)/50(20%)
3843,BOTH,09:45-10:00,449.2,402.8,852.0,1391.0,51.1%,25(20%)/35(10%)/50(20%)
3844,LONG_ONLY,09:45-10:00,806.6,0.0,806.6,873.0,56.9%,25(20%)/35(15%)/40(20%)
3839,SHORT_ONLY,09:45-10:00,0.0,416.0,416.0,952.0,49.2%,25(20%)/35(10%)/45(20%)
3840,BOTH,09:45-10:00,422.0,304.4,726.4,1391.0,51.1%,25(20%)/35(10%)/45(20%)
3841,LONG_ONLY,09:45-10:00,650.3,0.0,650.3,870.0,52.9%,25(20%)/35(10%)/50(20%)
3842,SHORT_ONLY,09:45-10:00,0.0,544.0,544.0,944.0,49.2%,25(20%)/35(10%)/50(20%)
3833,SHORT_ONLY,09:45-10:00,0.0,164.4,164.4,950.0,50.9%,25(20%)/30(20%)/50(20%)
3834,BOTH,09:45-10:00,335.0,116.4,451.4,1373.0,52.7%,25(20%)/30(20%)/50(20%)
3835,LONG_ONLY,09:45-10:00,924.1,0.0,924.1,846.0,56.9%,25(20%)/35(10%)/40(20%)
3836,SHORT_ONLY,09:45-10:00,0.0,776.0,776.0,640.0,51.7%,25(20%)/35(10%)/40(20%)
3837,BOTH,09:45-10:00,687.6,620.6,1308.2,1391.0,55.5%,25(20%)/35(10%)/40(20%)
3838,LONG_ONLY,09:45-10:00,759.7,0.0,759.7,774.0,53.9%,25(20%)/35(10%)/45(20%)
3831,BOTH,09:45-10:00,307.8,18.0,325.8,1373.0,52.7%,25(20%)/30(20%)/45(20%)
3832,LONG_ONLY,09:45-10:00,430.0,0.0,430.0,937.0,55.2%,25(20%)/30(20%)/50(20%)
3827,SHORT_ONLY,09:45-10:00,0.0,425.8,425.8,651.0,53.5%,25(20%)/30(20%)/40(20%)
3828,BOTH,09:45-10:00,543.0,363.6,906.6,1373.0,56.4%,25(20%)/30(20%)/40(20%)
3829,LONG_ONLY,09:45-10:00,514.8,0.0,514.8,851.0,55.7%,25(20%)/30(20%)/45(20%)
3830,SHORT_ONLY,09:45-10:00,0.0,36.4,36.4,958.0,50.9%,25(20%)/30(20%)/45(20%)
3825,BOTH,09:45-10:00,368.6,182.8,551.4,1373.0,49.6%,25(20%)/30(15%)/50(20%)
3826,LONG_ONLY,09:45-10:00,644.8,0.0,644.8,923.0,57.6%,25(20%)/30(20%)/40(20%)
3819,BOTH,09:45-10:00,587.2,444.8,1032.0,1373.0,54.7%,25(20%)/30(15%)/40(20%)
3820,LONG_ONLY,09:45-10:00,590.5,0.0,590.5,830.0,52.9%,25(20%)/30(15%)/45(20%)
3821,SHORT_ONLY,09:45-10:00,0.0,123.8,123.8,950.0,48.3%,25(20%)/30(15%)/45(20%)
3822,BOTH,09:45-10:00,341.4,84.4,425.8,1373.0,49.6%,25(20%)/30(15%)/45(20%)
3823,LONG_ONLY,09:45-10:00,501.1,0.0,501.1,921.0,52.0%,25(20%)/30(15%)/50(20%)
3824,SHORT_ONLY,09:45-10:00,0.0,251.8,251.8,942.0,48.3%,25(20%)/30(15%)/50(20%)
3813,BOTH,09:45-10:00,374.9,150.8,525.7,1373.0,49.6%,25(20%)/30(10%)/45(20%)
3814,LONG_ONLY,09:45-10:00,572.5,0.0,572.5,905.0,52.0%,25(20%)/30(10%)/50(20%)
3815,SHORT_ONLY,09:45-10:00,0.0,339.1,339.1,929.0,48.3%,25(20%)/30(10%)/50(20%)
3816,BOTH,09:45-10:00,402.1,249.2,651.3,1373.0,49.6%,25(20%)/30(10%)/50(20%)
3817,LONG_ONLY,09:45-10:00,731.2,0.0,731.2,902.0,55.9%,25(20%)/30(15%)/40(20%)
3818,SHORT_ONLY,09:45-10:00,0.0,528.0,528.0,631.0,51.7%,25(20%)/30(15%)/40(20%)
3807,BOTH,09:45-10:00,227.8,204.0,431.8,1369.0,54.3%,25(20%)/25(20%)/50(20%)
3808,LONG_ONLY,09:45-10:00,818.1,0.0,818.1,881.0,55.9%,25(20%)/30(10%)/40(20%)
3809,SHORT_ONLY,09:45-10:00,0.0,630.1,630.1,609.0,51.7%,25(20%)/30(10%)/40(20%)
3810,BOTH,09:45-10:00,631.5,526.0,1157.5,1373.0,54.7%,25(20%)/30(10%)/40(20%)
3811,LONG_ONLY,09:45-10:00,666.7,0.0,666.7,809.0,52.9%,25(20%)/30(10%)/45(20%)
3812,SHORT_ONLY,09:45-10:00,0.0,211.1,211.1,937.0,48.3%,25(20%)/30(10%)/45(20%)
3801,BOTH,09:45-10:00,444.6,393.4,838.0,1369.0,57.6%,25(20%)/25(20%)/40(20%)
3802,LONG_ONLY,09:45-10:00,486.2,0.0,486.2,842.0,57.8%,25(20%)/25(20%)/45(20%)
3803,SHORT_ONLY,09:45-10:00,0.0,98.2,98.2,870.0,52.9%,25(20%)/25(20%)/45(20%)
3804,BOTH,09:45-10:00,260.6,166.2,426.8,1369.0,55.1%,25(20%)/25(20%)/45(20%)
3805,LONG_ONLY,09:45-10:00,348.6,0.0,348.6,988.0,56.3%,25(20%)/25(20%)/50(20%)
3806,SHORT_ONLY,09:45-10:00,0.0,165.6,165.6,862.0,52.4%,25(20%)/25(20%)/50(20%)
3795,BOTH,09:45-10:00,286.2,220.8,507.1,1371.0,47.4%,25(20%)/25(15%)/45(20%)
3796,LONG_ONLY,09:45-10:00,401.2,0.0,401.2,981.0,48.0%,25(20%)/25(15%)/50(20%)
3797,SHORT_ONLY,09:45-10:00,0.0,233.2,233.2,861.0,45.8%,25(20%)/25(15%)/50(20%)
3798,BOTH,09:45-10:00,250.9,256.0,506.9,1371.0,46.0%,25(20%)/25(15%)/50(20%)
3799,LONG_ONLY,09:45-10:00,615.0,0.0,615.0,914.0,59.6%,25(20%)/25(20%)/40(20%)
3800,SHORT_ONLY,09:45-10:00,0.0,369.2,369.2,702.0,54.6%,25(20%)/25(20%)/40(20%)
3789,BOTH,09:45-10:00,274.1,308.0,582.1,1374.0,46.0%,25(20%)/25(10%)/50(20%)
3790,LONG_ONLY,09:45-10:00,690.4,0.0,690.4,900.0,54.9%,25(20%)/25(15%)/40(20%)
3791,SHORT_ONLY,09:45-10:00,0.0,452.6,452.6,687.0,50.0%,25(20%)/25(15%)/40(20%)
3792,BOTH,09:45-10:00,480.6,461.2,941.8,1371.0,52.6%,25(20%)/25(15%)/40(20%)
3793,LONG_ONLY,09:45-10:00,548.8,0.0,548.8,828.0,51.0%,25(20%)/25(15%)/45(20%)
3794,SHORT_ONLY,09:45-10:00,0.0,168.3,168.3,869.0,46.6%,25(20%)/25(15%)/45(20%)
3783,BOTH,09:45-10:00,516.5,529.0,1045.5,1374.0,52.6%,25(20%)/25(10%)/40(20%)
3784,LONG_ONLY,09:45-10:00,611.4,0.0,611.4,816.0,51.0%,25(20%)/25(10%)/45(20%)
3785,SHORT_ONLY,09:45-10:00,0.0,238.5,238.5,870.0,46.6%,25(20%)/25(10%)/45(20%)
3786,BOTH,09:45-10:00,311.9,275.4,587.3,1374.0,47.4%,25(20%)/25(10%)/45(20%)
3787,LONG_ONLY,09:45-10:00,453.8,0.0,453.8,977.0,48.0%,25(20%)/25(10%)/50(20%)
3788,SHORT_ONLY,09:45-10:00,0.0,300.7,300.7,862.0,45.8%,25(20%)/25(10%)/50(20%)
3777,BOTH,09:45-10:00,454.9,111.8,566.8,1398.0,51.8%,25(15%)/40(20%)/45(20%)
3778,LONG_ONLY,09:45-10:00,697.4,0.0,697.4,874.0,54.9%,25(15%)/40(20%)/50(20%)
3779,SHORT_ONLY,09:45-10:00,0.0,216.6,216.6,1180.0,49.2%,25(15%)/40(20%)/50(20%)
3780,BOTH,09:45-10:00,482.1,210.2,692.4,1398.0,51.8%,25(15%)/40(20%)/50(20%)
3781,LONG_ONLY,09:45-10:00,765.8,0.0,765.8,888.0,54.9%,25(20%)/25(10%)/40(20%)
3782,SHORT_ONLY,09:45-10:00,0.0,535.9,535.9,682.0,50.0%,25(20%)/25(10%)/40(20%)
3771,BOTH,09:45-10:00,537.6,303.2,840.9,1394.0,51.1%,25(15%)/40(15%)/50(20%)
3772,LONG_ONLY,09:45-10:00,852.6,0.0,852.6,860.0,55.9%,25(15%)/40(20%)/40(20%)
3773,SHORT_ONLY,09:45-10:00,0.0,442.6,442.6,857.0,50.8%,25(15%)/40(20%)/40(20%)
3774,BOTH,09:45-10:00,611.4,422.0,1033.3,1398.0,54.0%,25(15%)/40(20%)/40(20%)
3775,LONG_ONLY,09:45-10:00,797.4,0.0,797.4,788.0,54.9%,25(15%)/40(20%)/45(20%)
3776,SHORT_ONLY,09:45-10:00,0.0,88.5,88.5,1188.0,49.2%,25(15%)/40(20%)/45(20%)
3765,BOTH,09:45-10:00,674.9,528.1,1203.0,1394.0,54.0%,25(15%)/40(15%)/40(20%)
3766,LONG_ONLY,09:45-10:00,907.8,0.0,907.8,761.0,54.5%,25(15%)/40(15%)/45(20%)
3767,SHORT_ONLY,09:45-10:00,0.0,210.7,210.7,1176.0,48.7%,25(15%)/40(15%)/45(20%)
3768,BOTH,09:45-10:00,510.4,204.8,715.2,1394.0,51.1%,25(15%)/40(15%)/45(20%)
3769,LONG_ONLY,09:45-10:00,803.0,0.0,803.0,852.0,54.0%,25(15%)/40(15%)/50(20%)
3770,SHORT_ONLY,09:45-10:00,0.0,338.7,338.7,1168.0,48.7%,25(15%)/40(15%)/50(20%)
3759,BOTH,09:45-10:00,565.9,299.1,865.0,1391.0,50.4%,25(15%)/40(10%)/45(20%)
3760,LONG_ONLY,09:45-10:00,914.6,0.0,914.6,829.0,52.9%,25(15%)/40(10%)/50(20%)
3761,SHORT_ONLY,09:45-10:00,0.0,462.1,462.1,1152.0,48.3%,25(15%)/40(10%)/50(20%)
3762,BOTH,09:45-10:00,593.0,397.5,990.5,1391.0,50.4%,25(15%)/40(10%)/50(20%)
3763,LONG_ONLY,09:45-10:00,971.0,0.0,971.0,833.0,55.9%,25(15%)/40(15%)/40(20%)
3764,SHORT_ONLY,09:45-10:00,0.0,577.8,577.8,834.0,50.8%,25(15%)/40(15%)/40(20%)
3753,BOTH,09:45-10:00,394.2,293.3,687.5,1398.0,54.0%,25(15%)/35(20%)/50(20%)
3754,LONG_ONLY,09:45-10:00,1095.4,0.0,1095.4,805.0,55.9%,25(15%)/40(10%)/40(20%)
3755,SHORT_ONLY,09:45-10:00,0.0,714.2,714.2,807.0,50.8%,25(15%)/40(10%)/40(20%)
3756,BOTH,09:45-10:00,738.5,635.5,1374.0,1391.0,54.0%,25(15%)/40(10%)/40(20%)
3757,LONG_ONLY,09:45-10:00,1024.0,0.0,1024.0,751.0,53.9%,25(15%)/40(10%)/45(20%)
3758,SHORT_ONLY,09:45-10:00,0.0,334.1,334.1,1160.0,48.3%,25(15%)/40(10%)/45(20%)
3747,BOTH,09:45-10:00,613.0,492.3,1105.3,1398.0,56.2%,25(15%)/35(20%)/40(20%)
3748,LONG_ONLY,09:45-10:00,627.1,0.0,627.1,813.0,55.9%,25(15%)/35(20%)/45(20%)
3749,SHORT_ONLY,09:45-10:00,0.0,285.6,285.6,966.0,52.5%,25(15%)/35(20%)/45(20%)
3750,BOTH,09:45-10:00,367.1,194.9,562.0,1398.0,54.0%,25(15%)/35(20%)/45(20%)
3751,LONG_ONLY,09:45-10:00,527.1,0.0,527.1,899.0,55.9%,25(15%)/35(20%)/50(20%)
3752,SHORT_ONLY,09:45-10:00,0.0,413.6,413.6,958.0,52.5%,25(15%)/35(20%)/50(20%)
3741,BOTH,09:45-10:00,412.8,283.7,696.5,1394.0,52.6%,25(15%)/35(15%)/45(20%)
3742,LONG_ONLY,09:45-10:00,624.6,0.0,624.6,878.0,54.5%,25(15%)/35(15%)/50(20%)
3743,SHORT_ONLY,09:45-10:00,0.0,526.4,526.4,944.0,50.9%,25(15%)/35(15%)/50(20%)
3744,BOTH,09:45-10:00,439.9,382.1,822.0,1394.0,52.6%,25(15%)/35(15%)/50(20%)
3745,LONG_ONLY,09:45-10:00,771.9,0.0,771.9,885.0,56.9%,25(15%)/35(20%)/40(20%)
3746,SHORT_ONLY,09:45-10:00,0.0,626.8,626.8,646.0,54.2%,25(15%)/35(20%)/40(20%)
3735,BOTH,09:45-10:00,485.6,470.9,956.5,1391.0,51.1%,25(15%)/35(10%)/50(20%)
3736,LONG_ONLY,09:45-10:00,885.4,0.0,885.4,859.0,56.9%,25(15%)/35(15%)/40(20%)
3737,SHORT_ONLY,09:45-10:00,0.0,751.9,751.9,644.0,53.0%,25(15%)/35(15%)/40(20%)
3738,BOTH,09:45-10:00,670.0,593.4,1263.3,1394.0,55.9%,25(15%)/35(15%)/40(20%)
3739,LONG_ONLY,09:45-10:00,729.4,0.0,729.4,787.0,55.0%,25(15%)/35(15%)/45(20%)
3740,SHORT_ONLY,09:45-10:00,0.0,398.4,398.4,952.0,50.9%,25(15%)/35(15%)/45(20%)
3729,BOTH,09:45-10:00,726.9,694.5,1421.3,1391.0,55.5%,25(15%)/35(10%)/40(20%)
3730,LONG_ONLY,09:45-10:00,835.6,0.0,835.6,760.0,53.9%,25(15%)/35(10%)/45(20%)
3731,SHORT_ONLY,09:45-10:00,0.0,506.8,506.8,937.0,49.2%,25(15%)/35(10%)/45(20%)
3732,BOTH,09:45-10:00,458.4,372.5,831.0,1391.0,51.1%,25(15%)/35(10%)/45(20%)
3733,LONG_ONLY,09:45-10:00,726.2,0.0,726.2,856.0,52.9%,25(15%)/35(10%)/50(20%)
3734,SHORT_ONLY,09:45-10:00,0.0,634.8,634.8,929.0,49.2%,25(15%)/35(10%)/50(20%)
3725,SHORT_ONLY,09:45-10:00,0.0,258.2,258.2,935.0,53.4%,25(15%)/30(20%)/50(20%)
3727,LONG_ONLY,09:45-10:00,1002.8,0.0,1002.8,832.0,56.9%,25(15%)/35(10%)/40(20%)
3728,SHORT_ONLY,09:45-10:00,0.0,872.5,872.5,642.0,51.7%,25(15%)/35(10%)/40(20%)
3723,BOTH,09:45-10:00,347.4,89.2,436.6,1373.0,55.5%,25(15%)/30(20%)/45(20%)
3724,LONG_ONLY,09:45-10:00,512.2,0.0,512.2,924.0,57.8%,25(15%)/30(20%)/50(20%)
3726,BOTH,09:45-10:00,374.6,187.6,562.1,1373.0,55.5%,25(15%)/30(20%)/50(20%)
3717,BOTH,09:45-10:00,408.1,254.0,662.1,1374.0,52.7%,25(15%)/30(15%)/50(20%)
3718,LONG_ONLY,09:45-10:00,729.8,0.0,729.8,910.0,58.8%,25(15%)/30(20%)/40(20%)
3719,SHORT_ONLY,09:45-10:00,0.0,525.5,525.5,631.0,55.1%,25(15%)/30(20%)/40(20%)
3720,BOTH,09:45-10:00,585.4,440.6,1026.0,1373.0,57.7%,25(15%)/30(20%)/40(20%)
3721,LONG_ONLY,09:45-10:00,597.0,0.0,597.0,838.0,57.8%,25(15%)/30(20%)/45(20%)
3722,SHORT_ONLY,09:45-10:00,0.0,130.2,130.2,943.0,53.4%,25(15%)/30(20%)/45(20%)
3711,BOTH,09:45-10:00,629.6,521.8,1151.4,1374.0,56.4%,25(15%)/30(15%)/40(20%)
3712,LONG_ONLY,09:45-10:00,672.8,0.0,672.8,817.0,55.7%,25(15%)/30(15%)/45(20%)
3713,SHORT_ONLY,09:45-10:00,0.0,217.6,217.6,934.0,50.9%,25(15%)/30(15%)/45(20%)
3714,BOTH,09:45-10:00,380.9,155.6,536.5,1374.0,52.7%,25(15%)/30(15%)/45(20%)
3715,LONG_ONLY,09:45-10:00,583.2,0.0,583.2,908.0,55.2%,25(15%)/30(15%)/50(20%)
3716,SHORT_ONLY,09:45-10:00,0.0,345.6,345.6,926.0,50.9%,25(15%)/30(15%)/50(20%)
3705,BOTH,09:45-10:00,414.4,222.0,636.5,1373.0,49.6%,25(15%)/30(10%)/45(20%)
3706,LONG_ONLY,09:45-10:00,661.1,0.0,661.1,885.0,52.0%,25(15%)/30(10%)/50(20%)
3707,SHORT_ONLY,09:45-10:00,0.0,432.9,432.9,914.0,48.3%,25(15%)/30(10%)/50(20%)
3708,BOTH,09:45-10:00,441.6,320.4,762.0,1373.0,49.6%,25(15%)/30(10%)/50(20%)
3709,LONG_ONLY,09:45-10:00,816.2,0.0,816.2,889.0,57.6%,25(15%)/30(15%)/40(20%)
3710,SHORT_ONLY,09:45-10:00,0.0,627.6,627.6,611.0,53.5%,25(15%)/30(15%)/40(20%)
3699,BOTH,09:45-10:00,275.1,294.6,569.8,1368.0,61.3%,25(15%)/25(20%)/50(20%)
3700,LONG_ONLY,09:45-10:00,909.5,0.0,909.5,861.0,55.9%,25(15%)/30(10%)/40(20%)
3701,SHORT_ONLY,09:45-10:00,0.0,729.8,729.8,589.0,51.7%,25(15%)/30(10%)/40(20%)
3702,BOTH,09:45-10:00,673.9,603.0,1276.8,1373.0,54.7%,25(15%)/30(10%)/40(20%)
3703,LONG_ONLY,09:45-10:00,755.3,0.0,755.3,789.0,52.9%,25(15%)/30(10%)/45(20%)
3704,SHORT_ONLY,09:45-10:00,0.0,304.9,304.9,922.0,48.3%,25(15%)/30(10%)/45(20%)
3693,BOTH,09:45-10:00,491.9,484.0,976.0,1368.0,61.3%,25(15%)/25(20%)/40(20%)
3694,LONG_ONLY,09:45-10:00,583.8,0.0,583.8,824.0,62.7%,25(15%)/25(20%)/45(20%)
3695,SHORT_ONLY,09:45-10:00,0.0,211.4,211.4,841.0,58.5%,25(15%)/25(20%)/45(20%)
3696,BOTH,09:45-10:00,307.9,256.8,564.8,1368.0,61.3%,25(15%)/25(20%)/45(20%)
3697,LONG_ONLY,09:45-10:00,446.2,0.0,446.2,970.0,62.7%,25(15%)/25(20%)/50(20%)
3698,SHORT_ONLY,09:45-10:00,0.0,278.9,278.9,833.0,58.5%,25(15%)/25(20%)/50(20%)
3687,BOTH,09:45-10:00,333.6,311.4,645.0,1369.0,55.1%,25(15%)/25(15%)/45(20%)
3688,LONG_ONLY,09:45-10:00,498.8,0.0,498.8,963.0,56.3%,25(15%)/25(15%)/50(20%)
3689,SHORT_ONLY,09:45-10:00,0.0,346.4,346.4,832.0,52.4%,25(15%)/25(15%)/50(20%)
3690,BOTH,09:45-10:00,298.3,346.6,644.9,1369.0,54.3%,25(15%)/25(15%)/50(20%)
3691,LONG_ONLY,09:45-10:00,712.6,0.0,712.6,896.0,62.7%,25(15%)/25(20%)/40(20%)
3692,SHORT_ONLY,09:45-10:00,0.0,482.4,482.4,678.0,58.5%,25(15%)/25(20%)/40(20%)
3681,BOTH,09:45-10:00,321.4,398.6,720.0,1372.0,46.0%,25(15%)/25(10%)/50(20%)
3682,LONG_ONLY,09:45-10:00,788.0,0.0,788.0,882.0,59.6%,25(15%)/25(15%)/40(20%)
3683,SHORT_ONLY,09:45-10:00,0.0,565.8,565.8,672.0,54.6%,25(15%)/25(15%)/40(20%)
3684,BOTH,09:45-10:00,527.9,551.8,1079.7,1369.0,57.6%,25(15%)/25(15%)/40(20%)
3685,LONG_ONLY,09:45-10:00,646.4,0.0,646.4,812.0,57.8%,25(15%)/25(15%)/45(20%)
3686,SHORT_ONLY,09:45-10:00,0.0,281.6,281.6,840.0,52.9%,25(15%)/25(15%)/45(20%)
3675,BOTH,09:45-10:00,563.9,619.6,1183.5,1372.0,52.6%,25(15%)/25(10%)/40(20%)
3676,LONG_ONLY,09:45-10:00,709.0,0.0,709.0,809.0,51.0%,25(15%)/25(10%)/45(20%)
3677,SHORT_ONLY,09:45-10:00,0.0,351.8,351.8,841.0,46.6%,25(15%)/25(10%)/45(20%)
3678,BOTH,09:45-10:00,359.2,366.0,725.2,1372.0,47.4%,25(15%)/25(10%)/45(20%)
3679,LONG_ONLY,09:45-10:00,551.4,0.0,551.4,959.0,48.0%,25(15%)/25(10%)/50(20%)
3680,SHORT_ONLY,09:45-10:00,0.0,413.9,413.9,833.0,45.8%,25(15%)/25(10%)/50(20%)
3669,BOTH,09:45-10:00,488.1,173.8,661.9,1398.0,51.8%,25(10%)/40(20%)/45(20%)
3672,BOTH,09:45-10:00,515.3,272.2,787.5,1398.0,51.8%,25(10%)/40(20%)/50(20%)
3673,LONG_ONLY,09:45-10:00,863.4,0.0,863.4,870.0,54.9%,25(15%)/25(10%)/40(20%)
3670,LONG_ONLY,09:45-10:00,770.0,0.0,770.0,862.0,54.9%,25(10%)/40(20%)/50(20%)
3671,SHORT_ONLY,09:45-10:00,0.0,294.1,294.1,1177.0,49.2%,25(10%)/40(20%)/50(20%)
3674,SHORT_ONLY,09:45-10:00,0.0,649.1,649.1,669.0,50.0%,25(15%)/25(10%)/40(20%)
3663,BOTH,09:45-10:00,570.8,365.2,936.0,1394.0,51.8%,25(10%)/40(15%)/50(20%)
3664,LONG_ONLY,09:45-10:00,928.0,0.0,928.0,848.0,55.9%,25(10%)/40(20%)/40(20%)
