,trade_date,direction,entry_price,entry_time,range_high,range_low,total_pnl,total_lots,num_events
0,2024-07-08,LONG,23553.0,08:59:00,23552.0,23513.0,282.0,3,14
1,2024-07-09,SHORT,23923.0,08:48:00,23954.0,23926.0,-102.0,3,12
2,2024-07-10,LONG,23815.0,08:49:00,23811.0,23749.0,-78.0,3,5
3,2024-07-11,SHORT,24203.0,09:04:00,24265.0,24201.0,-52.0,3,6
4,2024-07-12,SHORT,24022.0,08:51:00,24066.0,24024.0,202.0,3,14
5,2024-07-15,SHORT,24060.0,08:52:00,24111.0,24061.0,278.0,3,14
6,2024-07-16,LONG,23884.0,08:50:00,23874.0,23825.0,109.0,3,7
7,2024-07-18,SHORT,23256.0,09:02:00,23381.0,23279.0,142.0,3,7
8,2024-07-19,SHORT,23086.0,08:50:00,23178.0,23094.0,-105.0,3,5
9,2024-07-22,SHORT,22845.0,08:48:00,22905.0,22850.0,114.0,3,7
10,2024-07-23,LONG,22623.0,08:54:00,22621.0,22572.0,125.0,3,7
11,2024-07-29,LONG,22491.0,08:53:00,22483.0,22412.0,-100.0,3,5
12,2024-07-30,LONG,21992.0,08:51:00,21978.0,21913.0,119.0,3,7
13,2024-07-31,SHORT,22076.0,09:01:00,22115.0,22028.0,-64.0,3,5
14,2024-08-01,SHORT,22677.0,09:01:00,22728.0,22680.0,132.0,3,7
15,2024-08-02,SHORT,21918.0,08:49:00,21998.0,21906.0,-105.0,3,5
16,2024-08-05,SHORT,20535.0,08:48:00,20740.0,20536.0,242.0,3,7
17,2024-08-06,LONG,20616.0,08:49:00,20555.0,20393.0,-77.0,3,6
18,2024-08-07,LONG,20626.0,08:48:00,20604.0,20488.0,104.0,3,7
19,2024-08-08,LONG,20764.0,08:56:00,20697.0,20551.0,89.0,3,6
20,2024-08-09,LONG,21352.0,08:52:00,21310.0,21014.0,137.0,3,7
21,2024-08-12,LONG,21776.0,09:16:00,21775.0,21595.0,125.0,3,7
22,2024-08-13,LONG,21880.0,08:48:00,21861.0,21812.0,-84.0,3,5
23,2024-08-14,LONG,22151.0,09:43:00,22142.0,21964.0,-561.0,3,4
24,2024-08-15,LONG,22061.0,08:51:00,22052.0,21984.0,-65.0,3,6
25,2024-08-16,LONG,22375.0,08:58:00,22354.0,22295.0,-240.0,3,4
26,2024-08-19,LONG,22450.0,08:53:00,22445.0,22395.0,-165.0,3,4
27,2024-08-20,LONG,22564.0,08:50:00,22559.0,22528.0,-108.0,3,4
28,2024-08-21,LONG,22311.0,08:48:00,22310.0,22261.0,-150.0,3,4
29,2024-08-22,SHORT,22231.0,08:51:00,22276.0,22228.0,102.0,3,7
30,2024-08-23,SHORT,21918.0,08:48:00,21985.0,21925.0,-80.0,3,5
31,2024-08-26,LONG,22290.0,08:48:00,22288.0,22233.0,124.0,3,7
32,2024-08-27,SHORT,22083.0,08:48:00,22125.0,22084.0,113.0,3,7
33,2024-08-28,LONG,22188.0,09:00:00,22186.0,22103.0,-104.0,3,5
34,2024-08-29,LONG,21970.0,08:49:00,21967.0,21885.0,109.0,3,7
35,2024-08-30,SHORT,22288.0,08:52:00,22338.0,22287.0,106.0,3,7
36,2024-09-02,SHORT,22307.0,08:50:00,22348.0,22311.0,-123.0,3,4
37,2024-09-03,SHORT,22199.0,08:48:00,22218.0,22201.0,-32.0,3,5
38,2024-09-04,SHORT,21164.0,08:48:00,21277.0,21165.0,137.0,3,7
39,2024-09-05,SHORT,21276.0,08:50:00,21315.0,21272.0,-52.0,3,5
40,2024-09-06,LONG,21228.0,08:53:00,21225.0,21155.0,-86.0,3,5
41,2024-09-09,LONG,20861.0,09:01:00,20787.0,20610.0,115.0,3,7
42,2024-09-10,SHORT,21238.0,08:48:00,21257.0,21225.0,-57.0,3,4
43,2024-09-11,SHORT,21062.0,08:56:00,21107.0,21056.0,49.0,3,6
44,2024-09-12,SHORT,21554.0,09:01:00,21635.0,21564.0,130.0,3,7
45,2024-09-13,SHORT,21718.0,09:18:00,21799.0,21717.0,-50.0,3,6
46,2024-09-16,SHORT,21823.0,08:51:00,21853.0,21810.0,103.0,3,7
47,2024-09-18,LONG,21762.0,08:53:00,21758.0,21718.0,120.0,3,7
48,2024-09-19,SHORT,21753.0,08:48:00,21796.0,21752.0,98.0,3,7
49,2024-09-20,LONG,22362.0,08:49:00,22353.0,22303.0,-48.0,3,6
50,2024-09-23,LONG,22323.0,08:49:00,22316.0,22273.0,-63.0,3,5
51,2024-09-24,SHORT,22272.0,08:48:00,22318.0,22278.0,-75.0,3,5
52,2024-09-25,SHORT,22810.0,08:55:00,22836.0,22805.0,110.0,3,7
