experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,take_profit,lot1_take_profit,lot2_take_profit,lot3_take_profit,take_profit_mode,total_pnl,mdd,win_rate,total_trades,sharpe_ratio,profit_factor,avg_win,avg_loss,max_consecutive_losses,status
12:3012:32_L1SL50TP40_L2SL60TP40_L3SL60TP41_range_boundary,12:30-12:32,50,60,60,,40,40,41,,357.0,0,100.0,2,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP41_L3SL60TP40_fixed_points,10:30-10:32,15,15,60,,41,41,40,,873.0,0,100.0,2,0,0,0,0,0,success
10:3010:32_L1SL15TP41_L2SL15TP40_L3SL15TP41_range_boundary,10:30-10:32,15,15,15,,41,40,41,,873.0,0,100.0,2,0,0,0,0,0,success
13:0013:02_L1SL15TP15_L2SL15TP40_L3SL60TP15_range_boundary,13:00-13:02,15,15,60,,15,40,15,,255.0,0,50.0,2,0,0,0,0,0,success
11:3011:32_L1SL15TP41_L2SL15TP15_L3SL15TP15_fixed_points,11:30-11:32,15,15,15,,41,15,15,,388.0,0,100.0,2,0,0,0,0,0,success
