experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,take_profit,lot1_take_profit,lot2_take_profit,lot3_take_profit,take_profit_mode,total_pnl,mdd,win_rate,total_trades,sharpe_ratio,profit_factor,avg_win,avg_loss,max_consecutive_losses,status
08:4608:47_L1SL15_L2SL15_L3SL15_TP55_fixed_points,08:46-08:47,15,15,15,55.0,,,,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP15_L3SL15TP15_fixed_points,08:46-08:47,15,15,15,,15.0,15.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP15_L3SL15TP40_fixed_points,08:46-08:47,15,15,15,,15.0,15.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP15_L3SL15TP41_fixed_points,08:46-08:47,15,15,15,,15.0,15.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP40_L3SL15TP15_fixed_points,08:46-08:47,15,15,15,,15.0,40.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP40_L3SL15TP40_fixed_points,08:46-08:47,15,15,15,,15.0,40.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP40_L3SL15TP41_fixed_points,08:46-08:47,15,15,15,,15.0,40.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP41_L3SL15TP15_fixed_points,08:46-08:47,15,15,15,,15.0,41.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP41_L3SL15TP40_fixed_points,08:46-08:47,15,15,15,,15.0,41.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP41_L3SL15TP41_fixed_points,08:46-08:47,15,15,15,,15.0,41.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP15_L3SL15TP15_fixed_points,08:46-08:47,15,15,15,,40.0,15.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP15_L3SL15TP40_fixed_points,08:46-08:47,15,15,15,,40.0,15.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP15_L3SL15TP41_fixed_points,08:46-08:47,15,15,15,,40.0,15.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP40_L3SL15TP15_fixed_points,08:46-08:47,15,15,15,,40.0,40.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP40_L3SL15TP40_fixed_points,08:46-08:47,15,15,15,,40.0,40.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP40_L3SL15TP41_fixed_points,08:46-08:47,15,15,15,,40.0,40.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP41_L3SL15TP15_fixed_points,08:46-08:47,15,15,15,,40.0,41.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP41_L3SL15TP40_fixed_points,08:46-08:47,15,15,15,,40.0,41.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP41_L3SL15TP41_fixed_points,08:46-08:47,15,15,15,,40.0,41.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP15_L3SL15TP15_fixed_points,08:46-08:47,15,15,15,,41.0,15.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP15_L3SL15TP40_fixed_points,08:46-08:47,15,15,15,,41.0,15.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP15_L3SL15TP41_fixed_points,08:46-08:47,15,15,15,,41.0,15.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP40_L3SL15TP15_fixed_points,08:46-08:47,15,15,15,,41.0,40.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP40_L3SL15TP40_fixed_points,08:46-08:47,15,15,15,,41.0,40.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP40_L3SL15TP41_fixed_points,08:46-08:47,15,15,15,,41.0,40.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP41_L3SL15TP15_fixed_points,08:46-08:47,15,15,15,,41.0,41.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP41_L3SL15TP40_fixed_points,08:46-08:47,15,15,15,,41.0,41.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP41_L3SL15TP41_fixed_points,08:46-08:47,15,15,15,,41.0,41.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15_L2SL15_L3SL20_TP55_fixed_points,08:46-08:47,15,15,20,55.0,,,,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP15_L3SL20TP15_fixed_points,08:46-08:47,15,15,20,,15.0,15.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP15_L3SL20TP40_fixed_points,08:46-08:47,15,15,20,,15.0,15.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP15_L3SL20TP41_fixed_points,08:46-08:47,15,15,20,,15.0,15.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP40_L3SL20TP15_fixed_points,08:46-08:47,15,15,20,,15.0,40.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP40_L3SL20TP40_fixed_points,08:46-08:47,15,15,20,,15.0,40.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP40_L3SL20TP41_fixed_points,08:46-08:47,15,15,20,,15.0,40.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP41_L3SL20TP15_fixed_points,08:46-08:47,15,15,20,,15.0,41.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP41_L3SL20TP40_fixed_points,08:46-08:47,15,15,20,,15.0,41.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP15_L2SL15TP41_L3SL20TP41_fixed_points,08:46-08:47,15,15,20,,15.0,41.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP15_L3SL20TP15_fixed_points,08:46-08:47,15,15,20,,40.0,15.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP15_L3SL20TP40_fixed_points,08:46-08:47,15,15,20,,40.0,15.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP15_L3SL20TP41_fixed_points,08:46-08:47,15,15,20,,40.0,15.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP40_L3SL20TP15_fixed_points,08:46-08:47,15,15,20,,40.0,40.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP40_L3SL20TP40_fixed_points,08:46-08:47,15,15,20,,40.0,40.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP40_L3SL20TP41_fixed_points,08:46-08:47,15,15,20,,40.0,40.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP41_L3SL20TP15_fixed_points,08:46-08:47,15,15,20,,40.0,41.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP41_L3SL20TP40_fixed_points,08:46-08:47,15,15,20,,40.0,41.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP40_L2SL15TP41_L3SL20TP41_fixed_points,08:46-08:47,15,15,20,,40.0,41.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP15_L3SL20TP15_fixed_points,08:46-08:47,15,15,20,,41.0,15.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP15_L3SL20TP40_fixed_points,08:46-08:47,15,15,20,,41.0,15.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP15_L3SL20TP41_fixed_points,08:46-08:47,15,15,20,,41.0,15.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP40_L3SL20TP15_fixed_points,08:46-08:47,15,15,20,,41.0,40.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP40_L3SL20TP40_fixed_points,08:46-08:47,15,15,20,,41.0,40.0,40.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP40_L3SL20TP41_fixed_points,08:46-08:47,15,15,20,,41.0,40.0,41.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
08:4608:47_L1SL15TP41_L2SL15TP41_L3SL20TP15_fixed_points,08:46-08:47,15,15,20,,41.0,41.0,15.0,,0.0,0.0,0.0,0,0,0,0,0,0,success
