實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
6,BOTH,10:00-10:03,117.1,864.3,981.4,1062.0,46.1%,15(10%)/35(10%)/40(20%)
5,SHORT_ONLY,10:00-10:03,0.0,925.8,925.8,1115.0,45.0%,15(10%)/35(10%)/40(20%)
1,LONG_ONLY,08:46-08:47,2029.9,0.0,2029.9,603.0,63.2%,15(10%)/35(10%)/40(20%)
2,SHORT_ONLY,08:46-08:47,0.0,2088.4,2088.4,1104.0,59.2%,15(10%)/35(10%)/40(20%)
3,BOTH,08:46-08:47,1003.2,1197.5,2200.7,775.0,61.0%,15(10%)/35(10%)/40(20%)
4,LONG_ONLY,10:00-10:03,443.3,0.0,443.3,934.0,47.7%,15(10%)/35(10%)/40(20%)
