Parameter,S1,ST,Trading_Direction,Sample_Size,Time_Slot,Analysis_Date,Valid_Results,Total_Samples
lot1_trigger,0.3900384491057199,0.5909082639468273,SHORT_ONLY,64,08:46-08:47,2025-07-14 09:27:11,1024,1024
lot1_pullback,0.012132805000339352,0.07106486319045188,SHORT_ONLY,64,08:46-08:47,2025-07-14 09:27:11,1024,1024
lot2_trigger,0.07927496598365033,0.18121828969308718,SHORT_ONLY,64,08:46-08:47,2025-07-14 09:27:11,1024,1024
lot2_pullback,-0.0028713550081522266,0.07728009166426356,SHORT_ONLY,64,08:46-08:47,2025-07-14 09:27:11,1024,1024
lot3_trigger,0.20036521295322657,0.1985926606866613,SHORT_ONLY,64,08:46-08:47,2025-07-14 09:27:11,1024,1024
lot3_pullback,0.07607167985178681,0.10246081144919274,SHORT_ONLY,64,08:46-08:47,2025-07-14 09:27:11,1024,1024
protection_multiplier,-0.019541722779627162,0.08228657400441368,SHORT_ONLY,64,08:46-08:47,2025-07-14 09:27:11,1024,1024
