date,range_high,range_low,range_size,range_midpoint,has_long_entry,entry_time,entry_price,breakout_strength,total_pnl,lot1_pnl,lot2_pnl,lot3_pnl,lot1_exit_type,lot2_exit_type,lot3_exit_type,lot1_exit_time,lot2_exit_time,lot3_exit_time,lot1_exit_price,lot2_exit_price,lot3_exit_price,max_favorable,max_adverse,trade_duration_minutes
2024-12-24,23450.0,23414.0,36.0,23432.0,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-12-25,23342.0,23323.0,19.0,23332.5,True,09:04:00,23345.0,3.0,-66,-22,-22,-22,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:14:00,09:14:00,09:14:00,23323.0,23323.0,23323.0,0.0,-36.0,10.0
2024-12-26,23368.0,23335.0,33.0,23351.5,True,09:03:00,23370.0,2.0,-105,-35,-35,-35,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:17:00,09:17:00,09:17:00,23335.0,23335.0,23335.0,0.0,-37.0,14.0
2024-12-27,23205.0,23152.0,53.0,23178.5,True,08:50:00,23206.0,1.0,498,166,166,166,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23372.0,23372.0,23372.0,167.0,0.0,295.0
2024-12-30,23234.0,23188.0,46.0,23211.0,True,08:50:00,23236.0,2.0,-144,-48,-48,-48,initial_stop_loss,initial_stop_loss,initial_stop_loss,13:23:00,13:23:00,13:23:00,23188.0,23188.0,23188.0,83.0,-65.0,273.0
2024-12-31,23036.0,22983.0,53.0,23009.5,True,08:58:00,23037.0,1.0,-162,-54,-54,-54,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:06:00,09:06:00,09:06:00,22983.0,22983.0,22983.0,1.0,-69.0,8.0
2025-01-03,22970.0,22913.0,57.0,22941.5,True,08:52:00,22972.0,2.0,15,5,5,5,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,22977.0,22977.0,22977.0,130.0,-58.0,293.0
2025-01-06,23263.0,23218.0,45.0,23240.5,True,08:48:00,23279.0,16.0,981,327,327,327,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23606.0,23606.0,23606.0,340.0,-6.0,297.0
2025-01-07,23993.0,23900.0,93.0,23946.5,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2025-01-08,23572.0,23540.0,32.0,23556.0,True,08:49:00,23579.0,7.0,-117,-39,-39,-39,initial_stop_loss,initial_stop_loss,initial_stop_loss,11:02:00,11:02:00,11:02:00,23540.0,23540.0,23540.0,67.0,-58.0,133.0
2025-01-09,23304.0,23250.0,54.0,23277.0,True,08:50:00,23317.0,13.0,-201,-67,-67,-67,initial_stop_loss,initial_stop_loss,initial_stop_loss,11:52:00,11:52:00,11:52:00,23250.0,23250.0,23250.0,90.0,-67.0,182.0
2025-01-10,23087.0,23025.0,62.0,23056.0,True,09:05:00,23098.0,11.0,-219,-73,-73,-73,initial_stop_loss,initial_stop_loss,initial_stop_loss,10:04:00,10:04:00,10:04:00,23025.0,23025.0,23025.0,39.0,-109.0,59.0
