Parameter,S1,ST,Trading_Direction,Sample_Size,Time_Slot,Analysis_Date,Valid_Results,Total_Samples
lot1_trigger,0.644024174901183,0.5877781210320545,SHORT_ONLY,32,08:46-08:47,2025-07-14 09:55:13,512,512
lot1_pullback,0.20813105882139654,0.12025214556952288,SHORT_ONLY,32,08:46-08:47,2025-07-14 09:55:13,512,512
lot2_trigger,0.12652024922497326,0.16039905194493623,SHORT_ONLY,32,08:46-08:47,2025-07-14 09:55:13,512,512
lot2_pullback,0.11162274076727034,0.05708780471410455,SHORT_ONLY,32,08:46-08:47,2025-07-14 09:55:13,512,512
lot3_trigger,0.057943716629725306,0.1368657649808279,SHORT_ONLY,32,08:46-08:47,2025-07-14 09:55:13,512,512
lot3_pullback,0.038285531325355976,0.09261038826914221,SHORT_ONLY,32,08:46-08:47,2025-07-14 09:55:13,512,512
protection_multiplier,0.1090843901078405,0.08283744120161371,SHORT_ONLY,32,08:46-08:47,2025-07-14 09:55:13,512,512
