Parameter,S1,ST,Trading_Direction,Sample_Size,Time_Slot,Analysis_Date,Valid_Results,Total_Samples
lot1_trigger,0.24560983033244838,0.29543609940090315,BOTH,64,11:00-11:02,2025-07-14 10:05:40,1024,1024
lot1_pullback,-0.002411604039076347,0.048755253526706406,BOTH,64,11:00-11:02,2025-07-14 10:05:40,1024,1024
lot2_trigger,0.27542126024178926,0.4283608899098033,BOTH,64,11:00-11:02,2025-07-14 10:05:40,1024,1024
lot2_pullback,0.03236217877188895,0.03471680830121201,BOTH,64,11:00-11:02,2025-07-14 10:05:40,1024,1024
lot3_trigger,0.34373685870403176,0.34205310858404836,BOTH,64,11:00-11:02,2025-07-14 10:05:40,1024,1024
lot3_pullback,0.03194469493084402,0.01746664330865925,BOTH,64,11:00-11:02,2025-07-14 10:05:40,1024,1024
protection_multiplier,0.03894674790868981,0.1140117288377904,BOTH,64,11:00-11:02,2025-07-14 10:05:40,1024,1024
